GameID,Team,Goalie,PlayerID,DEC,GA,SA,SV,SV%,SO,PIM,TOI
202312150ARI,SJS,Kaapo Kähkönen,kahkoka01,L,1,24,23,95.80%,0,2,56.32
202312150ARI,ARI,Connor Ingram,ingraco01,W,0,21,21,100.00%,1,0,60
202312160ARI,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,2,22,20,90.90%,0,0,56.82
202312160ARI,ARI,Karel Vejmelka,vejmeka01,W,0,28,28,100.00%,1,0,60
202312190ARI,OTT,Joonas Korpisalo,korpijo01,L,4,38,34,89.50%,0,0,58.33
202312190ARI,ARI,Connor Ingram,ingraco01,--,3,6,3,50.00%,0,0,14.32
202312190ARI,ARI,Karel Vejmelka,vejmeka01,W,0,16,16,100.00%,0,0,45.68
202312270ARI,COL,Alexandar Georgiev,georgal01,O,5,27,22,81.50%,0,0,64.67
202312270ARI,ARI,Karel Vejmelka,vejmeka01,W,4,24,20,83.30%,0,0,63.95
202401020ARI,FLA,Sergei Bobrovsky,bobrose01,W,1,22,21,95.50%,0,0,59.9
202401020ARI,ARI,Karel Vejmelka,vejmeka01,L,3,37,34,91.90%,0,0,59.23
202401020ARI,ARI,Empty Net,,--,1,1,0,0.00%,0,0,0
202401040ARI,NYI,Ilya Sorokin,sorokil01,W,1,27,26,96.30%,0,0,60
202401040ARI,ARI,Connor Ingram,ingraco01,L,5,31,26,83.90%,0,0,59.78
202401070ARI,WPG,Connor Hellebuyck,helleco01,W,2,17,15,88.20%,0,0,59.18
202401070ARI,ARI,Karel Vejmelka,vejmeka01,L,5,35,30,85.70%,0,0,59.48
202401070ARI,ARI,Empty Net,,--,1,1,0,0.00%,0,0,0
202401090ARI,BOS,Linus Ullmark,ullmali01,--,3,35,32,91.40%,0,0,62.1
202401090ARI,BOS,Jeremy Swayman,swaymje01,O,1,1,0,0.00%,0,0,1.4
202401090ARI,ARI,Connor Ingram,ingraco01,W,3,33,30,90.90%,0,0,64.07
202401110ARI,CGY,Jacob Markström,marksja02,W,2,34,32,94.10%,0,0,60
202401110ARI,ARI,Karel Vejmelka,vejmeka01,L,4,12,8,66.70%,0,0,13.97
202401110ARI,ARI,Connor Ingram,ingraco01,--,2,18,16,88.90%,0,0,46.03
202401200ARI,NSH,Juuse Saros,sarosju01,L,3,24,21,87.50%,0,0,56.98
202401200ARI,ARI,Connor Ingram,ingraco01,W,2,32,30,93.80%,0,0,60
202401220ARI,PIT,Tristan Jarry,jarrytr01,L,4,26,22,84.60%,0,0,59.58
202401220ARI,PIT,Empty Net,,--,1,1,0,0.00%,0,0,0
202401220ARI,ARI,Connor Ingram,ingraco01,W,2,27,25,92.60%,0,0,60
202402080ARI,VEG,Adin Hill,hillad01,W,2,22,20,90.90%,0,0,60
202402080ARI,ARI,Connor Ingram,ingraco01,L,3,6,3,50.00%,0,0,12.33
202402080ARI,ARI,Karel Vejmelka,vejmeka01,--,0,28,28,100.00%,0,0,45.55
202402140ARI,MIN,Marc-André Fleury,fleurma01,W,1,26,25,96.20%,0,0,59.13
202402140ARI,ARI,Connor Ingram,ingraco01,L,2,30,28,93.30%,0,0,40
202402140ARI,ARI,Karel Vejmelka,vejmeka01,--,1,13,12,92.30%,0,0,17.63
202402160ARI,CAR,Pyotr Kochetkov,kochepy01,W,1,31,30,96.80%,0,2,60
202402160ARI,ARI,Karel Vejmelka,vejmeka01,L,5,26,21,80.80%,0,0,46.25
202402160ARI,ARI,Matt Villalta,villama01,--,0,4,4,100.00%,0,0,13.65
202402190ARI,EDM,Stuart Skinner,skinnst01,W,3,25,22,88.00%,0,0,59.83
202402190ARI,ARI,Matt Villalta,villama01,L,5,25,20,80.00%,0,0,58.32
202402190ARI,ARI,Empty Net,,--,1,1,0,0.00%,0,0,0
202402210ARI,TOR,Ilya Samsonov,samsoil01,W,3,26,23,88.50%,0,0,59.65
202402210ARI,ARI,Karel Vejmelka,vejmeka01,L,6,36,30,83.30%,0,0,60
202403050ARI,CHI,Arvid Söderblom,soderar01,W,2,39,37,94.90%,0,0,60
202403050ARI,ARI,Connor Ingram,ingraco01,L,4,31,27,87.10%,0,0,57.73
202403050ARI,ARI,Empty Net,,--,1,1,0,0.00%,0,0,0
202403070ARI,MIN,Marc-André Fleury,fleurma01,W,2,25,23,92.00%,0,0,60
202403070ARI,ARI,Karel Vejmelka,vejmeka01,L,3,26,23,88.50%,0,0,58.8
202403070ARI,ARI,Empty Net,,--,2,2,0,0.00%,0,0,0
202403080ARI,DET,Alex Lyon,lyonal01,L,4,24,20,83.30%,0,0,60
202403080ARI,ARI,Connor Ingram,ingraco01,W,0,28,28,100.00%,1,0,60
202403160ARI,NJD,Kaapo Kähkönen,kahkoka01,L,3,15,12,80.00%,0,0,19.9
202403160ARI,NJD,Nico Daws,dawsni01,--,0,16,16,100.00%,0,0,38.37
202403160ARI,NJD,Empty Net,,--,1,1,0,0.00%,0,0,0
202403160ARI,ARI,Karel Vejmelka,vejmeka01,W,1,38,37,97.40%,0,0,59.23
202403220ARI,SEA,Joey Daccord,daccojo01,O,2,26,24,92.30%,0,0,64.2
202403220ARI,ARI,Karel Vejmelka,vejmeka01,W,1,28,27,96.40%,0,0,63.95
202403240ARI,DAL,Jake Oettinger,oettija01,W,2,28,26,92.90%,0,0,59.95
202403240ARI,ARI,Connor Ingram,ingraco01,L,3,34,31,91.20%,0,0,59.03
202403240ARI,ARI,Empty Net,,--,1,1,0,0.00%,0,0,0
202403260ARI,CBJ,Elvis Merzļikins,merzlel01,L,6,35,29,82.90%,0,0,59.98
202403260ARI,ARI,Karel Vejmelka,vejmeka01,W,2,27,25,92.60%,0,0,60
202403280ARI,NSH,Juuse Saros,sarosju01,L,6,27,21,77.80%,0,0,40
202403280ARI,NSH,Kevin Lankinen,lankike01,--,0,11,11,100.00%,0,0,18
202403280ARI,NSH,Empty Net,,--,2,2,0,0.00%,0,0,0
202403280ARI,ARI,Connor Ingram,ingraco01,W,4,37,33,89.20%,0,0,60
202403300ARI,NYR,Jonathan Quick,quickjo01,W,5,32,27,84.40%,0,0,60
202403300ARI,ARI,Karel Vejmelka,vejmeka01,L,6,30,24,80.00%,0,0,59.6
202403300ARI,ARI,Empty Net,,--,2,2,0,0.00%,0,0,0
202404030ARI,VAN,Arturs Silovs,silovar01,W,1,21,20,95.20%,0,0,60
202404030ARI,ARI,Connor Ingram,ingraco01,L,2,33,31,93.90%,0,0,57.67
202404050ARI,VEG,Logan Thompson,thomplo01,L,6,31,25,80.60%,0,0,59.9
202404050ARI,VEG,Empty Net,,--,1,1,0,0.00%,0,0,0
202404050ARI,ARI,Karel Vejmelka,vejmeka01,W,4,24,20,83.30%,0,0,60
202404170ARI,EDM,Calvin Pickard,pickaca01,L,4,23,19,82.60%,0,0,59.05
202404170ARI,EDM,Empty Net,,--,1,1,0,0.00%,0,0,0
202404170ARI,ARI,Connor Ingram,ingraco01,W,2,30,28,93.30%,0,0,59.95
202310110BOS,CHI,Arvid Söderblom,soderar01,L,2,32,30,93.80%,0,0,59.18
202310110BOS,CHI,Empty Net,,--,1,1,0,0.00%,0,0,0
202310110BOS,BOS,Linus Ullmark,ullmali01,W,1,21,20,95.20%,0,0,59.88
202310140BOS,NSH,Juuse Saros,sarosju01,L,3,30,27,90.00%,0,0,57.6
202310140BOS,BOS,Jeremy Swayman,swaymje01,W,2,36,34,94.40%,0,0,59.02
202310260BOS,ANA,John Gibson,gibsojo02,W,3,30,27,90.00%,0,0,58.93
202310260BOS,BOS,Linus Ullmark,ullmali01,O,4,32,28,87.50%,0,0,61.45
202310280BOS,DET,Ville Husso,hussovi01,L,3,30,27,90.00%,0,0,57.77
202310280BOS,DET,Empty Net,,--,1,1,0,0.00%,0,0,0
202310280BOS,BOS,Jeremy Swayman,swaymje01,W,1,24,23,95.80%,0,0,60
202310300BOS,FLA,Sergei Bobrovsky,bobrose01,O,3,26,23,88.50%,0,0,63.6
202310300BOS,BOS,Linus Ullmark,ullmali01,W,2,37,35,94.60%,0,0,63.6
202311020BOS,TOR,Ilya Samsonov,samsoil01,O,2,40,38,95.00%,0,0,64.9
202311020BOS,BOS,Jeremy Swayman,swaymje01,W,2,35,33,94.30%,0,0,65
202311090BOS,NYI,Ilya Sorokin,sorokil01,L,4,34,30,88.20%,0,0,58.85
202311090BOS,NYI,Empty Net,,--,1,1,0,0.00%,0,0,0
202311090BOS,BOS,Linus Ullmark,ullmali01,W,2,29,27,93.10%,0,0,60
202311180BOS,MTL,Jake Allen,allenja01,L,5,44,39,88.60%,0,0,60
202311180BOS,BOS,Jeremy Swayman,swaymje01,W,2,22,20,90.90%,0,0,60
202311240BOS,DET,Ville Husso,hussovi01,W,2,27,25,92.60%,0,0,59.75
202311240BOS,BOS,Jeremy Swayman,swaymje01,L,4,27,23,85.20%,0,0,57.27
202311240BOS,BOS,Empty Net,,--,1,1,0,0.00%,0,0,0
202311300BOS,SJS,Mackenzie Blackwood,blackma01,L,3,37,34,91.90%,0,0,60
202311300BOS,BOS,Jeremy Swayman,swaymje01,W,0,26,26,100.00%,1,0,59.57
202312030BOS,CBJ,Spencer Martin,martisp01,L,3,28,25,89.30%,0,0,57.28
202312030BOS,BOS,Jeremy Swayman,swaymje01,W,1,25,24,96.00%,0,0,60
202312070BOS,BUF,Devon Levi,levide01,W,1,32,31,96.90%,0,0,60
202312070BOS,BOS,Linus Ullmark,ullmali01,L,3,35,32,91.40%,0,0,56.57
202312090BOS,ARI,Connor Ingram,ingraco01,L,5,29,24,82.80%,0,0,57.68
202312090BOS,BOS,Linus Ullmark,ullmali01,W,3,33,30,90.90%,0,0,59.78
202312160BOS,NYR,Igor Shesterkin,shestig01,W,1,22,21,95.50%,0,0,61.35
202312160BOS,BOS,Jeremy Swayman,swaymje01,O,2,34,32,94.10%,0,0,62.05
202312190BOS,MIN,Marc-André Fleury,fleurma01,W,3,43,40,93.00%,0,0,62.9
202312190BOS,BOS,Linus Ullmark,ullmali01,O,4,30,26,86.70%,0,0,62.12
202312300BOS,NJD,Vítek Vaněček,vanecvi01,L,5,31,26,83.90%,0,0,60
202312300BOS,BOS,Linus Ullmark,ullmali01,W,2,33,31,93.90%,0,0,60
202401040BOS,PIT,Alex Nedeljkovic,nedelal01,W,5,29,24,82.80%,0,0,60
202401040BOS,BOS,Jeremy Swayman,swaymje01,L,6,35,29,82.90%,0,0,57.32
202401060BOS,TBL,Andrei Vasilevskiy,vasilan02,L,6,25,19,76.00%,0,0,58.43
202401060BOS,TBL,Empty Net,,--,1,1,0,0.00%,0,0,0
202401060BOS,BOS,Linus Ullmark,ullmali01,W,3,26,23,88.50%,0,0,60
202401150BOS,NJD,Nico Daws,dawsni01,L,2,35,33,94.30%,0,0,58.08
202401150BOS,NJD,Empty Net,,--,1,1,0,0.00%,0,0,0
202401150BOS,BOS,Jeremy Swayman,swaymje01,W,0,31,31,100.00%,1,0,59.88
202401180BOS,COL,Alexandar Georgiev,georgal01,L,4,30,26,86.70%,0,0,58.62
202401180BOS,COL,Empty Net,,--,1,1,0,0.00%,0,0,0
202401180BOS,BOS,Jeremy Swayman,swaymje01,W,2,32,30,93.80%,0,0,59.97
202401200BOS,MTL,Sam Montembeault,montesa01,L,8,30,22,73.30%,0,0,49.22
202401200BOS,MTL,Cayden Primeau,primeca01,--,1,6,5,83.30%,0,0,10.78
202401200BOS,BOS,Linus Ullmark,ullmali01,W,4,21,17,81.00%,0,0,60
202401220BOS,WPG,Connor Hellebuyck,helleco01,L,3,20,17,85.00%,0,0,58.98
202401220BOS,WPG,Empty Net,,--,1,1,0,0.00%,0,0,0
202401220BOS,BOS,Jeremy Swayman,swaymje01,W,1,21,20,95.20%,0,0,59.93
202401240BOS,CAR,Spencer Martin,martisp01,W,2,28,26,92.90%,0,0,60
202401240BOS,BOS,Linus Ullmark,ullmali01,L,3,33,30,90.90%,0,0,57.67
202402060BOS,CGY,Jacob Markström,marksja02,W,1,22,21,95.50%,0,0,60
202402060BOS,BOS,Jeremy Swayman,swaymje01,L,4,29,25,86.20%,0,0,59.65
202402080BOS,VAN,Thatcher Demko,demkoth01,L,4,24,20,83.30%,0,0,60
202402080BOS,BOS,Linus Ullmark,ullmali01,W,0,17,17,100.00%,1,0,59.6
202402100BOS,WSH,Charlie Lindgren,lindgch01,W,0,18,18,100.00%,1,0,60
202402100BOS,BOS,Jeremy Swayman,swaymje01,L,2,28,26,92.90%,0,0,57.42
202402100BOS,BOS,Empty Net,,--,1,1,0,0.00%,0,0,0
202402130BOS,TBL,Andrei Vasilevskiy,vasilan02,W,2,38,36,94.70%,0,0,65
202402130BOS,BOS,Linus Ullmark,ullmali01,O,2,25,23,92.00%,0,0,64.42
202402150BOS,SEA,Joey Daccord,daccojo01,W,1,37,36,97.30%,0,0,59.72
202402150BOS,BOS,Jeremy Swayman,swaymje01,L,3,25,22,88.00%,0,0,57.63
202402150BOS,BOS,Empty Net,,--,1,1,0,0.00%,0,0,0
202402170BOS,LAK,David Rittich,rittida01,W,4,32,28,87.50%,0,0,63.47
202402170BOS,BOS,Linus Ullmark,ullmali01,O,5,35,30,85.70%,0,0,64.55
202402190BOS,DAL,Jake Oettinger,oettija01,O,3,30,27,90.00%,0,0,64.98
202402190BOS,BOS,Jeremy Swayman,swaymje01,W,3,46,43,93.50%,0,0,64.58
202402290BOS,VEG,Adin Hill,hillad01,L,5,32,27,84.40%,0,0,58.15
202402290BOS,BOS,Jeremy Swayman,swaymje01,W,4,36,32,88.90%,0,0,60
202403050BOS,EDM,Stuart Skinner,skinnst01,W,1,25,24,96.00%,0,0,61.4
202403050BOS,BOS,Linus Ullmark,ullmali01,O,2,26,24,92.30%,0,0,62.3
202403070BOS,TOR,Joseph Woll,wolljo01,L,4,25,21,84.00%,0,0,59.93
202403070BOS,BOS,Jeremy Swayman,swaymje01,W,1,29,28,96.60%,0,0,60
202403090BOS,PIT,Alex Nedeljkovic,nedelal01,L,5,23,18,78.30%,0,0,60
202403090BOS,BOS,Linus Ullmark,ullmali01,W,1,39,38,97.40%,0,0,59.08
202403110BOS,STL,Joel Hofer,hoferjo01,W,1,37,36,97.30%,0,0,59.92
202403110BOS,BOS,Jeremy Swayman,swaymje01,L,4,21,17,81.00%,0,0,59.3
202403110BOS,BOS,Empty Net,,--,1,1,0,0.00%,0,0,0
202403160BOS,PHI,Felix Sandström,sandsfe01,L,6,30,24,80.00%,0,0,57.28
202403160BOS,BOS,Jeremy Swayman,swaymje01,W,5,29,24,82.80%,0,0,59.82
202403190BOS,OTT,Joonas Korpisalo,korpijo01,L,6,26,20,76.90%,0,0,60
202403190BOS,BOS,Linus Ullmark,ullmali01,W,2,31,29,93.50%,0,0,60
202403210BOS,NYR,Jonathan Quick,quickjo01,W,2,26,24,92.30%,0,0,60
202403210BOS,BOS,Jeremy Swayman,swaymje01,L,3,29,26,89.70%,0,0,58.48
202403210BOS,BOS,Empty Net,,--,2,2,0,0.00%,0,0,0
202404060BOS,FLA,Sergei Bobrovsky,bobrose01,O,3,29,26,89.70%,0,0,62.08
202404060BOS,BOS,Linus Ullmark,ullmali01,W,2,30,28,93.30%,0,0,61.48
202404090BOS,CAR,Pyotr Kochetkov,kochepy01,W,1,23,22,95.70%,0,0,60
202404090BOS,BOS,Jeremy Swayman,swaymje01,L,4,26,22,84.60%,0,0,60
202404160BOS,OTT,Anton Forsberg,forsban01,W,1,35,34,97.10%,0,2,60
202404160BOS,BOS,Linus Ullmark,ullmali01,L,2,19,17,89.50%,0,0,58.4
202404160BOS,BOS,Empty Net,,--,1,1,0,0.00%,0,0,0
202310120BUF,NYR,Igor Shesterkin,shestig01,W,1,25,24,96.00%,0,0,60
202310120BUF,BUF,Devon Levi,levide01,L,4,30,26,86.70%,0,0,58.9
202310120BUF,BUF,Empty Net,,--,1,1,0,0.00%,0,0,0
202310170BUF,TBL,Jonas Johansson,johanjo03,O,3,31,28,90.30%,0,0,60.18
