Team,Player,PlayerID,GP,GA,GAA,SA,SV,SV%,Shutouts,W,L,OT/SOL,TOI,ATOI
LAK,Cam Talbot,talboca01,54,130,2.5,1490,1360,90.53%,3,27,27,6,3116.12,57.71
CBJ,Daniil Tarasov,tarasda02,24,73,3.18,796,723,90.22%,1,8,16,3,1376.47,57.35
VEG,Logan Thompson,thomplo01,46,119,2.7,1298,1179,90.71%,1,27,19,5,2645.47,57.51
TBL,Matt Tomkins,tomkima01,6,20,3.33,185,165,89.23%,0,3,3,1,360.22,60.04
BOS,Linus Ullmark,ullmali01,40,103,2.57,1207,1104,91.53%,2,22,18,8,2400.13,60
NJD,Vítek Vaněček,vanecvi01,32,95,3.18,862,767,88.11%,1,18,14,3,1791.82,55.99
NYI,Semyon Varlamov,varlasi01,28,69,2.6,837,768,91.23%,3,14,14,5,1594.73,56.95
TBL,Andrei Vasilevskiy,vasilan02,51,146,2.92,1453,1307,89.47%,2,29,22,2,3002.87,58.88
ARI,Karel Vejmelka,vejmeka01,37,108,3.27,1047,939,86.35%,4,13,24,2,1980.27,53.52
ARI,Matt Villalta,villama01,2,5,4.17,29,24,90.00%,1,1,2,1,71.97,35.98
CGY,Daniel Vladař,vladada01,20,68,3.62,574,506,87.98%,0,8,12,2,1128.52,56.43
MIN,Jesper Wallstedt,wallsje01,3,9,3.01,87,78,90.83%,1,2,1,1,179.28,59.76
DAL,Scott Wedgewood,wedgesc01,32,85,2.85,844,759,89.76%,2,18,14,5,1789.13,55.91
CGY,Dustin Wolf,wolfdu01,17,50,3.16,467,417,89.54%,1,7,10,1,950.5,55.91
TOR,Joseph Woll,wolljo01,25,72,2.94,772,700,90.28%,1,13,12,1,1471.65,58.87
