GameID,Date,Player,PlayerID,Team,Location,Opp,Result,OT/SO,GA,SA,SV,SV%,PIM,TOI
202311190MIN,11/19/2023,Marc-André Fleury,fleurma01,MIN,vs,TOR,L,OT,4,25,21,84.00%,0,63.15
202312030MIN,12/3/2023,Marc-André Fleury,fleurma01,MIN,vs,CHI,W,,1,29,28,96.60%,0,59.58
202312080EDM,12/8/2023,Marc-André Fleury,fleurma01,MIN,@,EDM,L,,4,40,36,90.00%,0,58.22
202312190BOS,12/19/2023,Marc-André Fleury,fleurma01,MIN,@,BOS,W,OT,3,43,40,93.00%,0,62.9
202312230MIN,12/23/2023,Marc-André Fleury,fleurma01,MIN,vs,BOS,W,,2,21,19,90.50%,0,59.57
202312300WPG,12/30/2023,Marc-André Fleury,fleurma01,MIN,@,WPG,L,,1,10,9,90.00%,0,17.48
202312310MIN,12/31/2023,Marc-André Fleury,fleurma01,MIN,vs,WPG,L,,3,29,26,89.70%,0,58.18
202401020MIN,1/2/2024,Marc-André Fleury,fleurma01,MIN,vs,CGY,L,,2,32,30,93.80%,0,59.55
202401040MIN,1/4/2024,Marc-André Fleury,fleurma01,MIN,vs,TBL,L,,3,29,26,89.70%,0,58.45
202401060CBJ,1/6/2024,Marc-André Fleury,fleurma01,MIN,@,CBJ,W,OT,3,29,26,89.70%,0,63.02
202401080MIN,1/8/2024,Marc-André Fleury,fleurma01,MIN,vs,DAL,L,,4,20,16,80.00%,0,59.97
202401120MIN,1/12/2024,Marc-André Fleury,fleurma01,MIN,vs,PHI,L,OT,4,35,31,88.60%,0,63.6
202401130MIN,1/13/2024,Marc-André Fleury,fleurma01,MIN,vs,ARI,L,,1,15,14,93.30%,0,33.33
202401150MIN,1/15/2024,Marc-André Fleury,fleurma01,MIN,vs,NYI,W,,0,21,21,100.00%,0,60
202401190FLA,1/19/2024,Marc-André Fleury,fleurma01,MIN,@,FLA,W,,1,11,10,90.90%,0,30.5
202402090MIN,2/9/2024,Marc-André Fleury,fleurma01,MIN,vs,PIT,W,,2,36,34,94.40%,0,59.85
202402140ARI,2/14/2024,Marc-André Fleury,fleurma01,MIN,@,ARI,W,,1,26,25,96.20%,0,59.13
202402190MIN,2/19/2024,Marc-André Fleury,fleurma01,MIN,vs,VAN,W,,2,8,6,75.00%,0,20
202402200WPG,2/20/2024,Marc-André Fleury,fleurma01,MIN,@,WPG,L,,5,29,24,82.80%,0,59.67
202402240SEA,2/24/2024,Marc-André Fleury,fleurma01,MIN,@,SEA,W,,2,32,30,93.80%,0,59.8
202403020STL,3/2/2024,Marc-André Fleury,fleurma01,MIN,@,STL,L,,2,26,24,92.30%,0,58.7
202403070ARI,3/7/2024,Marc-André Fleury,fleurma01,MIN,@,ARI,W,,2,25,23,92.00%,0,60
202403100MIN,3/10/2024,Marc-André Fleury,fleurma01,MIN,vs,NSH,W,OT,3,30,27,90.00%,0,63.48
202403120MIN,3/12/2024,Marc-André Fleury,fleurma01,MIN,vs,ARI,W,,1,23,22,95.70%,0,59.78
202403140MIN,3/14/2024,Marc-André Fleury,fleurma01,MIN,vs,ANA,W,,0,16,16,100.00%,2,60
202403160STL,3/16/2024,Marc-André Fleury,fleurma01,MIN,@,STL,L,SO,2,37,35,94.60%,0,64.97
202403200LAK,3/20/2024,Marc-André Fleury,fleurma01,MIN,@,LAK,L,,5,16,11,68.80%,0,26.93
202403230MIN,3/23/2024,Marc-André Fleury,fleurma01,MIN,vs,STL,L,OT,5,27,22,81.50%,0,62.08
202404020MIN,4/2/2024,Marc-André Fleury,fleurma01,MIN,vs,OTT,W,,2,32,30,93.80%,0,59.98
202404060MIN,4/6/2024,Marc-André Fleury,fleurma01,MIN,vs,WPG,L,,4,25,21,84.00%,0,57.88
202404120VEG,4/12/2024,Marc-André Fleury,fleurma01,MIN,@,VEG,L,,7,30,23,76.70%,0,59.9
202404180MIN,4/18/2024,Marc-André Fleury,fleurma01,MIN,vs,SEA,L,,3,26,23,88.50%,0,58.15
202310140OTT,10/14/2023,Anton Forsberg,forsban01,OTT,vs,PHI,W,,2,21,19,90.50%,0,59.73
202310180OTT,10/18/2023,Anton Forsberg,forsban01,OTT,vs,WSH,W,,1,24,23,95.80%,0,60
202310240OTT,10/24/2023,Anton Forsberg,forsban01,OTT,vs,BUF,L,,5,18,13,72.20%,0,40
202311040OTT,11/4/2023,Anton Forsberg,forsban01,OTT,vs,TBL,L,,3,17,14,82.40%,0,33.43
202311090OTT,11/9/2023,Anton Forsberg,forsban01,OTT,vs,VAN,L,,5,16,11,68.80%,0,60
202311180OTT,11/18/2023,Anton Forsberg,forsban01,OTT,vs,MIN,W,SO,1,25,24,96.00%,0,65
202311240OTT,11/24/2023,Anton Forsberg,forsban01,OTT,vs,NYI,L,,5,26,21,80.80%,0,57.78
202312020OTT,12/2/2023,Anton Forsberg,forsban01,OTT,vs,SEA,W,,0,39,39,100.00%,0,60
202312050OTT,12/5/2023,Anton Forsberg,forsban01,OTT,vs,NYR,W,,2,35,33,94.30%,0,59.68
202312070OTT,12/7/2023,Anton Forsberg,forsban01,OTT,vs,TOR,L,,4,22,18,81.80%,0,58.7
202312150DAL,12/15/2023,Anton Forsberg,forsban01,OTT,@,DAL,L,,5,24,19,79.20%,0,58.55
202312230OTT,12/23/2023,Anton Forsberg,forsban01,OTT,vs,PIT,W,OT,4,34,30,88.20%,0,61.08
202312310OTT,12/31/2023,Anton Forsberg,forsban01,OTT,vs,BUF,W,,1,46,45,97.80%,0,60
202401020VAN,1/2/2024,Anton Forsberg,forsban01,OTT,@,VAN,L,,4,13,9,69.20%,0,16.97
202401060EDM,1/6/2024,Anton Forsberg,forsban01,OTT,@,EDM,L,,3,46,43,93.50%,0,58.03
202401110BUF,1/11/2024,Anton Forsberg,forsban01,OTT,@,BUF,L,,1,7,6,85.70%,0,15.93
202402130OTT,2/13/2024,Anton Forsberg,forsban01,OTT,vs,CBJ,W,,3,40,37,92.50%,0,59.73
202402190TBL,2/19/2024,Anton Forsberg,forsban01,OTT,@,TBL,W,,2,25,23,92.00%,0,60
202402220OTT,2/22/2024,Anton Forsberg,forsban01,OTT,vs,DAL,W,,1,15,14,93.30%,0,60
202402240OTT,2/24/2024,Anton Forsberg,forsban01,OTT,vs,VEG,W,SO,3,29,26,89.70%,0,65
202402260WSH,2/26/2024,Anton Forsberg,forsban01,OTT,@,WSH,L,,4,10,6,60.00%,0,20
202403010OTT,3/1/2024,Anton Forsberg,forsban01,OTT,vs,ARI,L,,4,29,25,86.20%,0,59.23
202403140CBJ,3/14/2024,Anton Forsberg,forsban01,OTT,@,CBJ,W,SO,2,37,35,94.60%,0,65
202403170OTT,3/17/2024,Anton Forsberg,forsban01,OTT,vs,CAR,L,,7,38,31,81.60%,0,60
202403210OTT,3/21/2024,Anton Forsberg,forsban01,OTT,vs,STL,L,,4,26,22,84.60%,0,58.72
202403280OTT,3/28/2024,Anton Forsberg,forsban01,OTT,vs,CHI,W,,0,19,19,100.00%,0,60
202404040OTT,4/4/2024,Anton Forsberg,forsban01,OTT,vs,FLA,L,,2,14,12,85.70%,0,35.68
202404060OTT,4/6/2024,Anton Forsberg,forsban01,OTT,vs,NJD,L,,3,9,6,66.70%,0,16.57
202404110TBL,4/11/2024,Anton Forsberg,forsban01,OTT,@,TBL,W,SO,2,26,24,92.30%,0,64.92
202404160BOS,4/16/2024,Anton Forsberg,forsban01,OTT,@,BOS,W,,1,35,34,97.10%,2,60
202310110LAK,10/11/2023,Alexandar Georgiev,georgal01,COL,@,LAK,W,,2,36,34,94.40%,0,60
202310140SJS,10/14/2023,Alexandar Georgiev,georgal01,COL,@,SJS,W,SO,1,21,20,95.20%,0,64.2
202310170SEA,10/17/2023,Alexandar Georgiev,georgal01,COL,@,SEA,W,,1,38,37,97.40%,0,60
202310190COL,10/19/2023,Alexandar Georgiev,georgal01,COL,vs,CHI,W,,0,18,18,100.00%,0,60
202310210COL,10/21/2023,Alexandar Georgiev,georgal01,COL,vs,CAR,W,,4,27,23,85.20%,0,60
202310240NYI,10/24/2023,Alexandar Georgiev,georgal01,COL,@,NYI,W,,4,32,28,87.50%,0,59.53
202310260PIT,10/26/2023,Alexandar Georgiev,georgal01,COL,@,PIT,L,,4,24,20,83.30%,0,51.92
202310290BUF,10/29/2023,Alexandar Georgiev,georgal01,COL,@,BUF,L,,3,28,25,89.30%,0,59.22
202311040VEG,11/4/2023,Alexandar Georgiev,georgal01,COL,@,VEG,L,,7,34,27,79.40%,0,60
202311070COL,11/7/2023,Alexandar Georgiev,georgal01,COL,vs,NJD,W,,3,23,20,87.00%,0,60
202311110COL,11/11/2023,Alexandar Georgiev,georgal01,COL,vs,STL,L,,6,28,22,78.60%,0,42.82
202311130SEA,11/13/2023,Alexandar Georgiev,georgal01,COL,@,SEA,W,,1,19,18,94.70%,0,59.73
202311150COL,11/15/2023,Alexandar Georgiev,georgal01,COL,vs,ANA,W,,2,17,15,88.20%,0,59.88
202311180DAL,11/18/2023,Alexandar Georgiev,georgal01,COL,@,DAL,W,,3,28,25,89.30%,0,60
202311200NSH,11/20/2023,Alexandar Georgiev,georgal01,COL,@,NSH,L,,4,30,26,86.70%,0,59.23
202311220COL,11/22/2023,Alexandar Georgiev,georgal01,COL,vs,VAN,W,,2,29,27,93.10%,0,60
202311240MIN,11/24/2023,Alexandar Georgiev,georgal01,COL,@,MIN,W,,2,21,19,90.50%,0,60
202311270COL,11/27/2023,Alexandar Georgiev,georgal01,COL,vs,TBL,W,,1,39,38,97.40%,0,59.92
202311300ARI,11/30/2023,Alexandar Georgiev,georgal01,COL,@,ARI,L,OT,4,32,28,87.50%,0,64.65
202312030LAK,12/3/2023,Alexandar Georgiev,georgal01,COL,@,LAK,L,,3,37,34,91.90%,0,58.47
202312050COL,12/5/2023,Alexandar Georgiev,georgal01,COL,vs,ANA,W,,2,33,31,93.90%,0,60
202312070COL,12/7/2023,Alexandar Georgiev,georgal01,COL,vs,WPG,L,,3,27,24,88.90%,0,58.93
202312110COL,12/11/2023,Alexandar Georgiev,georgal01,COL,vs,CGY,W,,5,21,16,76.20%,2,40
202312170COL,12/17/2023,Alexandar Georgiev,georgal01,COL,vs,SJS,W,,2,27,25,92.60%,0,60
202312190CHI,12/19/2023,Alexandar Georgiev,georgal01,COL,@,CHI,L,,3,22,19,86.40%,0,58.25
202312210COL,12/21/2023,Alexandar Georgiev,georgal01,COL,vs,OTT,W,,4,45,41,91.10%,0,59.37
202312230COL,12/23/2023,Alexandar Georgiev,georgal01,COL,vs,ARI,W,,1,25,24,96.00%,0,60
202312270ARI,12/27/2023,Alexandar Georgiev,georgal01,COL,@,ARI,L,OT,5,27,22,81.50%,0,64.67
202312290STL,12/29/2023,Alexandar Georgiev,georgal01,COL,@,STL,W,,1,29,28,96.60%,0,60
202312310COL,12/31/2023,Alexandar Georgiev,georgal01,COL,vs,SJS,W,,1,11,10,90.90%,0,59.8
202401020COL,1/2/2024,Alexandar Georgiev,georgal01,COL,vs,NYI,W,OT,4,22,18,81.80%,0,60.47
202401040DAL,1/4/2024,Alexandar Georgiev,georgal01,COL,@,DAL,W,OT,4,32,28,87.50%,0,62.28
202401060COL,1/6/2024,Alexandar Georgiev,georgal01,COL,vs,FLA,L,,3,15,12,80.00%,0,30.92
202401080COL,1/8/2024,Alexandar Georgiev,georgal01,COL,vs,BOS,W,SO,3,26,23,88.50%,0,65
202401100COL,1/10/2024,Alexandar Georgiev,georgal01,COL,vs,VEG,W,,0,25,25,100.00%,0,60
202401130TOR,1/13/2024,Alexandar Georgiev,georgal01,COL,@,TOR,W,,3,29,26,89.70%,0,59.57
202401150MTL,1/15/2024,Alexandar Georgiev,georgal01,COL,@,MTL,L,,4,34,30,88.20%,0,58.13
202401180BOS,1/18/2024,Alexandar Georgiev,georgal01,COL,@,BOS,L,,4,30,26,86.70%,0,58.62
202401200PHI,1/20/2024,Alexandar Georgiev,georgal01,COL,@,PHI,W,,4,40,36,90.00%,0,60
202401240COL,1/24/2024,Alexandar Georgiev,georgal01,COL,vs,WSH,W,,2,25,23,92.00%,0,60
202401260COL,1/26/2024,Alexandar Georgiev,georgal01,COL,vs,LAK,W,,1,27,26,96.30%,0,59.5
202402050NYR,2/5/2024,Alexandar Georgiev,georgal01,COL,@,NYR,L,OT,2,29,27,93.10%,0,61.8
202402080CAR,2/8/2024,Alexandar Georgiev,georgal01,COL,@,CAR,L,,4,27,23,85.20%,0,57.13
202402100FLA,2/10/2024,Alexandar Georgiev,georgal01,COL,@,FLA,L,,4,41,37,90.20%,0,60
202402130WSH,2/13/2024,Alexandar Georgiev,georgal01,COL,@,WSH,W,,3,27,24,88.90%,0,60
202402180COL,2/18/2024,Alexandar Georgiev,georgal01,COL,vs,ARI,W,,3,30,27,90.00%,0,60
202402200COL,2/20/2024,Alexandar Georgiev,georgal01,COL,vs,VAN,W,,1,25,24,96.00%,0,59.78
202402240COL,2/24/2024,Alexandar Georgiev,georgal01,COL,vs,TOR,L,,4,30,26,86.70%,0,58.22
202402270COL,2/27/2024,Alexandar Georgiev,georgal01,COL,vs,DAL,W,,1,34,33,97.10%,0,60
202403020NSH,3/2/2024,Alexandar Georgiev,georgal01,COL,@,NSH,L,,4,34,30,88.20%,0,58.63
202403060COL,3/6/2024,Alexandar Georgiev,georgal01,COL,vs,DET,W,,2,29,27,93.10%,0,60
202403080COL,3/8/2024,Alexandar Georgiev,georgal01,COL,vs,MIN,W,OT,1,30,29,96.70%,0,62.53
202403130VAN,3/13/2024,Alexandar Georgiev,georgal01,COL,@,VAN,W,OT,3,21,18,85.70%,0,59.75
202403160EDM,3/16/2024,Alexandar Georgiev,georgal01,COL,@,EDM,W,OT,2,34,32,94.10%,0,64.98
202403220COL,3/22/2024,Alexandar Georgiev,georgal01,COL,vs,CBJ,W,,1,24,23,95.80%,0,60
202403240COL,3/24/2024,Alexandar Georgiev,georgal01,COL,vs,PIT,W,OT,4,34,30,88.20%,0,60.9
202403280COL,3/28/2024,Alexandar Georgiev,georgal01,COL,vs,NYR,L,SO,2,25,23,92.00%,0,65
202403300COL,3/30/2024,Alexandar Georgiev,georgal01,COL,vs,NSH,W,,4,13,9,69.20%,2,20.73
202404050EDM,4/5/2024,Alexandar Georgiev,georgal01,COL,@,EDM,L,,6,47,41,87.20%,0,60
202404070COL,4/7/2024,Alexandar Georgiev,georgal01,COL,vs,DAL,L,,6,36,30,83.30%,0,56.75
202404090COL,4/9/2024,Alexandar Georgiev,georgal01,COL,vs,MIN,W,,2,22,20,90.90%,0,60
202404130COL,4/13/2024,Alexandar Georgiev,georgal01,COL,vs,WPG,L,,4,15,11,73.30%,0,15.28
202404140VEG,4/14/2024,Alexandar Georgiev,georgal01,COL,@,VEG,L,OT,4,30,26,86.70%,0,61.38
202310140VEG,10/14/2023,John Gibson,gibsojo02,ANA,@,VEG,L,,3,37,34,91.90%,0,59.85
202310190ANA,10/19/2023,John Gibson,gibsojo02,ANA,vs,DAL,L,,3,24,21,87.50%,0,57.78
202310220ANA,10/22/2023,John Gibson,gibsojo02,ANA,vs,BOS,L,,2,25,23,92.00%,0,58.58
202310260BOS,10/26/2023,John Gibson,gibsojo02,ANA,@,BOS,W,OT,3,30,27,90.00%,0,58.93
202310300PIT,10/30/2023,John Gibson,gibsojo02,ANA,@,PIT,W,,1,7,6,85.70%,0,20
202311050ANA,11/5/2023,John Gibson,gibsojo02,ANA,vs,VEG,W,,2,32,30,93.80%,0,60
202311070ANA,11/7/2023,John Gibson,gibsojo02,ANA,vs,PIT,L,,1,35,34,97.10%,0,58.82
202311120ANA,11/12/2023,John Gibson,gibsojo02,ANA,vs,SJS,W,,1,26,25,96.20%,0,59.83
202311140NSH,11/14/2023,John Gibson,gibsojo02,ANA,@,NSH,W,,2,30,28,93.30%,0,59.63
202311170ANA,11/17/2023,John Gibson,gibsojo02,ANA,vs,FLA,L,,2,35,33,94.30%,0,57.85
202311190ANA,11/19/2023,John Gibson,gibsojo02,ANA,vs,STL,L,,3,32,29,90.60%,0,57.55
202311220ANA,11/22/2023,John Gibson,gibsojo02,ANA,vs,MTL,L,,4,28,24,85.70%,0,58.42
202311240ANA,11/24/2023,John Gibson,gibsojo02,ANA,vs,LAK,L,,5,31,26,83.90%,0,59.52
202311260EDM,11/26/2023,John Gibson,gibsojo02,ANA,@,EDM,L,,2,10,8,80.00%,0,32.67
202311280VAN,11/28/2023,John Gibson,gibsojo02,ANA,@,VAN,L,,2,26,24,92.30%,0,59.6
202311300ANA,11/30/2023,John Gibson,gibsojo02,ANA,vs,WSH,L,,5,26,21,80.80%,0,58.35
202312020ANA,12/2/2023,John Gibson,gibsojo02,ANA,vs,COL,W,SO,3,37,34,91.90%,0,64.68
202312050COL,12/5/2023,John Gibson,gibsojo02,ANA,@,COL,L,,3,30,27,90.00%,0,59.07
202312100ANA,12/10/2023,John Gibson,gibsojo02,ANA,vs,WPG,L,,3,30,27,90.00%,0,59.58
202312130NYI,12/13/2023,John Gibson,gibsojo02,ANA,@,NYI,L,,4,35,31,88.60%,0,58.77
202312170NJD,12/17/2023,John Gibson,gibsojo02,ANA,@,NJD,W,,1,19,18,94.70%,0,40
202312270ANA,12/27/2023,John Gibson,gibsojo02,ANA,vs,VEG,W,,2,32,30,93.80%,0,60
202312290ANA,12/29/2023,John Gibson,gibsojo02,ANA,vs,ARI,L,,2,32,30,93.80%,0,56.83
202312310ANA,12/31/2023,John Gibson,gibsojo02,ANA,vs,EDM,L,,7,39,32,82.10%,0,60
202401050ANA,1/5/2024,John Gibson,gibsojo02,ANA,vs,WPG,L,,3,27,24,88.90%,0,56.57
202401110CAR,1/11/2024,John Gibson,gibsojo02,ANA,@,CAR,L,,5,25,20,80.00%,0,40
202401150FLA,1/15/2024,John Gibson,gibsojo02,ANA,@,FLA,W,OT,4,33,29,87.90%,0,60.8
202401160WSH,1/16/2024,John Gibson,gibsojo02,ANA,@,WSH,L,,1,27,26,96.30%,0,57.35
202401200SJS,1/20/2024,John Gibson,gibsojo02,ANA,@,SJS,L,,4,18,14,77.80%,0,57.95
202401230ANA,1/23/2024,John Gibson,gibsojo02,ANA,vs,BUF,W,,2,30,28,93.30%,0,59.97
202401250DAL,1/25/2024,John Gibson,gibsojo02,ANA,@,DAL,L,OT,4,44,40,90.90%,0,60.63
202401310ANA,1/31/2024,John Gibson,gibsojo02,ANA,vs,SJS,W,OT,2,28,26,92.90%,0,63.45
202402090ANA,2/9/2024,John Gibson,gibsojo02,ANA,vs,EDM,L,,2,21,19,90.50%,0,40
202402150OTT,2/15/2024,John Gibson,gibsojo02,ANA,@,OTT,W,,0,15,15,100.00%,0,40
202402170TOR,2/17/2024,John Gibson,gibsojo02,ANA,@,TOR,L,,5,14,9,64.30%,0,40
202402190BUF,2/19/2024,John Gibson,gibsojo02,ANA,@,BUF,W,,3,37,34,91.90%,0,60
202402210ANA,2/21/2024,John Gibson,gibsojo02,ANA,vs,CBJ,L,,6,26,20,76.90%,0,57.07
202402240LAK,2/24/2024,John Gibson,gibsojo02,ANA,@,LAK,L,SO,2,50,48,96.00%,0,65
202402290SJS,2/29/2024,John Gibson,gibsojo02,ANA,@,SJS,W,,4,28,24,85.70%,0,60
202403080ANA,3/8/2024,John Gibson,gibsojo02,ANA,vs,DAL,L,,6,36,30,83.30%,0,60
202403120CHI,3/12/2024,John Gibson,gibsojo02,ANA,@,CHI,L,,6,26,20,76.90%,12,48.5
202403150WPG,3/15/2024,John Gibson,gibsojo02,ANA,@,WPG,L,,6,38,32,84.20%,0,59.6
202403190ANA,3/19/2024,John Gibson,gibsojo02,ANA,vs,MIN,L,,4,32,28,87.50%,0,59.52
202403260SEA,3/26/2024,John Gibson,gibsojo02,ANA,@,SEA,L,,4,36,32,88.90%,0,60
202403300EDM,3/30/2024,John Gibson,gibsojo02,ANA,@,EDM,L,,6,37,31,83.80%,0,59.12
202404120ANA,4/12/2024,John Gibson,gibsojo02,ANA,vs,CGY,L,,6,27,21,77.80%,0,59.65
202312080CBJ,12/8/2023,Jet Greaves,greavje01,CBJ,vs,STL,W,,2,43,41,95.30%,0,60
202312100CBJ,12/10/2023,Jet Greaves,greavje01,CBJ,vs,FLA,L,,3,33,30,90.90%,0,58.93
202403050PIT,3/5/2024,Jet Greaves,greavje01,CBJ,@,PIT,L,,5,31,26,83.90%,0,58.72
202404040CBJ,4/4/2024,Jet Greaves,greavje01,CBJ,vs,NYI,L,,1,25,24,96.00%,0,39.17
202404060CBJ,4/6/2024,Jet Greaves,greavje01,CBJ,vs,PHI,W,,2,39,37,94.90%,0,60
202404090TBL,4/9/2024,Jet Greaves,greavje01,CBJ,@,TBL,L,,4,32,28,87.50%,0,59.05
202404110FLA,4/11/2024,Jet Greaves,greavje01,CBJ,@,FLA,L,,4,46,42,91.30%,0,60
202404130NSH,4/13/2024,Jet Greaves,greavje01,CBJ,@,NSH,L,,6,37,31,83.80%,0,60
202404160CBJ,4/16/2024,Jet Greaves,greavje01,CBJ,vs,CAR,W,,3,41,38,92.70%,0,60
202310100VEG,10/10/2023,Philipp Grubauer,grubaph01,SEA,@,VEG,L,,3,27,24,88.90%,0,59.62
202310120NSH,10/12/2023,Philipp Grubauer,grubaph01,SEA,@,NSH,L,,2,34,32,94.10%,0,57.87
202310170SEA,10/17/2023,Philipp Grubauer,grubaph01,SEA,vs,COL,L,,3,27,24,88.90%,0,59.65
202310210SEA,10/21/2023,Philipp Grubauer,grubaph01,SEA,vs,NYR,L,,4,27,23,85.20%,0,60
202310300TBL,10/30/2023,Philipp Grubauer,grubaph01,SEA,@,TBL,W,OT,3,37,34,91.90%,0,62.88
202311020SEA,11/2/2023,Philipp Grubauer,grubaph01,SEA,vs,NSH,W,,2,34,32,94.10%,2,59.9
202311040SEA,11/4/2023,Philipp Grubauer,grubaph01,SEA,vs,CGY,L,,4,29,25,86.20%,0,58.7
202311090COL,11/9/2023,Philipp Grubauer,grubaph01,SEA,@,COL,W,,3,26,23,88.50%,0,60
202311110SEA,11/11/2023,Philipp Grubauer,grubaph01,SEA,vs,EDM,L,,4,17,13,76.50%,0,20
202311160SEA,11/16/2023,Philipp Grubauer,grubaph01,SEA,vs,NYI,W,SO,3,23,20,87.00%,0,65
202311180VAN,11/18/2023,Philipp Grubauer,grubaph01,SEA,@,VAN,W,,3,24,21,87.50%,0,60
202311200SEA,11/20/2023,Philipp Grubauer,grubaph01,SEA,vs,CGY,L,OT,2,7,5,71.40%,0,20
202311280CHI,11/28/2023,Philipp Grubauer,grubaph01,SEA,@,CHI,L,,4,23,19,82.60%,2,57.23
202311300TOR,11/30/2023,Philipp Grubauer,grubaph01,SEA,@,TOR,L,SO,3,28,25,89.30%,0,64.73
202312040MTL,12/4/2023,Philipp Grubauer,grubaph01,SEA,@,MTL,L,,3,29,26,89.70%,0,59.02
202312070SEA,12/7/2023,Philipp Grubauer,grubaph01,SEA,vs,NJD,L,,2,17,15,88.20%,0,57.95
202312090SEA,12/9/2023,Philipp Grubauer,grubaph01,SEA,vs,TBL,L,OT,2,23,21,91.30%,0,39.48
202402130NYI,2/13/2024,Philipp Grubauer,grubaph01,SEA,@,NYI,W,SO,1,27,26,96.30%,0,65
202402220SEA,2/22/2024,Philipp Grubauer,grubaph01,SEA,vs,VAN,W,,2,21,19,90.50%,0,60
202402240SEA,2/24/2024,Philipp Grubauer,grubaph01,SEA,vs,MIN,L,,1,18,17,94.40%,0,37.77
202402260SEA,2/26/2024,Philipp Grubauer,grubaph01,SEA,vs,BOS,W,SO,3,32,29,90.60%,0,65
202402290SEA,2/29/2024,Philipp Grubauer,grubaph01,SEA,vs,PIT,W,,0,33,33,100.00%,0,60
202403020SEA,3/2/2024,Philipp Grubauer,grubaph01,SEA,vs,EDM,L,,2,24,22,91.70%,0,58.35
202403040CGY,3/4/2024,Philipp Grubauer,grubaph01,SEA,@,CGY,W,,2,37,35,94.60%,0,59.12
202403120SEA,3/12/2024,Philipp Grubauer,grubaph01,SEA,vs,VEG,L,OT,5,34,29,85.30%,0,63.02
202403160SEA,3/16/2024,Philipp Grubauer,grubaph01,SEA,vs,NSH,L,,3,29,26,89.70%,0,58.12
202403180SEA,3/18/2024,Philipp Grubauer,grubaph01,SEA,vs,BUF,L,,3,26,23,88.50%,0,54.32
202403210VEG,3/21/2024,Philipp Grubauer,grubaph01,SEA,@,VEG,L,,2,36,34,94.40%,0,59.3
202403240SEA,3/24/2024,Philipp Grubauer,grubaph01,SEA,vs,MTL,L,,4,6,2,33.30%,0,18
202403280SEA,3/28/2024,Philipp Grubauer,grubaph01,SEA,vs,ANA,W,,2,23,21,91.30%,0,59.67
202404010SJS,4/1/2024,Philipp Grubauer,grubaph01,SEA,@,SJS,W,,2,26,24,92.30%,0,60
202404030LAK,4/3/2024,Philipp Grubauer,grubaph01,SEA,@,LAK,L,,5,27,22,81.50%,0,60
202404050ANA,4/5/2024,Philipp Grubauer,grubaph01,SEA,@,ANA,W,,1,17,16,94.10%,0,58.83
202404090SEA,4/9/2024,Philipp Grubauer,grubaph01,SEA,vs,ARI,W,,0,39,39,100.00%,0,60
202404130DAL,4/13/2024,Philipp Grubauer,grubaph01,SEA,@,DAL,L,,3,30,27,90.00%,0,58.85
202404160WPG,4/16/2024,Philipp Grubauer,grubaph01,SEA,@,WPG,L,,4,24,20,83.30%,0,59.23
202310120MIN,10/12/2023,Filip Gustavsson,gustafi01,MIN,vs,FLA,W,,0,41,41,100.00%,0,60
202310140TOR,10/14/2023,Filip Gustavsson,gustafi01,MIN,@,TOR,L,,7,33,26,78.80%,0,60
202310210MIN,10/21/2023,Filip Gustavsson,gustafi01,MIN,vs,CBJ,L,OT,5,54,49,90.70%,0,63.03
202310240MIN,10/24/2023,Filip Gustavsson,gustafi01,MIN,vs,EDM,W,,4,28,24,85.70%,0,60
202310260PHI,10/26/2023,Filip Gustavsson,gustafi01,MIN,@,PHI,L,,6,35,29,82.90%,0,59.92
202311020MIN,11/2/2023,Filip Gustavsson,gustafi01,MIN,vs,NJD,L,,5,38,33,86.80%,0,58.52
202311040MIN,11/4/2023,Filip Gustavsson,gustafi01,MIN,vs,NYR,W,SO,3,4,1,25.00%,0,6.88
202311100BUF,11/10/2023,Filip Gustavsson,gustafi01,MIN,@,BUF,L,,3,25,22,88.00%,0,58.25
202311180OTT,11/18/2023,Filip Gustavsson,gustafi01,MIN,@,OTT,L,SO,1,31,30,96.80%,0,64.68
202311240MIN,11/24/2023,Filip Gustavsson,gustafi01,MIN,vs,COL,L,,3,25,22,88.00%,0,59.12
202311260DET,11/26/2023,Filip Gustavsson,gustafi01,MIN,@,DET,L,,3,22,19,86.40%,0,58.5
202311280MIN,11/28/2023,Filip Gustavsson,gustafi01,MIN,vs,STL,W,,1,24,23,95.80%,0,59.77
202311300NSH,11/30/2023,Filip Gustavsson,gustafi01,MIN,@,NSH,W,,1,27,26,96.30%,0,59.97
202312050CGY,12/5/2023,Filip Gustavsson,gustafi01,MIN,@,CGY,W,,2,30,28,93.30%,0,60
202312070VAN,12/7/2023,Filip Gustavsson,gustafi01,MIN,@,VAN,L,,2,17,15,88.20%,0,57.45
202312100SEA,12/10/2023,Filip Gustavsson,gustafi01,MIN,@,SEA,W,,0,24,24,100.00%,0,60
202312140MIN,12/14/2023,Filip Gustavsson,gustafi01,MIN,vs,CGY,W,SO,2,37,35,94.60%,0,65
202312160MIN,12/16/2023,Filip Gustavsson,gustafi01,MIN,vs,VAN,W,SO,1,36,35,97.20%,0,65
202312180PIT,12/18/2023,Filip Gustavsson,gustafi01,MIN,@,PIT,L,,4,30,26,86.70%,0,58.3
202312210MIN,12/21/2023,Filip Gustavsson,gustafi01,MIN,vs,MTL,W,OT,3,25,22,88.00%,0,64.62
