GameID,Date,Player,PlayerID,Team,Location,Opp,Result,OT/SO,GA,SA,SV,SV%,PIM,TOI
202403040COL,3/4/2024,Justus Annunen,annunju01,COL,vs,CHI,W,,0,37,37,100.00%,0,59.92
202403120CGY,3/12/2024,Justus Annunen,annunju01,COL,@,CGY,W,,2,27,25,92.60%,0,59.95
202403190STL,3/19/2024,Justus Annunen,annunju01,COL,@,STL,W,,3,33,30,90.90%,0,59.7
202403260COL,3/26/2024,Justus Annunen,annunju01,COL,vs,MTL,L,,2,27,25,92.60%,0,59.32
202403300COL,3/30/2024,Justus Annunen,annunju01,COL,vs,NSH,W,,0,22,22,100.00%,0,39
202404010CBJ,4/1/2024,Justus Annunen,annunju01,COL,@,CBJ,L,,3,24,21,87.50%,0,58.48
202404040MIN,4/4/2024,Justus Annunen,annunju01,COL,@,MIN,W,,2,46,44,95.70%,0,60
202404130COL,4/13/2024,Justus Annunen,annunju01,COL,vs,WPG,L,,3,11,8,72.70%,0,44.72
202404180COL,4/18/2024,Justus Annunen,annunju01,COL,vs,EDM,W,,1,26,25,96.20%,0,60
202401150MIN,1/15/2024,Kenneth Appleby,appleke01,NYI,@,MIN,L,,2,8,6,75.00%,0,20
202312270NSH,12/27/2023,Yaroslav Askarov,askarya01,NSH,vs,CAR,L,,0,6,6,100.00%,0,16.67
202312300WSH,12/30/2023,Yaroslav Askarov,askarya01,NSH,@,WSH,W,SO,2,29,27,93.10%,0,65
202310120DAL,10/12/2023,Jordan Binnington,binnijo01,STL,@,DAL,L,SO,1,34,33,97.10%,0,64.83
202310140STL,10/14/2023,Jordan Binnington,binnijo01,STL,vs,SEA,W,SO,1,31,30,96.80%,0,65
202310210STL,10/21/2023,Jordan Binnington,binnijo01,STL,vs,PIT,W,,2,33,31,93.90%,0,60
202310240WPG,10/24/2023,Jordan Binnington,binnijo01,STL,@,WPG,L,,3,29,26,89.70%,0,58.97
202310270VAN,10/27/2023,Jordan Binnington,binnijo01,STL,@,VAN,L,,5,35,30,85.70%,0,60
202311010COL,11/1/2023,Jordan Binnington,binnijo01,STL,@,COL,L,,4,28,24,85.70%,0,59.53
202311030STL,11/3/2023,Jordan Binnington,binnijo01,STL,vs,NJD,W,,1,34,33,97.10%,0,60
202311070STL,11/7/2023,Jordan Binnington,binnijo01,STL,vs,WPG,L,,4,36,32,88.90%,0,59.38
202311110COL,11/11/2023,Jordan Binnington,binnijo01,STL,@,COL,W,,2,38,36,94.70%,0,60
202311140STL,11/14/2023,Jordan Binnington,binnijo01,STL,vs,TBL,W,,0,30,30,100.00%,0,60
202311160SJS,11/16/2023,Jordan Binnington,binnijo01,STL,@,SJS,L,,1,14,13,92.90%,0,36.58
202311180LAK,11/18/2023,Jordan Binnington,binnijo01,STL,@,LAK,L,,5,31,26,83.90%,0,59.87
202311220ARI,11/22/2023,Jordan Binnington,binnijo01,STL,@,ARI,W,,5,13,8,61.50%,0,28
202311240STL,11/24/2023,Jordan Binnington,binnijo01,STL,vs,NSH,L,,4,20,16,80.00%,0,37.08
202311260CHI,11/26/2023,Jordan Binnington,binnijo01,STL,@,CHI,W,,2,33,31,93.90%,0,60
202311280MIN,11/28/2023,Jordan Binnington,binnijo01,STL,@,MIN,L,,3,37,34,91.90%,0,57.4
202311300STL,11/30/2023,Jordan Binnington,binnijo01,STL,vs,BUF,W,,4,46,42,91.30%,0,60
202312040VEG,12/4/2023,Jordan Binnington,binnijo01,STL,@,VEG,W,OT,1,34,33,97.10%,0,60.63
202312060STL,12/6/2023,Jordan Binnington,binnijo01,STL,vs,VEG,L,,5,48,43,89.60%,0,56.35
202312090CHI,12/9/2023,Jordan Binnington,binnijo01,STL,@,CHI,L,,3,24,21,87.50%,0,56.27
202312120STL,12/12/2023,Jordan Binnington,binnijo01,STL,vs,DET,L,,5,31,26,83.90%,0,59.62
202312140STL,12/14/2023,Jordan Binnington,binnijo01,STL,vs,OTT,W,,2,34,32,94.10%,0,59.82
202312160STL,12/16/2023,Jordan Binnington,binnijo01,STL,vs,DAL,W,OT,3,23,20,87.00%,0,60.18
202312190TBL,12/19/2023,Jordan Binnington,binnijo01,STL,@,TBL,L,,5,23,18,78.30%,0,32.22
202312230STL,12/23/2023,Jordan Binnington,binnijo01,STL,vs,CHI,W,,5,20,15,75.00%,0,60
202312290STL,12/29/2023,Jordan Binnington,binnijo01,STL,vs,COL,L,,2,23,21,91.30%,0,58.83
202401040STL,1/4/2024,Jordan Binnington,binnijo01,STL,vs,VAN,W,,1,26,25,96.20%,0,60
202401060CAR,1/6/2024,Jordan Binnington,binnijo01,STL,@,CAR,W,SO,1,30,29,96.70%,0,64.97
202401110STL,1/11/2024,Jordan Binnington,binnijo01,STL,vs,NYR,W,,2,43,41,95.30%,0,59.77
202401130STL,1/13/2024,Jordan Binnington,binnijo01,STL,vs,BOS,L,OT,4,35,31,88.60%,0,61.17
202401180WSH,1/18/2024,Jordan Binnington,binnijo01,STL,@,WSH,L,,4,25,21,84.00%,0,57.73
202401200STL,1/20/2024,Jordan Binnington,binnijo01,STL,vs,WSH,W,,0,18,18,100.00%,0,59.43
202401230CGY,1/23/2024,Jordan Binnington,binnijo01,STL,@,CGY,W,,3,35,32,91.40%,0,60
202401260SEA,1/26/2024,Jordan Binnington,binnijo01,STL,@,SEA,W,OT,3,36,33,91.70%,0,63.02
202401300STL,1/30/2024,Jordan Binnington,binnijo01,STL,vs,CBJ,L,,1,22,21,95.50%,0,58.17
202402110MTL,2/11/2024,Jordan Binnington,binnijo01,STL,@,MTL,W,,2,32,30,93.80%,0,60
202402130TOR,2/13/2024,Jordan Binnington,binnijo01,STL,@,TOR,L,,3,31,28,90.30%,0,59.13
202402150STL,2/15/2024,Jordan Binnington,binnijo01,STL,vs,EDM,W,,3,38,35,92.10%,0,59.67
202402170STL,2/17/2024,Jordan Binnington,binnijo01,STL,vs,NSH,L,,4,32,28,87.50%,2,57.83
202402220STL,2/22/2024,Jordan Binnington,binnijo01,STL,vs,NYI,W,,0,38,38,100.00%,0,60
202402240DET,2/24/2024,Jordan Binnington,binnijo01,STL,@,DET,L,,4,14,10,71.40%,2,19.87
202402280EDM,2/28/2024,Jordan Binnington,binnijo01,STL,@,EDM,L,OT,3,36,33,91.70%,0,64.2
202403020STL,3/2/2024,Jordan Binnington,binnijo01,STL,vs,MIN,W,,1,22,21,95.50%,0,60
202403040PHI,3/4/2024,Jordan Binnington,binnijo01,STL,@,PHI,W,SO,1,42,41,97.60%,0,65
202403070NJD,3/7/2024,Jordan Binnington,binnijo01,STL,@,NJD,L,,3,32,29,90.60%,0,57.97
202403090NYR,3/9/2024,Jordan Binnington,binnijo01,STL,@,NYR,L,,4,39,35,89.70%,0,60
202403130STL,3/13/2024,Jordan Binnington,binnijo01,STL,vs,LAK,W,,1,41,40,97.60%,0,60
202403160STL,3/16/2024,Jordan Binnington,binnijo01,STL,vs,MIN,W,SO,2,24,22,91.70%,0,65
202403190STL,3/19/2024,Jordan Binnington,binnijo01,STL,vs,COL,L,,4,35,31,88.60%,0,58.25
202403230MIN,3/23/2024,Jordan Binnington,binnijo01,STL,@,MIN,W,OT,4,34,30,88.20%,0,62.08
202403250STL,3/25/2024,Jordan Binnington,binnijo01,STL,vs,VEG,L,OT,2,34,32,94.10%,0,60.82
202403280STL,3/28/2024,Jordan Binnington,binnijo01,STL,vs,CGY,W,,3,28,25,89.30%,0,60
202404010STL,4/1/2024,Jordan Binnington,binnijo01,STL,vs,EDM,W,OT,2,38,36,94.70%,2,62
202404040NSH,4/4/2024,Jordan Binnington,binnijo01,STL,@,NSH,L,,4,29,25,86.20%,0,55.6
202404070ANA,4/7/2024,Jordan Binnington,binnijo01,STL,@,ANA,W,SO,5,38,33,86.80%,2,65
202404120STL,4/12/2024,Jordan Binnington,binnijo01,STL,vs,CAR,L,,3,40,37,92.50%,0,59.25
202404170DAL,4/17/2024,Jordan Binnington,binnijo01,STL,@,DAL,L,SO,1,37,36,97.30%,0,65
202310140SJS,10/14/2023,Mackenzie Blackwood,blackma01,SJS,vs,COL,L,SO,1,52,51,98.10%,0,65
202310170SJS,10/17/2023,Mackenzie Blackwood,blackma01,SJS,vs,CAR,L,,6,42,36,85.70%,0,60
202310210NSH,10/21/2023,Mackenzie Blackwood,blackma01,SJS,@,NSH,L,,5,34,29,85.30%,2,60
202310240FLA,10/24/2023,Mackenzie Blackwood,blackma01,SJS,@,FLA,L,,2,35,33,94.30%,0,56.87
202310260TBL,10/26/2023,Mackenzie Blackwood,blackma01,SJS,@,TBL,L,,5,21,16,76.20%,0,27.48
202310290WSH,10/29/2023,Mackenzie Blackwood,blackma01,SJS,@,WSH,L,,2,41,39,95.10%,0,59.5
202311020SJS,11/2/2023,Mackenzie Blackwood,blackma01,SJS,vs,VAN,L,,4,14,10,71.40%,0,31.22
202311040SJS,11/4/2023,Mackenzie Blackwood,blackma01,SJS,vs,PIT,L,,6,18,12,66.70%,0,29.45
202311070SJS,11/7/2023,Mackenzie Blackwood,blackma01,SJS,vs,PHI,W,,1,39,38,97.40%,0,60
202311090SJS,11/9/2023,Mackenzie Blackwood,blackma01,SJS,vs,EDM,W,,2,41,39,95.10%,0,60
202311120ANA,11/12/2023,Mackenzie Blackwood,blackma01,SJS,@,ANA,L,,4,44,40,90.90%,0,60
202311140SJS,11/14/2023,Mackenzie Blackwood,blackma01,SJS,vs,FLA,L,,4,30,26,86.70%,0,57.23
202311200VAN,11/20/2023,Mackenzie Blackwood,blackma01,SJS,@,VAN,L,,3,37,34,91.90%,0,58.75
202311220SEA,11/22/2023,Mackenzie Blackwood,blackma01,SJS,@,SEA,L,,3,13,10,76.90%,0,40
202311240SJS,11/24/2023,Mackenzie Blackwood,blackma01,SJS,vs,MTL,L,SO,2,24,22,91.70%,0,64.68
202311270SJS,11/27/2023,Mackenzie Blackwood,blackma01,SJS,vs,WSH,W,,1,34,33,97.10%,0,60
202311300BOS,11/30/2023,Mackenzie Blackwood,blackma01,SJS,@,BOS,L,,3,37,34,91.90%,0,60
202312030NYR,12/3/2023,Mackenzie Blackwood,blackma01,SJS,@,NYR,L,,6,36,30,83.30%,0,57.98
202312070DET,12/7/2023,Mackenzie Blackwood,blackma01,SJS,@,DET,W,OT,4,20,16,80.00%,0,33.67
202312120SJS,12/12/2023,Mackenzie Blackwood,blackma01,SJS,vs,WPG,W,,1,37,36,97.30%,0,60
202312170COL,12/17/2023,Mackenzie Blackwood,blackma01,SJS,@,COL,L,,5,28,23,82.10%,0,59.68
202312210SJS,12/21/2023,Mackenzie Blackwood,blackma01,SJS,vs,ARI,L,,5,30,25,83.30%,0,60
202312230VAN,12/23/2023,Mackenzie Blackwood,blackma01,SJS,@,VAN,L,,6,25,19,76.00%,0,58
202401040SJS,1/4/2024,Mackenzie Blackwood,blackma01,SJS,vs,WPG,L,,2,30,28,93.30%,0,58
202401060SJS,1/6/2024,Mackenzie Blackwood,blackma01,SJS,vs,TOR,L,,4,32,28,87.50%,0,60
202401090TOR,1/9/2024,Mackenzie Blackwood,blackma01,SJS,@,TOR,L,,3,26,23,88.50%,0,37.9
202401110MTL,1/11/2024,Mackenzie Blackwood,blackma01,SJS,@,MTL,W,,2,35,33,94.30%,0,60
202401130OTT,1/13/2024,Mackenzie Blackwood,blackma01,SJS,@,OTT,L,,5,41,36,87.80%,0,59.92
202401160CHI,1/16/2024,Mackenzie Blackwood,blackma01,SJS,@,CHI,L,SO,1,25,24,96.00%,0,64.9
202401200SJS,1/20/2024,Mackenzie Blackwood,blackma01,SJS,vs,ANA,W,,3,34,31,91.20%,0,60
202401230SJS,1/23/2024,Mackenzie Blackwood,blackma01,SJS,vs,NYR,W,OT,2,31,29,93.50%,0,61.48
202401300SJS,1/30/2024,Mackenzie Blackwood,blackma01,SJS,vs,SEA,W,,0,32,32,100.00%,0,60
202402150CGY,2/15/2024,Mackenzie Blackwood,blackma01,SJS,@,CGY,W,,3,34,31,91.20%,0,60
202402190SJS,2/19/2024,Mackenzie Blackwood,blackma01,SJS,vs,VEG,L,,4,26,22,84.60%,0,59.62
202402270SJS,2/27/2024,Mackenzie Blackwood,blackma01,SJS,vs,NJD,L,,0,13,13,100.00%,0,17.57
202403210SJS,3/21/2024,Mackenzie Blackwood,blackma01,SJS,vs,TBL,L,,4,21,17,81.00%,0,60
202403260SJS,3/26/2024,Mackenzie Blackwood,blackma01,SJS,vs,DAL,L,,6,41,35,85.40%,0,60
202403280MIN,3/28/2024,Mackenzie Blackwood,blackma01,SJS,@,MIN,L,,2,31,29,93.50%,0,59.45
