Team,Player,PlayerID,GP,G,A,PTS,SOG,HIT,BLK,PIM,TOI,ATOI,S%,EVG,PPG,SHG,GWG,EVA,PPA,SHA
NYR,Riley Nash,nashri02,1,0,0,0,1,1,0,0,11.08,11.08,0.00%,0,0,0,0,0,0,0
CHI,Frank Nazar,nazarfr01,3,1,0,1,2,0,1,0,48.43,16.14,50.00%,1,0,0,0,0,0,0
CAR,Martin Nečas,necasma01,77,24,29,53,231,77,31,42,1336.43,17.36,10.39%,16,8,0,3,24,5,0
STL,Jake Neighbours,neighja01,77,27,11,38,145,138,45,21,1209.43,15.71,18.62%,19,8,0,4,5,6,0
NYI,Brock Nelson,nelsobr01,82,34,35,69,250,38,47,28,1482.85,18.08,13.60%,24,9,1,2,24,10,1
NJD,Simon Nemec,nemecsi01,60,3,16,19,73,22,105,33,1191.78,19.86,4.11%,3,0,0,1,14,2,0
ANA,Nikita Nesterenko,nesteni02,3,1,0,1,7,7,0,0,34.57,11.52,14.29%,1,0,0,0,0,0,0
MTL,Alex Newhook,newhoal01,55,15,19,34,85,36,31,18,930.95,16.93,17.65%,13,2,0,2,13,6,0
COL,Valeri Nichushkin,nichuva01,54,28,25,53,158,74,24,22,1152.92,21.35,17.72%,12,16,0,6,18,5,2
WPG,Nino Niederreiter,niedeni01,77,18,16,34,170,115,42,34,1152.3,14.96,10.59%,15,3,0,3,15,1,0
PIT,Matthew Nieto,nietoma01,22,1,3,4,13,14,9,4,255.45,11.61,7.69%,1,0,0,0,3,0,0
CAR,Stefan Noesen,noesest01,81,14,23,37,111,118,25,33,960.92,11.86,12.61%,11,3,0,3,15,8,0
OTT,Joshua Norris,norrijo01,50,16,14,30,115,86,30,22,881.87,17.64,13.91%,11,5,0,3,6,7,1
NJD,Tomáš Nosek,nosekto01,35,2,4,6,36,31,18,6,409.23,11.69,5.56%,2,0,0,0,4,0,0
TOR,Tomáš Nosek,nosekto01,1,0,0,0,2,2,2,0,15.88,15.88,0.00%,0,0,0,0,0,0,0
NSH,Thomas Novak,novakth01,71,18,27,45,113,5,31,8,1008.25,14.2,15.93%,12,6,0,1,21,6,0
EDM,Ryan Nugent-Hopkins,nugenry01,80,18,49,67,183,62,33,36,1569.93,19.62,9.84%,14,4,0,3,24,22,3
EDM,Darnell Nurse,nurseda01,81,10,22,32,181,168,172,79,1773.45,21.89,5.52%,8,1,1,2,18,4,0
PIT,Alexander Nylander,nylanal01,5,0,0,0,10,3,3,0,69.37,13.87,0.00%,0,0,0,0,0,0,0
CBJ,Alexander Nylander,nylanal01,23,11,4,15,62,9,9,6,385.6,16.77,17.74%,9,2,0,2,4,0,0
TOR,William Nylander,nylanwi01,82,40,58,98,316,32,29,24,1632.92,19.91,12.66%,26,11,3,7,33,24,1
NSH,Gustav Nyquist,nyquigu01,81,23,52,75,153,36,38,8,1437.13,17.74,15.03%,17,5,1,4,32,19,1
ARI,Liam O'Brien,obrieli01,74,5,9,14,71,225,33,142,721.27,9.75,7.04%,5,0,0,0,9,0,0
FLA,Liam O'Brien,obrieli01,1,0,0,0,1,4,0,11,8.43,8.43,0.00%,0,0,0,0,0,0,0
PIT,Drew O'Connor,oconndr01,78,16,17,33,157,53,58,20,1226.43,15.72,10.19%,15,0,1,2,16,0,1
CAR,Drew O'Connor,oconndr01,1,0,0,0,3,0,0,0,17.47,17.47,0.00%,0,0,0,0,0,0,0
COL,Logan O'Connor,oconnlo01,57,13,12,25,85,60,38,34,852.17,14.95,15.29%,10,0,3,4,12,0,0
CGY,Jordan Oesterle,oestejo01,22,0,2,2,18,22,33,4,297.38,13.52,0.00%,0,0,0,0,2,0,0
MIN,Liam Ohgren,ohgreli01,4,1,1,2,8,2,0,0,58.05,14.51,12.50%,1,0,0,1,1,0,0
SJS,Nikita Okhotyuk,okhotni01,43,1,7,8,48,125,72,44,707.32,16.45,2.08%,1,0,0,1,7,0,0
CGY,Nikita Okhotyuk,okhotni01,9,0,1,1,4,22,8,4,120.13,13.35,0.00%,0,0,0,0,1,0,0
BUF,Kyle Okposo,okposky01,61,12,10,22,106,61,34,32,830.45,13.61,11.32%,9,2,1,0,8,2,0
FLA,Kyle Okposo,okposky01,6,0,0,0,8,14,1,2,64.18,10.7,0.00%,0,0,0,0,0,0,0
COL,Oskar Olausson,olausos01,1,0,0,0,2,2,2,0,11.83,11.83,0.00%,0,0,0,0,0,0,0
SEA,Jamie Oleksiak,oleksja01,82,2,13,15,108,110,177,37,1611.18,19.65,1.85%,2,0,0,0,11,0,2
CBJ,Mathieu Olivier,olivima01,54,5,7,12,55,163,36,70,609.23,11.28,9.09%,4,0,1,1,7,0,0
COL,Fredrik Olofsson,olofsfr01,57,3,6,9,45,45,29,8,556.2,9.76,6.67%,3,0,0,1,6,0,0
SEA,Gustav Olofsson,olofsgu01,1,0,0,0,0,0,3,0,14.95,14.95,--,0,0,0,0,0,0,0
BUF,Victor Olofsson,olofsvi01,51,7,8,15,66,22,10,4,590.02,11.57,10.61%,6,1,0,1,6,2,0
NSH,Ryan O'Reilly,oreilry01,82,26,43,69,180,26,56,18,1620.8,19.77,14.44%,12,14,0,1,29,14,0
CAR,Dmitry Orlov,orlovdm01,82,6,20,26,129,116,60,36,1419.82,17.31,4.65%,5,0,1,1,15,5,0
WSH,T.J. Oshie,oshietj01,52,12,13,25,90,75,56,44,877.18,16.87,13.33%,5,7,0,4,9,4,0
OTT,Zack Ostapchuk,ostapza01,7,0,0,0,5,13,6,0,73.48,10.5,0.00%,0,0,0,0,0,0,0
NYR,Brennan Othmann,othmabr01,3,0,0,0,6,6,1,0,27.25,9.08,0.00%,0,0,0,0,0,0,0
WSH,Alex Ovechkin,ovechal01,79,31,34,65,272,162,27,20,1518.47,19.22,11.40%,18,13,0,5,19,15,0
VEG,Brayden Pachal,pachabr01,17,1,0,1,18,49,23,12,248.35,14.61,5.56%,1,0,0,0,0,0,0
CGY,Brayden Pachal,pachabr01,33,1,5,6,34,80,45,39,485.48,14.71,2.94%,1,0,0,0,4,0,1
WSH,Max Pacioretty,pacioma01,47,4,19,23,95,76,22,25,678.38,14.43,4.21%,2,2,0,0,10,9,0
NYI,Jean-Gabriel Pageau,pageaje01,82,11,22,33,101,196,81,13,1304.48,15.91,10.89%,9,1,1,2,16,1,5
NJD,Ondřej Palát,palaton01,71,11,20,31,108,92,49,37,1111.05,15.65,10.19%,10,1,0,0,16,4,0
NYI,Kyle Palmieri,palmiky01,82,30,24,54,218,89,42,26,1412.02,17.22,13.76%,20,10,0,8,14,10,0
NYR,Artemi Panarin,panarar01,82,49,71,120,303,18,15,24,1649.75,20.12,16.17%,38,11,0,5,37,33,1
STL,Colton Parayko,parayco01,82,10,16,26,154,113,218,23,1956.58,23.86,6.49%,9,0,1,4,14,1,1
COL,Zach Parise,parisza01,30,5,5,10,50,20,25,8,389.02,12.97,10.00%,5,0,0,1,3,2,0
NSH,Juuso Pärssinen,parssju01,44,8,4,12,54,62,15,12,642.38,14.6,14.81%,6,2,0,0,3,1,0
BOS,David Pastrňák,pastrda01,82,47,63,110,382,70,19,47,1634.23,19.93,12.30%,35,12,0,5,40,23,0
TBL,Nick Paul,paulni01,80,24,22,46,149,102,42,25,1381.67,17.27,16.11%,15,9,0,2,17,5,0
CAR,Nick Paul,paulni01,1,0,0,0,1,2,0,2,16.75,16.75,0.00%,0,0,0,0,0,0,0
ARI,Nick Paul,paulni01,1,0,0,0,3,0,0,0,16.9,16.9,0.00%,0,0,0,0,0,0,0
DAL,Joe Pavelski,paveljo01,82,27,40,67,194,75,70,20,1378.37,16.81,13.92%,16,11,0,4,30,10,0
COL,Ondrej Pavel,pavelon02,2,0,0,0,3,1,0,2,12.2,6.1,0.00%,0,0,0,0,0,0,0
MTL,Tanner Pearson,pearsta01,54,5,8,13,77,50,35,21,698.68,12.94,6.49%,4,1,0,1,7,1,0
CBJ,Andrew Peeke,peekean01,23,1,7,8,24,44,47,6,359.05,15.61,4.17%,1,0,0,0,6,0,1
BOS,Andrew Peeke,peekean01,15,0,2,2,13,44,31,8,264.1,17.61,0.00%,0,0,0,0,2,0,0
NYI,Adam Pelech,pelecad01,58,1,15,16,71,64,111,27,1176.33,20.28,1.41%,1,0,0,1,14,0,1
CGY,Jakob Pelletier,pelleja01,13,1,2,3,9,10,3,2,120.52,9.27,11.11%,1,0,0,1,2,0,0
TBL,Nicklaus Perbix,perbini01,75,2,21,23,57,80,110,8,1283.05,17.11,3.51%,2,0,0,1,21,0,0
CAR,Nicklaus Perbix,perbini01,1,0,1,1,0,0,2,2,15.05,15.05,--,0,0,0,0,1,0,0
ARI,Nicklaus Perbix,perbini01,1,0,0,0,0,0,2,0,17.18,17.18,--,0,0,0,0,0,0,0
WPG,Cole Perfetti,perfeco01,71,19,19,38,142,26,23,12,964.78,13.59,13.38%,14,5,0,3,13,6,0
DET,David Perron,perroda01,76,17,30,47,151,111,27,55,1187.8,15.63,11.26%,10,7,0,4,20,10,0
CHI,Corey Perry,perryco01,16,4,5,9,26,15,8,12,234.45,14.65,15.38%,3,1,0,1,4,1,0
EDM,Corey Perry,perryco01,38,8,5,13,56,28,9,34,488.18,12.85,14.29%,6,2,0,1,5,0,0
STL,Scott Perunovich,perunsc01,54,0,17,17,36,30,53,12,824.68,15.27,0.00%,0,0,0,0,11,6,0
CAR,Brett Pesce,pescebr01,70,3,10,13,107,25,113,20,1420.2,20.29,2.80%,3,0,0,1,10,0,0
