GameID,Team,Time,Player,PlayerID,Penalty,PIM
202311120ANA,ANA,60,Sam Carrick,carrisa01,Roughing,2 min
202311120ANA,SJS,60,Givani Smith,smithgi01,Roughing,2 min
202311170ANA,FLA,5.17,Dmitry Kulikov,kulikdm01,Interference,2 min
202311170ANA,ANA,19.97,Ryan Strome,stromry01,Slashing,2 min
202311170ANA,ANA,27.72,Ilya Lyubushkin,lyubuil01,Cross Checking,2 min
202311170ANA,FLA,30.15,Kevin Stenlund,stenlke01,Interference,2 min
202311170ANA,ANA,40.95,Jackson LaCombe,lacomja01,Tripping,2 min
202311170ANA,ANA,43.4,Mason McTavish,mctavma01,Roughing,2 min
202311170ANA,FLA,46.83,Aaron Ekblad,ekblaaa01,Tripping,2 min
202311190ANA,ANA,12.22,Mason McTavish,mctavma01,High Sticking,4 min
202311190ANA,ANA,16.35,Pavel Mintyukov,mintypa01,Holding,2 min
202311190ANA,STL,16.87,Jakub Vrána,vranaja01,Interference,2 min
202311190ANA,STL,18.18,Kasperi Kapanen,kapanka01,Hooking,2 min
202311190ANA,ANA,30.38,Cam Fowler,fowleca01,Hooking,2 min
202311190ANA,ANA,46.23,Pavel Mintyukov,mintypa01,Hooking,2 min
202311190ANA,ANA,59.82,Adam Henrique,henriad01,Tripping,2 min
202311220ANA,ANA,3.88,Ilya Lyubushkin,lyubuil01,Illegal Equipment,2 min
202311220ANA,ANA,11.13,Mason McTavish,mctavma01,Hooking,2 min
202311220ANA,MTL,20.8,Juraj Slafkovsky,slafkju01,Holding,2 min
202311220ANA,ANA,27.57,Max Jones,jonesma03,Elbowing,2 min
202311220ANA,ANA,55.17,Max Jones,jonesma03,Unsportsmanlike Conduct,2 min
202311220ANA,MTL,55.17,Sean Monahan,monahse01,Unsportsmanlike Conduct,2 min
202311240ANA,LAK,6.73,Kevin Fiala,fialake01,Slashing,2 min
202311240ANA,ANA,9.22,Bench,,Too Many Men on the Ice,2 min
202311240ANA,ANA,11.33,Radko Gudas,gudasra01,Interference,2 min
202311240ANA,ANA,23.53,Sam Carrick,carrisa01,Fighting,5 min
202311240ANA,LAK,23.53,Andreas Englund,engluan01,Fighting,5 min
202311240ANA,LAK,24.62,Michael Anderson,andermi02,Cross Checking,2 min
202311240ANA,LAK,24.62,Drew Doughty,doughdr01,Roughing,2 min
202311240ANA,LAK,24.62,Pierre-Luc Dubois,duboipi01,Interference,2 min
202311240ANA,ANA,24.62,Mason McTavish,mctavma01,Roughing,2 min
202311240ANA,ANA,24.62,Frank Vatrano,vatrafr01,Tripping,2 min
202311240ANA,ANA,24.62,Frank Vatrano,vatrafr01,Roughing,2 min
202311240ANA,ANA,34.82,Bench,,Too Many Men on the Ice,2 min
202311240ANA,LAK,42.7,Andreas Englund,engluan01,Holding,2 min
202311240ANA,ANA,42.7,Radko Gudas,gudasra01,Roughing,2 min
202311240ANA,LAK,51.17,Trevor Lewis,lewistr01,Tripping,2 min
202311300ANA,WSH,5.08,Tom Wilson,wilsoto01,Boarding,2 min
202311300ANA,ANA,13.2,Adam Henrique,henriad01,Holding,2 min
202311300ANA,WSH,13.7,Tom Wilson,wilsoto01,Slashing,2 min
202311300ANA,ANA,18.47,Alex Killorn,killoal01,Cross Checking,2 min
202311300ANA,WSH,21.72,Evgeny Kuznetsov,kuzneev01,Holding,2 min
202311300ANA,WSH,25.07,Evgeny Kuznetsov,kuzneev01,Roughing,2 min
202311300ANA,ANA,25.07,Mason McTavish,mctavma01,High Sticking,2 min
202311300ANA,WSH,30.58,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
202311300ANA,WSH,37.03,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
202311300ANA,ANA,43.7,Troy Terry,terrytr01,Tripping,2 min
202311300ANA,ANA,44.4,Ilya Lyubushkin,lyubuil01,Delay of Game,2 min
202311300ANA,ANA,47.25,Radko Gudas,gudasra01,Roughing,2 min
202311300ANA,WSH,47.25,Connor McMichael,mcmicco01,Roughing,2 min
202311300ANA,ANA,53.67,Jakob Silfverberg,silfvja01,Hooking,2 min
202311300ANA,ANA,55.93,Frank Vatrano,vatrafr01,Slashing,2 min
202312020ANA,ANA,1,Benoit-Olivier Groulx,groulbe01,Interference,2 min
202312020ANA,COL,12.95,Josh Manson,mansojo01,Hooking,2 min
202312020ANA,ANA,14.98,Radko Gudas,gudasra01,Tripping,2 min
202312020ANA,COL,28.38,Caleb Jones,jonesca01,Holding,2 min
202312020ANA,ANA,36.25,Benoit-Olivier Groulx,groulbe01,Holding Stick,2 min
202312020ANA,COL,43.52,Ross Colton,coltoro01,Tripping,2 min
202312100ANA,ANA,7.05,Troy Terry,terrytr01,Tripping,2 min
202312100ANA,ANA,12.73,Bench,,Too Many Men on the Ice,2 min
202312100ANA,WPG,20.45,Mark Scheifele,scheima01,Fighting,5 min
202312100ANA,ANA,20.45,Ryan Strome,stromry01,Kneeing,5 min
202312100ANA,ANA,20.45,Ryan Strome,stromry01,Fighting,5 min
202312100ANA,ANA,20.45,Ryan Strome,stromry01,Misconduct,10 min
202312100ANA,WPG,25.72,Josh Morrissey,morrijo04,Tripping,2 min
202312100ANA,WPG,34.28,Neal Pionk,pionkne01,Holding Stick,2 min
202312100ANA,ANA,37.38,Brock McGinn,mcginbr01,Tripping,2 min
202312100ANA,ANA,48.08,Troy Terry,terrytr01,Hooking,2 min
202312210ANA,ANA,8.85,Frank Vatrano,vatrafr01,Slashing,2 min
202312210ANA,CGY,22.87,Andrew Mangiapane,mangian01,Hooking,2 min
202312210ANA,ANA,27.55,Bench,,Too Many Men on the Ice,2 min
202312210ANA,CGY,30.52,MacKenzie Weegar,weegama01,Cross Checking,2 min
202312210ANA,ANA,32.47,Adam Henrique,henriad01,Tripping,2 min
202312210ANA,ANA,33.93,Radko Gudas,gudasra01,High Sticking,4 min
202312210ANA,CGY,41.43,Nazem Kadri,kadrina01,Hooking,2 min
202312210ANA,ANA,43.55,Leo Carlsson,carlsle01,Tripping,2 min
202312210ANA,CGY,53.15,MacKenzie Weegar,weegama01,Delay of Game,2 min
202312210ANA,ANA,59.93,Sam Carrick,carrisa01,Cross Checking,2 min
202312210ANA,ANA,59.93,Sam Carrick,carrisa01,Fighting,5 min
202312210ANA,CGY,59.93,A.J. Greer,greeraj01,Fighting,5 min
202312230ANA,ANA,12.77,Mason McTavish,mctavma01,Interference,2 min
202312230ANA,SEA,24.5,Brandon Tanev,tanevbr01,High Sticking,4 min
202312230ANA,SEA,45.65,William Borgen,borgewi01,Interference,2 min
202312270ANA,ANA,1.12,Urho Vaakanainen,vaakaur01,High Sticking,2 min
202312270ANA,ANA,11.55,Frank Vatrano,vatrafr01,Cross Checking,2 min
202312270ANA,ANA,12.88,Trevor Zegras,zegratr01,Hooking,2 min
202312270ANA,ANA,19.92,Mason McTavish,mctavma01,Delay of Game,2 min
202312270ANA,ANA,54.15,Jakob Silfverberg,silfvja01,Hooking,2 min
202312270ANA,VEG,58.02,Jack Eichel,eicheja01,Hooking,2 min
202312290ANA,ANA,6.88,Ilya Lyubushkin,lyubuil01,Hooking,2 min
202312290ANA,ARI,18.87,Lawson Crouse,crousla01,Roughing,2 min
202312290ANA,ANA,18.87,Mason McTavish,mctavma01,Roughing,2 min
202312290ANA,ARI,23.13,Logan Cooley,coolelo01,Tripping,2 min
202312290ANA,ANA,25.63,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,ANA,25.63,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,ARI,25.63,Jack McBain,mcbaija03,Roughing,2 min
202312290ANA,ARI,34.08,Travis Dermott,dermotr01,Interference,2 min
202312290ANA,ARI,40.55,Zach Sanford,sanfoza01,Holding,2 min
202312290ANA,ANA,45.45,Brett Leason,leasobr01,Boarding,2 min
202312310ANA,EDM,14.33,Brett Kulak,kulakbr01,Interference,2 min
202312310ANA,EDM,17.97,Mattias Janmark,janmama02,Cross Checking,2 min
202312310ANA,EDM,17.97,Mattias Janmark,janmama02,Roughing,2 min
202312310ANA,ANA,17.97,Ilya Lyubushkin,lyubuil01,Roughing,2 min
202312310ANA,ANA,17.97,Ilya Lyubushkin,lyubuil01,Roughing,2 min
202312310ANA,ANA,22.17,Ryan Strome,stromry01,Hooking,2 min
202312310ANA,EDM,32.5,Vincent Desharnais,deshavi01,Holding,2 min
202312310ANA,EDM,33.62,Mattias Ekholm,ekholma01,Hooking,2 min
