Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
38,202401040NYR,01/04/2024,CHI,@,NYR,1,4,L,,23,9,32,11,44,61,41.9,28,47,37.3,14,27
39,202401050NJD,01/05/2024,CHI,@,NJD,2,4,L,,25,38,32,26,37,45,45.1,27,29,48.2,15,20
40,202401070CHI,01/07/2024,CHI,vs,CGY,4,3,W,,20,6,30,6,40,51,44,25,32,43.9,22,27
41,202401090CHI,01/09/2024,CHI,vs,EDM,1,2,L,,26,2,15,6,43,38,53.1,31,25,55.4,18,29
42,202401110WPG,01/11/2024,CHI,@,WPG,1,2,L,,21,8,28,4,44,59,42.7,25,37,40.3,19,17
43,202401130CHI,01/13/2024,CHI,vs,DAL,1,3,L,,35,11,30,9,59,54,52.2,47,37,56,16,39
44,202401160CHI,01/16/2024,CHI,vs,SJS,2,1,W,SO,25,16,38,20,44,58,43.1,28,51,35.4,21,19
45,202401180BUF,01/18/2024,CHI,@,BUF,0,3,L,,19,15,31,10,23,43,34.8,14,27,34.1,13,9
46,202401190CHI,01/19/2024,CHI,vs,NYI,4,3,W,OT,24,6,30,6,51,68,42.9,33,45,42.3,27,29
47,202401220VAN,01/22/2024,CHI,@,VAN,0,2,L,,31,6,29,10,37,51,42,28,43,39.4,15,14
48,202401240SEA,01/24/2024,CHI,@,SEA,2,6,L,,34,6,28,6,56,53,51.4,40,35,53.3,28,25
49,202401250EDM,01/25/2024,CHI,@,EDM,0,3,L,,27,4,34,2,45,57,44.1,35,45,43.8,19,30
50,202401270CGY,01/27/2024,CHI,@,CGY,0,1,L,,32,4,31,4,50,56,47.2,42,39,51.9,27,23
51,202402070CHI,02/07/2024,CHI,vs,MIN,1,2,L,,21,9,25,9,45,43,51.1,29,31,48.3,26,23
52,202402090CHI,02/09/2024,CHI,vs,NYR,3,4,L,OT,31,8,35,6,49,43,53.3,36,33,52.2,31,19
53,202402130CHI,02/13/2024,CHI,vs,VAN,2,4,L,,24,13,38,13,33,51,39.3,24,43,35.8,18,16
54,202402150CHI,02/15/2024,CHI,vs,PIT,1,4,L,,28,2,27,4,35,47,42.7,28,36,43.8,14,25
55,202402170CHI,02/17/2024,CHI,vs,OTT,3,2,W,,22,4,42,2,45,69,39.5,29,52,35.8,30,25
56,202402190CAR,02/19/2024,CHI,@,CAR,3,6,L,,17,8,42,8,27,63,30,17,48,26.2,24,19
57,202402210CHI,02/21/2024,CHI,vs,PHI,1,3,L,,22,5,33,9,49,67,42.2,30,47,39,22,24
58,202402230CHI,02/23/2024,CHI,vs,WPG,2,3,L,OT,35,6,31,6,63,45,58.3,43,36,54.4,18,24
59,202402250CHI,02/25/2024,CHI,vs,DET,2,3,L,OT,36,0,31,2,59,65,47.6,45,43,51.1,24,31
60,202402290CHI,02/29/2024,CHI,vs,COL,0,5,L,,24,7,33,7,38,62,38,28,46,37.8,25,20
61,202403020CHI,03/02/2024,CHI,vs,CBJ,2,5,L,,28,4,31,6,48,55,46.6,33,37,47.1,19,20
62,202403040COL,03/04/2024,CHI,@,COL,0,5,L,,37,4,37,8,47,50,48.5,33,39,45.8,23,30
63,202403050ARI,03/05/2024,CHI,@,ARI,5,2,W,,32,4,39,10,45,55,45,30,42,41.7,24,24
64,202403090WSH,03/09/2024,CHI,@,WSH,1,4,L,,32,8,26,8,46,31,59.7,34,24,58.6,23,16
65,202403100CHI,03/10/2024,CHI,vs,ARI,7,4,W,,41,9,36,15,59,48,55.1,46,40,53.5,24,21
66,202403120CHI,03/12/2024,CHI,vs,ANA,7,2,W,,31,45,29,43,46,45,50.5,25,33,43.1,26,14
67,202403150CHI,03/15/2024,CHI,vs,LAK,0,5,L,,28,6,37,8,38,55,40.9,22,43,33.8,21,24
68,202403170CHI,03/17/2024,CHI,vs,SJS,5,2,W,,31,2,27,6,48,59,44.9,36,42,46.2,21,19
69,202403190LAK,03/19/2024,CHI,@,LAK,2,6,L,,24,2,24,8,51,41,55.4,32,32,50,17,27
70,202403210ANA,03/21/2024,CHI,@,ANA,0,4,L,,29,22,25,14,40,40,50,30,30,50,17,28
71,202403230SJS,03/23/2024,CHI,@,SJS,5,4,W,OT,31,13,30,9,54,56,49.1,41,38,51.9,22,24
72,202403260CHI,03/26/2024,CHI,vs,CGY,3,1,W,,27,4,39,4,31,66,32,27,50,35.1,15,25
73,202403280OTT,03/28/2024,CHI,@,OTT,0,2,L,,19,4,34,4,40,55,42.1,27,43,38.6,14,22
74,202403300PHI,03/30/2024,CHI,@,PHI,5,1,W,,24,13,31,21,38,53,41.8,28,40,41.2,17,21
75,202404020NYI,04/02/2024,CHI,@,NYI,1,2,L,,19,9,29,7,38,52,42.2,25,40,38.5,17,25
76,202404060CHI,04/06/2024,CHI,vs,DAL,3,2,W,,17,8,44,6,31,77,28.7,19,55,25.7,17,23
77,202404070CHI,04/07/2024,CHI,vs,MIN,0,4,L,,24,4,37,0,48,54,47.1,33,44,42.9,32,15
78,202404100STL,04/10/2024,CHI,@,STL,2,5,L,,20,10,26,8,36,52,40.9,25,36,41,18,19
79,202404120CHI,04/12/2024,CHI,vs,NSH,1,5,L,,26,8,40,10,40,55,42.1,29,45,39.2,13,31
80,202404140CHI,04/14/2024,CHI,vs,CAR,2,4,L,,16,6,34,6,26,64,28.9,19,48,28.4,26,17
81,202404160VEG,04/16/2024,CHI,@,VEG,1,3,L,,23,2,37,2,43,63,40.6,32,46,41,17,37
82,202404180LAK,04/18/2024,CHI,@,LAK,4,5,L,OT,13,8,35,2,22,63,25.9,16,52,23.5,13,21
1,202310110LAK,10/11/2023,COL,@,LAK,5,2,W,,37,19,36,15,47,51,48,36,36,50,28,22
2,202310140SJS,10/14/2023,COL,@,SJS,2,1,W,SO,52,8,21,10,90,38,70.3,65,28,69.9,21,27
3,202310170SEA,10/17/2023,COL,@,SEA,4,1,W,,28,15,38,11,51,53,49,35,38,47.9,20,26
4,202310190COL,10/19/2023,COL,vs,CHI,4,0,W,,41,8,18,6,56,30,65.1,40,22,64.5,22,15
5,202310210COL,10/21/2023,COL,vs,CAR,6,4,W,,27,10,27,10,39,42,48.1,31,31,50,23,24
6,202310240NYI,10/24/2023,COL,@,NYI,7,4,W,,38,12,32,10,58,43,57.4,42,35,54.5,18,31
7,202310260PIT,10/26/2023,COL,@,PIT,0,4,L,,31,4,29,10,48,45,51.6,39,36,52,17,31
8,202310290BUF,10/29/2023,COL,@,BUF,0,4,L,,23,16,29,12,49,33,59.8,31,27,53.4,17,17
9,202311010COL,11/01/2023,COL,vs,STL,4,1,W,,28,8,28,6,50,40,55.6,38,32,54.3,25,25
10,202311040VEG,11/04/2023,COL,@,VEG,0,7,L,,41,14,34,12,72,36,66.7,44,28,61.1,30,29
11,202311070COL,11/07/2023,COL,vs,NJD,6,3,W,,32,21,23,12,44,41,51.8,31,26,54.4,19,33
12,202311090COL,11/09/2023,COL,vs,SEA,3,4,L,,26,10,22,8,54,38,58.7,32,30,51.6,24,17
13,202311110COL,11/11/2023,COL,vs,STL,2,8,L,,38,8,42,6,58,42,58,40,34,54.1,29,22
14,202311130SEA,11/13/2023,COL,@,SEA,5,1,W,,31,13,19,29,52,47,52.5,34,33,50.7,22,26
15,202311150COL,11/15/2023,COL,vs,ANA,8,2,W,,38,8,17,10,42,34,55.3,35,25,58.3,24,27
16,202311180DAL,11/18/2023,COL,@,DAL,6,3,W,,38,8,28,8,58,44,56.9,45,33,57.7,17,24
17,202311200NSH,11/20/2023,COL,@,NSH,3,4,L,,29,8,30,10,38,53,41.8,29,31,48.3,17,18
18,202311220COL,11/22/2023,COL,vs,VAN,5,2,W,,25,21,29,10,49,44,52.7,27,35,43.5,20,25
19,202311240MIN,11/24/2023,COL,@,MIN,3,2,W,,25,12,21,14,40,33,54.8,27,25,51.9,17,13
20,202311250COL,11/25/2023,COL,vs,CGY,3,1,W,,24,10,30,10,48,55,46.6,35,39,47.3,24,21
21,202311270COL,11/27/2023,COL,vs,TBL,4,1,W,,23,26,39,40,40,54,42.6,31,39,44.3,24,23
22,202311300ARI,11/30/2023,COL,@,ARI,3,4,L,OT,31,11,32,11,51,50,50.5,36,36,50,22,16
23,202312020ANA,12/02/2023,COL,@,ANA,3,4,L,SO,37,6,37,6,59,54,52.2,42,41,50.6,23,33
24,202312030LAK,12/03/2023,COL,@,LAK,1,4,L,,21,2,38,4,41,68,37.6,26,51,33.8,22,25
25,202312050COL,12/05/2023,COL,vs,ANA,3,2,W,,30,6,33,6,50,47,51.5,38,31,55.1,22,18
26,202312070COL,12/07/2023,COL,vs,WPG,2,4,L,,34,2,28,8,50,48,51,39,37,51.3,19,18
27,202312090COL,12/09/2023,COL,vs,PHI,2,5,L,,38,2,34,4,65,54,54.6,43,42,50.6,27,32
28,202312110COL,12/11/2023,COL,vs,CGY,6,5,W,,38,6,32,10,66,53,55.5,41,42,49.4,35,26
29,202312130COL,12/13/2023,COL,vs,BUF,5,1,W,,29,4,30,4,56,50,52.8,39,34,53.4,31,28
30,202312160WPG,12/16/2023,COL,@,WPG,2,6,L,,32,4,25,8,42,50,45.7,28,35,44.4,25,15
31,202312170COL,12/17/2023,COL,vs,SJS,6,2,W,,29,30,27,31,52,44,54.2,37,27,57.8,27,15
32,202312190CHI,12/19/2023,COL,@,CHI,2,3,L,,37,32,22,16,54,35,60.7,42,30,58.3,19,19
33,202312210COL,12/21/2023,COL,vs,OTT,6,4,W,,39,12,45,10,46,55,45.5,39,38,50.6,27,20
34,202312230COL,12/23/2023,COL,vs,ARI,4,1,W,,26,11,25,9,34,34,50,25,28,47.2,19,18
35,202312270ARI,12/27/2023,COL,@,ARI,4,5,L,OT,24,4,27,8,39,57,40.6,30,43,41.1,25,21
36,202312290STL,12/29/2023,COL,@,STL,2,1,W,,23,8,29,4,35,42,45.5,25,35,41.7,15,17
37,202312310COL,12/31/2023,COL,vs,SJS,3,1,W,,33,8,11,24,65,29,69.1,38,19,66.7,22,26
38,202401020COL,01/02/2024,COL,vs,NYI,5,4,W,OT,39,6,22,10,71,36,66.4,46,24,65.7,21,21
39,202401040DAL,01/04/2024,COL,@,DAL,5,4,W,OT,34,6,32,6,56,64,46.7,38,42,47.5,26,25
40,202401060COL,01/06/2024,COL,vs,FLA,4,8,L,,26,12,29,10,28,42,40,22,27,44.9,21,21
41,202401080COL,01/08/2024,COL,vs,BOS,4,3,W,SO,36,8,26,14,59,43,57.8,38,28,57.6,26,38
42,202401100COL,01/10/2024,COL,vs,VEG,3,0,W,,35,8,25,8,57,41,58.2,36,28,56.3,18,20
43,202401130TOR,01/13/2024,COL,@,TOR,5,3,W,,33,2,29,8,60,53,53.1,42,38,52.5,23,20
44,202401150MTL,01/15/2024,COL,@,MTL,3,4,L,,35,6,34,10,70,44,61.4,44,36,55,25,39
45,202401160OTT,01/16/2024,COL,@,OTT,7,4,W,,34,10,40,10,47,72,39.5,33,50,39.8,25,37
46,202401180BOS,01/18/2024,COL,@,BOS,2,5,L,,32,6,31,4,58,50,53.7,45,34,57,27,26
47,202401200PHI,01/20/2024,COL,@,PHI,7,4,W,,25,6,40,4,37,69,34.9,24,45,34.8,17,32
48,202401240COL,01/24/2024,COL,vs,WSH,6,2,W,,31,10,25,8,52,62,45.6,35,40,46.7,28,22
49,202401260COL,01/26/2024,COL,vs,LAK,5,1,W,,31,14,27,12,46,38,54.8,33,26,55.9,19,21
50,202402050NYR,02/05/2024,COL,@,NYR,1,2,L,OT,33,4,29,8,56,47,54.4,43,37,53.8,17,22
51,202402060NJD,02/06/2024,COL,@,NJD,3,5,L,,38,8,31,8,60,51,54.1,42,35,54.5,20,31
52,202402080CAR,02/08/2024,COL,@,CAR,2,5,L,,27,12,27,34,46,44,51.1,35,29,54.7,19,24
53,202402100FLA,02/10/2024,COL,@,FLA,0,4,L,,34,4,41,2,56,81,40.9,43,60,41.7,19,32
54,202402130WSH,02/13/2024,COL,@,WSH,6,3,W,,37,6,27,16,51,56,47.7,38,41,48.1,27,30
55,202402150TBL,02/15/2024,COL,@,TBL,3,6,L,,31,4,39,6,48,55,46.6,34,41,45.3,26,34
56,202402180COL,02/18/2024,COL,vs,ARI,4,3,W,,37,14,30,10,42,28,60,31,20,60.8,22,23
57,202402200COL,02/20/2024,COL,vs,VAN,3,1,W,,27,4,25,6,37,43,46.3,26,28,48.1,16,31
58,202402220DET,02/22/2024,COL,@,DET,1,2,L,OT,31,8,30,6,61,45,57.5,43,36,54.4,21,19
59,202402240COL,02/24/2024,COL,vs,TOR,3,4,L,,29,4,30,2,67,45,59.8,43,32,57.3,21,22
60,202402270COL,02/27/2024,COL,vs,DAL,5,1,W,,27,4,34,4,45,56,44.6,34,44,43.6,21,24
61,202402290CHI,02/29/2024,COL,@,CHI,5,0,W,,33,7,24,7,64,37,63.4,46,28,62.2,20,25
62,202403020NSH,03/02/2024,COL,@,NSH,1,5,L,,26,8,35,4,43,67,39.1,31,48,39.2,19,23
63,202403040COL,03/04/2024,COL,vs,CHI,5,0,W,,37,8,37,4,51,45,53.1,39,33,54.2,30,23
64,202403060COL,03/06/2024,COL,vs,DET,7,2,W,,54,10,29,18,74,40,64.9,52,29,64.2,27,26
65,202403080COL,03/08/2024,COL,vs,MIN,2,1,W,OT,40,8,30,8,61,56,52.1,39,48,44.8,21,26
66,202403120CGY,03/12/2024,COL,@,CGY,6,2,W,,38,6,27,8,58,46,55.8,41,33,55.4,36,19
67,202403130VAN,03/13/2024,COL,@,VAN,4,3,W,OT,34,11,21,13,65,25,72.2,44,23,65.7,18,19
68,202403160EDM,03/16/2024,COL,@,EDM,3,2,W,OT,43,7,34,7,82,60,57.7,58,42,58,21,33
69,202403190STL,03/19/2024,COL,@,STL,4,3,W,,35,6,33,6,57,58,49.6,43,45,48.9,26,25
70,202403220COL,03/22/2024,COL,vs,CBJ,6,1,W,,50,5,24,11,78,49,61.4,53,38,58.2,23,20
71,202403240COL,03/24/2024,COL,vs,PIT,5,4,W,OT,30,4,34,4,58,61,48.7,41,46,47.1,22,30
72,202403260COL,03/26/2024,COL,vs,MTL,1,2,L,,28,6,27,6,63,40,61.2,42,31,57.5,22,25
73,202403280COL,03/28/2024,COL,vs,NYR,2,3,L,SO,40,6,25,4,75,47,61.5,53,35,60.2,30,24
74,202403300COL,03/30/2024,COL,vs,NSH,7,4,W,,42,10,35,23,54,55,49.5,35,41,46.1,25,26
75,202404010CBJ,04/01/2024,COL,@,CBJ,1,4,L,,46,4,25,8,56,43,56.6,46,27,63,23,24
76,202404040MIN,04/04/2024,COL,@,MIN,5,2,W,,36,8,46,4,65,58,52.8,50,45,52.6,33,25
77,202404050EDM,04/05/2024,COL,@,EDM,2,6,L,,24,10,47,6,42,50,45.7,31,42,42.5,16,29
78,202404070COL,04/07/2024,COL,vs,DAL,4,7,L,,38,6,37,4,73,61,54.5,45,47,48.9,20,30
79,202404090COL,04/09/2024,COL,vs,MIN,5,2,W,,32,10,22,8,43,27,61.4,31,16,66,20,20
80,202404130COL,04/13/2024,COL,vs,WPG,0,7,L,,30,6,26,2,66,47,58.4,48,34,58.5,35,13
81,202404140VEG,04/14/2024,COL,@,VEG,3,4,L,OT,24,8,30,4,40,51,44,30,36,45.5,13,37
82,202404180COL,04/18/2024,COL,vs,EDM,5,1,W,,27,4,26,8,49,47,51,32,35,47.8,16,31
1,202310120DAL,10/12/2023,DAL,vs,STL,2,1,W,SO,34,6,24,8,62,41,60.2,46,28,62.2,25,23
2,202310170VEG,10/17/2023,DAL,@,VEG,2,3,L,SO,26,18,34,14,53,45,54.1,34,33,50.7,32,29
3,202310190ANA,10/19/2023,DAL,@,ANA,3,2,W,,24,8,29,10,45,51,46.9,36,33,52.2,26,14
4,202310210DAL,10/21/2023,DAL,vs,PHI,5,4,W,OT,25,9,40,23,50,60,45.5,36,47,43.4,31,28
5,202310240PIT,10/24/2023,DAL,@,PIT,4,1,W,,34,8,39,6,55,58,48.7,43,42,50.6,25,22
6,202310260DAL,10/26/2023,DAL,vs,TOR,1,4,L,,32,8,24,4,64,44,59.3,44,32,57.9,25,27
7,202310300DAL,10/30/2023,DAL,vs,CBJ,5,3,W,,33,6,25,6,59,53,52.7,44,37,54.3,27,22
8,202311010CGY,11/01/2023,DAL,@,CGY,4,3,W,,30,10,47,4,45,66,40.5,36,50,41.9,25,26
9,202311020EDM,11/02/2023,DAL,@,EDM,4,3,W,,27,8,49,4,38,77,33,26,55,32.1,26,37
10,202311040VAN,11/04/2023,DAL,@,VAN,0,2,L,,27,15,28,11,42,35,54.5,32,27,54.2,16,22
11,202311060DAL,11/06/2023,DAL,vs,BOS,2,3,L,,37,8,29,6,64,38,62.7,48,24,66.7,27,26
12,202311090CBJ,11/09/2023,DAL,@,CBJ,5,2,W,,31,4,29,6,65,51,56,46,42,52.3,27,31
13,202311110WPG,11/11/2023,DAL,@,WPG,3,2,W,,29,6,33,8,38,50,43.2,26,35,42.6,33,19
14,202311120MIN,11/12/2023,DAL,@,MIN,8,3,W,,37,15,26,30,36,29,55.4,25,21,54.3,28,11
15,202311140DAL,11/14/2023,DAL,vs,ARI,4,3,W,OT,36,4,26,8,66,36,64.7,45,28,61.6,26,17
16,202311180DAL,11/18/2023,DAL,vs,COL,3,6,L,,28,8,38,8,44,57,43.6,33,45,42.3,24,17
17,202311200DAL,11/20/2023,DAL,vs,NYR,6,3,W,,36,8,33,6,63,46,57.8,43,39,52.4,21,22
18,202311220DAL,11/22/2023,DAL,vs,VEG,1,2,L,OT,32,8,26,6,58,30,65.9,41,24,63.1,27,20
19,202311240DAL,11/24/2023,DAL,vs,CGY,4,7,L,,28,6,27,6,42,49,46.2,34,33,50.7,19,23
20,202311280WPG,11/28/2023,DAL,@,WPG,2,0,W,,21,8,27,4,45,43,51.1,30,31,49.2,18,18
21,202311300CGY,11/30/2023,DAL,@,CGY,3,4,L,OT,16,4,36,0,52,58,47.3,28,40,41.2,31,21
22,202312020DAL,12/02/2023,DAL,vs,TBL,8,1,W,,34,12,33,4,43,40,51.8,37,35,51.4,21,25
23,202312040TBL,12/04/2023,DAL,@,TBL,0,4,L,,25,4,23,4,61,45,57.5,38,33,53.5,28,20
24,202312060FLA,12/06/2023,DAL,@,FLA,4,5,L,,33,4,31,10,50,53,48.5,40,40,50,29,22
25,202312070WSH,12/07/2023,DAL,@,WSH,5,4,W,SO,38,8,27,2,70,44,61.4,46,30,60.5,32,22
26,202312090DAL,12/09/2023,DAL,vs,VEG,1,6,L,,20,4,27,6,40,38,51.3,26,30,46.4,19,18
27,202312110DAL,12/11/2023,DAL,vs,DET,6,3,W,,35,8,30,10,63,37,63,41,28,59.4,27,21
28,202312150DAL,12/15/2023,DAL,vs,OTT,5,4,W,,24,6,29,6,43,51,45.7,31,39,44.3,31,23
29,202312160STL,12/16/2023,DAL,@,STL,3,4,L,OT,23,2,34,6,50,55,47.6,35,43,44.9,33,24
30,202312180DAL,12/18/2023,DAL,vs,SEA,4,3,W,OT,28,8,38,8,37,57,39.4,29,45,39.2,23,15
31,202312210DAL,12/21/2023,DAL,vs,VAN,4,3,W,OT,36,6,20,6,53,46,53.5,43,33,56.6,23,25
32,202312230NSH,12/23/2023,DAL,@,NSH,3,2,W,,34,4,21,4,69,37,65.1,42,25,62.7,30,22
33,202312270STL,12/27/2023,DAL,@,STL,1,2,L,,40,8,30,4,73,34,68.2,54,25,68.4,24,29
34,202312290DAL,12/29/2023,DAL,vs,CHI,5,4,W,OT,35,6,29,6,69,48,59,47,35,57.3,33,19
35,202312310DAL,12/31/2023,DAL,vs,CHI,8,1,W,,41,6,24,6,54,48,52.9,41,33,55.4,24,22
36,202401020DAL,01/02/2024,DAL,vs,MTL,3,4,L,,33,6,18,2,79,26,75.2,51,19,72.9,25,22
37,202401040DAL,01/04/2024,DAL,vs,COL,4,5,L,OT,32,6,34,6,64,52,55.2,42,38,52.5,25,26
38,202401060DAL,01/06/2024,DAL,vs,NSH,3,4,L,,29,2,22,4,63,46,57.8,40,31,56.3,32,21
39,202401080MIN,01/08/2024,DAL,@,MIN,4,0,W,,20,12,23,4,39,38,50.6,24,24,50,35,15
40,202401100DAL,01/10/2024,DAL,vs,MIN,7,2,W,,34,6,23,6,58,49,54.2,47,30,61,26,30
41,202401120DAL,01/12/2024,DAL,vs,NSH,3,6,L,,22,10,38,6,50,52,49,33,42,44,33,20
42,202401130CHI,01/13/2024,DAL,@,CHI,3,1,W,,30,9,35,11,55,59,48.2,37,47,44,39,16
43,202401160DAL,01/16/2024,DAL,vs,LAK,5,1,W,,28,8,32,2,49,62,44.1,37,44,45.7,27,21
44,202401180PHI,01/18/2024,DAL,@,PHI,1,5,L,,15,8,43,4,39,62,38.6,20,43,31.7,21,22
45,202401200NJD,01/20/2024,DAL,@,NJD,6,2,W,,36,6,31,22,58,56,50.9,42,42,50,28,27
46,202401210NYI,01/21/2024,DAL,@,NYI,2,3,L,OT,43,0,28,6,67,45,59.8,49,35,58.3,31,21
47,202401230DET,01/23/2024,DAL,@,DET,5,4,W,,38,8,34,4,60,60,50,42,36,53.8,29,20
48,202401250DAL,01/25/2024,DAL,vs,ANA,4,3,W,OT,44,2,21,6,65,39,62.5,49,33,59.8,25,18
49,202401270DAL,01/27/2024,DAL,vs,WSH,5,4,W,OT,35,4,28,4,63,47,57.3,44,37,54.3,34,20
50,202402060BUF,02/06/2024,DAL,@,BUF,2,1,W,,30,8,48,10,38,62,38,29,42,40.8,39,24
51,202402070TOR,02/07/2024,DAL,@,TOR,4,5,L,,31,6,31,8,66,44,60,44,34,56.4,30,25
52,202402100MTL,02/10/2024,DAL,@,MTL,3,2,W,,38,8,20,12,48,33,59.3,35,22,61.4,20,16
53,202402130DAL,02/13/2024,DAL,vs,CAR,4,2,W,,23,2,34,2,41,90,31.3,30,61,33,26,27
54,202402150NSH,02/15/2024,DAL,@,NSH,9,2,W,,41,4,29,16,57,52,52.3,47,37,56,23,32
55,202402170DAL,02/17/2024,DAL,vs,EDM,3,4,L,OT,27,8,24,6,42,42,50,25,30,45.5,28,25
56,202402190BOS,02/19/2024,DAL,@,BOS,3,4,L,SO,46,9,30,9,79,49,61.7,60,39,60.6,31,29
57,202402200NYR,02/20/2024,DAL,@,NYR,1,3,L,,42,8,26,8,57,37,60.6,38,28,57.6,22,23
58,202402220OTT,02/22/2024,DAL,@,OTT,1,4,L,,15,10,30,4,49,46,51.6,25,40,38.5,17,27
59,202402240CAR,02/24/2024,DAL,@,CAR,2,1,W,,16,4,21,8,31,60,34.1,19,38,33.3,25,17
60,202402260DAL,02/26/2024,DAL,vs,NYI,2,3,L,OT,32,6,28,2,64,53,54.7,39,37,51.3,27,24
61,202402270COL,02/27/2024,DAL,@,COL,1,5,L,,34,4,27,4,57,45,55.9,44,34,56.4,24,21
62,202402290DAL,02/29/2024,DAL,vs,WPG,4,1,W,,36,2,26,4,64,45,58.7,47,36,56.6,36,22
63,202403020DAL,03/02/2024,DAL,vs,SJS,3,2,W,SO,38,6,23,10,64,51,55.7,44,37,54.3,33,18
64,202403050SJS,03/05/2024,DAL,@,SJS,7,6,W,OT,40,8,20,6,73,36,67,55,24,69.6,33,33
65,202403080ANA,03/08/2024,DAL,@,ANA,6,2,W,,36,8,27,10,48,40,54.5,36,27,57.1,23,20
66,202403090LAK,03/09/2024,DAL,@,LAK,4,1,W,,35,10,25,12,50,43,53.8,37,37,50,21,25
67,202403120DAL,03/12/2024,DAL,vs,FLA,3,4,L,,30,8,30,10,42,40,51.2,33,32,50.8,26,22
68,202403140DAL,03/14/2024,DAL,vs,NJD,2,6,L,,37,0,20,6,71,33,68.3,47,26,64.4,31,25
69,202403160DAL,03/16/2024,DAL,vs,LAK,4,1,W,,29,2,28,4,47,54,46.5,34,37,47.9,30,30
70,202403200DAL,03/20/2024,DAL,vs,ARI,5,2,W,,33,2,25,14,54,43,55.7,39,34,53.4,23,20
71,202403220DAL,03/22/2024,DAL,vs,PIT,4,2,W,,23,4,22,4,48,47,50.5,34,32,51.5,20,34
72,202403240ARI,03/24/2024,DAL,@,ARI,4,2,W,,35,10,28,8,61,44,58.1,44,34,56.4,29,18
73,202403260SJS,03/26/2024,DAL,@,SJS,6,3,W,,41,11,20,13,65,45,59.1,49,33,59.8,29,23
74,202403280VAN,03/28/2024,DAL,@,VAN,3,1,W,,34,8,28,12,58,51,53.2,42,36,53.8,14,20
75,202403300SEA,03/30/2024,DAL,@,SEA,3,0,W,,30,4,17,15,57,41,58.2,38,25,60.3,30,18
76,202404030DAL,04/03/2024,DAL,vs,EDM,5,0,W,,32,8,35,16,54,55,49.5,45,36,55.6,25,18
77,202404060CHI,04/06/2024,DAL,@,CHI,2,3,L,,44,6,17,8,80,30,72.7,55,19,74.3,23,17
78,202404070COL,04/07/2024,DAL,@,COL,7,4,W,,37,4,38,6,62,72,46.3,47,45,51.1,30,20
79,202404090DAL,04/09/2024,DAL,vs,BUF,3,2,W,,24,16,21,4,44,46,48.9,35,28,55.6,34,31
80,202404110DAL,04/11/2024,DAL,vs,WPG,0,3,L,,24,4,24,4,56,41,57.7,39,35,52.7,26,17
81,202404130DAL,04/13/2024,DAL,vs,SEA,3,1,W,,30,6,27,6,48,45,51.6,35,34,50.7,18,16
82,202404170DAL,04/17/2024,DAL,vs,STL,2,1,W,SO,37,2,26,6,66,42,61.1,49,32,60.5,22,18
1,202310120NJD,10/12/2023,DET,@,NJD,3,4,L,,35,12,27,8,44,53,45.4,35,44,44.3,25,19
2,202310140DET,10/14/2023,DET,vs,TBL,6,4,W,,42,6,25,4,60,59,50.4,50,38,56.8,22,23
3,202310160CBJ,10/16/2023,DET,@,CBJ,4,0,W,,28,13,23,15,34,31,52.3,27,22,55.1,29,10
4,202310180DET,10/18/2023,DET,vs,PIT,6,3,W,,29,13,33,13,41,58,41.4,33,39,45.8,24,26
5,202310210OTT,10/21/2023,DET,@,OTT,5,2,W,,23,23,37,21,34,49,41,24,39,38.1,14,24
6,202310220DET,10/22/2023,DET,vs,CGY,6,2,W,,30,4,31,10,34,47,42,25,38,39.7,23,20
7,202310240DET,10/24/2023,DET,vs,SEA,4,5,L,OT,27,12,38,14,43,70,38.1,31,52,37.3,24,18
8,202310260DET,10/26/2023,DET,vs,WPG,1,4,L,,36,6,29,4,58,43,57.4,41,32,56.2,22,23
9,202310280BOS,10/28/2023,DET,@,BOS,1,4,L,,24,10,31,10,53,40,57,31,31,50,19,17
10,202310300NYI,10/30/2023,DET,@,NYI,4,3,W,OT,36,4,40,14,66,62,51.6,47,51,48,28,28
11,202311020DET,11/02/2023,DET,vs,FLA,0,2,L,,22,10,27,10,34,42,44.7,26,30,46.4,16,27
12,202311040DET,11/04/2023,DET,vs,BOS,5,4,W,,40,20,30,32,61,42,59.2,42,31,57.5,24,22
13,202311070NYR,11/07/2023,DET,@,NYR,3,5,L,,28,6,32,12,37,52,41.6,30,44,40.5,13,22
14,202311090DET,11/09/2023,DET,vs,MTL,2,3,L,OT,29,22,27,10,47,44,51.6,33,33,50,22,23
15,202311110DET,11/11/2023,DET,vs,CBJ,5,4,W,,28,6,22,6,44,51,46.3,32,32,50,27,16
16,202311160OTT,11/16/2023,DET,@,OTT,4,5,L,OT,41,12,34,6,63,40,61.2,50,34,59.5,30,20
17,202311170DET,11/17/2023,DET,vs,TOR,2,3,L,,29,10,29,12,42,48,46.7,28,31,47.5,24,26
18,202311220DET,11/22/2023,DET,vs,NJD,4,0,W,,28,4,16,8,36,45,44.4,29,30,49.2,17,20
19,202311240BOS,11/24/2023,DET,@,BOS,5,2,W,,28,6,27,12,39,44,47,30,31,49.2,23,26
20,202311260DET,11/26/2023,DET,vs,MIN,4,1,W,,23,14,38,14,31,45,40.8,17,37,31.5,20,23
