Game_ID,Home Team,Away Team,Period,Time,Team,Info,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID
202401100DAL,DAL,MIN,3rd Period,18:17,DAL,--,Sam Steel,steelsa01,Esa Lindell,lindees01,Craig Smith,smithcr01
202401120DAL,DAL,NSH,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401120DAL,DAL,NSH,1st Period,9:22,NSH,--,Jeremy Lauzon,lauzoje01,--,--,--,--
202401120DAL,DAL,NSH,1st Period,13:51,NSH,--,Thomas Novak,novakth01,Denis Gurianov,guriade01,Roman Josi,josiro01
202401120DAL,DAL,NSH,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401120DAL,DAL,NSH,3rd Period,1:09,DAL,--,Jani Hakanpää,hakanja01,Matt Duchene,duchema01,Tyler Seguin,seguity01
202401120DAL,DAL,NSH,3rd Period,3:41,NSH,--,Ryan O'Reilly,oreilry01,Filip Forsberg,forsbfi01,Filip Forsberg,forsbfi01
202401120DAL,DAL,NSH,3rd Period,8:11,DAL,--,Wyatt Johnston,johnswy01,Nils Lundkvist,lundkni01,Thomas Harley,harleth01
202401120DAL,DAL,NSH,3rd Period,10:08,NSH,PP,Filip Forsberg,forsbfi01,Roman Josi,josiro01,Ryan O'Reilly,oreilry01
202401120DAL,DAL,NSH,3rd Period,13:36,DAL,PP,Matt Duchene,duchema01,Jason Robertson,roberja01,Joe Pavelski,paveljo01
202401120DAL,DAL,NSH,3rd Period,17:27,NSH,EN,Gustav Nyquist,nyquigu01,Roman Josi,josiro01,Ryan O'Reilly,oreilry01
202401120DAL,DAL,NSH,3rd Period,19:29,NSH,EN,Juuso Pärssinen,parssju01,--,--,--,--
202401160DAL,DAL,LAK,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401160DAL,DAL,LAK,1st Period,9:21,DAL,--,Roope Hintz,hintzro01,Wyatt Johnston,johnswy01,Jason Robertson,roberja01
202401160DAL,DAL,LAK,1st Period,15:21,DAL,--,Evgenii Dadonov,dadonev01,Craig Smith,smithcr01,Esa Lindell,lindees01
202401160DAL,DAL,LAK,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202401160DAL,DAL,LAK,2nd Period,1:31,LAK,PP,Drew Doughty,doughdr01,Phillip Danault,danauph01,Adrian Kempe,kempead01
202401160DAL,DAL,LAK,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401160DAL,DAL,LAK,3rd Period,5:49,DAL,--,Wyatt Johnston,johnswy01,Roope Hintz,hintzro01,Jason Robertson,roberja01
202401160DAL,DAL,LAK,3rd Period,6:52,DAL,--,Joe Pavelski,paveljo01,Thomas Harley,harleth01,Evgenii Dadonov,dadonev01
202401160DAL,DAL,LAK,3rd Period,9:33,DAL,SH,Sam Steel,steelsa01,Radek Faksa,faksara01,Radek Faksa,faksara01
202401250DAL,DAL,ANA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401250DAL,DAL,ANA,1st Period,2:22,DAL,--,Matt Duchene,duchema01,Mason Marchment,marchma01,Tyler Seguin,seguity01
202401250DAL,DAL,ANA,1st Period,15:10,ANA,--,Urho Vaakanainen,vaakaur01,Isac Lundeström,lundeis01,Jakob Silfverberg,silfvja01
202401250DAL,DAL,ANA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202401250DAL,DAL,ANA,2nd Period,1:28,ANA,--,Troy Terry,terrytr01,Adam Henrique,henriad01,Adam Henrique,henriad01
202401250DAL,DAL,ANA,2nd Period,6:44,DAL,--,Craig Smith,smithcr01,--,--,--,--
202401250DAL,DAL,ANA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401250DAL,DAL,ANA,3rd Period,0:12,ANA,--,Jakob Silfverberg,silfvja01,Isac Lundeström,lundeis01,Mason McTavish,mctavma01
202401250DAL,DAL,ANA,3rd Period,10:31,DAL,--,Miro Heiskanen,heiskmi01,Thomas Harley,harleth01,Evgenii Dadonov,dadonev01
202401250DAL,DAL,ANA,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202401250DAL,DAL,ANA,1st OT Period,0:38,DAL,--,Thomas Harley,harleth01,Joe Pavelski,paveljo01,Joe Pavelski,paveljo01
202401270DAL,DAL,WSH,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401270DAL,DAL,WSH,1st Period,9:40,WSH,--,Anthony Mantha,manthan01,Evgeny Kuznetsov,kuzneev01,John Carlson,carlsjo01
202401270DAL,DAL,WSH,1st Period,10:44,DAL,--,Wyatt Johnston,johnswy01,Roope Hintz,hintzro01,Miro Heiskanen,heiskmi01
202401270DAL,DAL,WSH,1st Period,11:07,DAL,--,Thomas Harley,harleth01,Jamie Benn,bennja01,Sam Steel,steelsa01
202401270DAL,DAL,WSH,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202401270DAL,DAL,WSH,2nd Period,6:24,WSH,--,Rasmus Sandin,sandira01,Nicolas Aubé-Kubel,aubekni01,Trevor van Riemsdyk,vanritr01
202401270DAL,DAL,WSH,2nd Period,11:00,DAL,PP,Mason Marchment,marchma01,Tyler Seguin,seguity01,Miro Heiskanen,heiskmi01
202401270DAL,DAL,WSH,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401270DAL,DAL,WSH,3rd Period,2:24,DAL,--,Matt Duchene,duchema01,Mason Marchment,marchma01,Tyler Seguin,seguity01
202401270DAL,DAL,WSH,3rd Period,18:00,WSH,PP,Alex Ovechkin,ovechal01,T.J. Oshie,oshietj01,Evgeny Kuznetsov,kuzneev01
202401270DAL,DAL,WSH,3rd Period,19:17,WSH,--,Dylan Strome,stromdy01,Anthony Mantha,manthan01,Alex Ovechkin,ovechal01
202401270DAL,DAL,WSH,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202401270DAL,DAL,WSH,1st OT Period,3:27,DAL,--,Thomas Harley,harleth01,Jason Robertson,roberja01,Matt Duchene,duchema01
202402130DAL,DAL,CAR,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202402130DAL,DAL,CAR,1st Period,9:53,DAL,--,Roope Hintz,hintzro01,Joe Pavelski,paveljo01,Jason Robertson,roberja01
202402130DAL,DAL,CAR,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202402130DAL,DAL,CAR,2nd Period,0:13,CAR,--,Jordan Staal,staaljo01,Seth Jarvis,jarvise01,Jordan Martinook,martijo01
202402130DAL,DAL,CAR,2nd Period,5:04,DAL,--,Mason Marchment,marchma01,Nils Lundkvist,lundkni01,Matt Duchene,duchema01
202402130DAL,DAL,CAR,2nd Period,15:16,CAR,--,Jesper Fast,fastje01,Jordan Martinook,martijo01,Jordan Staal,staaljo01
202402130DAL,DAL,CAR,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202402130DAL,DAL,CAR,3rd Period,4:35,DAL,--,Jason Robertson,roberja01,Joe Pavelski,paveljo01,Jani Hakanpää,hakanja01
202402130DAL,DAL,CAR,3rd Period,17:35,DAL,EN,Matt Duchene,duchema01,Jani Hakanpää,hakanja01,Jani Hakanpää,hakanja01
202402170DAL,DAL,EDM,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202402170DAL,DAL,EDM,1st Period,1:08,DAL,PP,Mason Marchment,marchma01,Wyatt Johnston,johnswy01,Matt Duchene,duchema01
202402170DAL,DAL,EDM,1st Period,2:03,EDM,--,Evan Bouchard,bouchev01,Mattias Ekholm,ekholma01,Corey Perry,perryco01
202402170DAL,DAL,EDM,1st Period,4:47,DAL,--,Thomas Harley,harleth01,Matt Duchene,duchema01,Miro Heiskanen,heiskmi01
202402170DAL,DAL,EDM,1st Period,6:55,EDM,--,Corey Perry,perryco01,Connor McDavid,mcdavco01,Leon Draisaitl,draisle01
202402170DAL,DAL,EDM,1st Period,18:42,EDM,SH,Derek Ryan,ryande01,Ryan Nugent-Hopkins,nugenry01,Ryan Nugent-Hopkins,nugenry01
202402170DAL,DAL,EDM,1st Period,19:02,DAL,PP,Matt Duchene,duchema01,Mason Marchment,marchma01,Thomas Harley,harleth01
202402170DAL,DAL,EDM,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202402170DAL,DAL,EDM,1st OT Period,0:30,EDM,PP,Evan Bouchard,bouchev01,Leon Draisaitl,draisle01,Leon Draisaitl,draisle01
202402260DAL,DAL,NYI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202402260DAL,DAL,NYI,1st Period,15:59,NYI,--,Ryan Pulock,pulocry01,Simon Holmström,holmssi01,Casey Cizikas,cizikca01
202402260DAL,DAL,NYI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202402260DAL,DAL,NYI,2nd Period,7:11,DAL,PP,Matt Duchene,duchema01,Thomas Harley,harleth01,Logan Stankoven,stanklo01
202402260DAL,DAL,NYI,2nd Period,15:24,NYI,--,Kyle MacLean,macleky01,Pierre Engvall,engvapi01,Ryan Pulock,pulocry01
202402260DAL,DAL,NYI,2nd Period,18:17,DAL,--,Logan Stankoven,stanklo01,Wyatt Johnston,johnswy01,Wyatt Johnston,johnswy01
202402260DAL,DAL,NYI,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202402260DAL,DAL,NYI,1st OT Period,2:54,NYI,--,Bo Horvat,horvabo01,Mathew Barzal,barzama01,Mike Reilly,reillmi01
202402290DAL,DAL,WPG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202402290DAL,DAL,WPG,1st Period,6:52,DAL,--,Jason Robertson,roberja01,Joe Pavelski,paveljo01,Joe Pavelski,paveljo01
202402290DAL,DAL,WPG,1st Period,16:41,DAL,--,Joe Pavelski,paveljo01,Jani Hakanpää,hakanja01,Roope Hintz,hintzro01
202402290DAL,DAL,WPG,1st Period,18:17,DAL,--,Logan Stankoven,stanklo01,Wyatt Johnston,johnswy01,Jamie Benn,bennja01
202402290DAL,DAL,WPG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202402290DAL,DAL,WPG,2nd Period,13:24,WPG,PP,Vladislav Namestnikov,namesvl01,Nikolaj Ehlers,ehlerni01,Neal Pionk,pionkne01
202402290DAL,DAL,WPG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202402290DAL,DAL,WPG,3rd Period,18:50,DAL,EN,Roope Hintz,hintzro01,--,--,--,--
202403020DAL,DAL,SJS,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403020DAL,DAL,SJS,1st Period,4:39,SJS,--,William Eklund,eklunwi01,Luke Kunin,kuninlu01,Jan Rutta,ruttaja02
202403020DAL,DAL,SJS,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403020DAL,DAL,SJS,2nd Period,3:08,DAL,--,Radek Faksa,faksara01,Sam Steel,steelsa01,Craig Smith,smithcr01
202403020DAL,DAL,SJS,2nd Period,17:08,SJS,--,Filip Zadina,zadinfi01,Luke Kunin,kuninlu01,Luke Kunin,kuninlu01
202403020DAL,DAL,SJS,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403020DAL,DAL,SJS,3rd Period,4:08,DAL,PP,Jason Robertson,roberja01,Miro Heiskanen,heiskmi01,Jamie Benn,bennja01
202403120DAL,DAL,FLA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403120DAL,DAL,FLA,1st Period,3:53,DAL,--,Joe Pavelski,paveljo01,Jason Robertson,roberja01,Wyatt Johnston,johnswy01
202403120DAL,DAL,FLA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403120DAL,DAL,FLA,2nd Period,7:48,DAL,PP,Jason Robertson,roberja01,Joe Pavelski,paveljo01,Jamie Benn,bennja01
202403120DAL,DAL,FLA,2nd Period,8:11,DAL,--,Wyatt Johnston,johnswy01,Mason Marchment,marchma01,Mason Marchment,marchma01
202403120DAL,DAL,FLA,2nd Period,12:52,FLA,PP,Sam Reinhart,reinhsa01,Aleksander Barkov,barkoal01,Matthew Tkachuk,tkachma01
202403120DAL,DAL,FLA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403120DAL,DAL,FLA,3rd Period,11:09,FLA,PP,Aleksander Barkov,barkoal01,Carter Verhaeghe,verhaca01,Brandon Montour,montobr01
202403120DAL,DAL,FLA,3rd Period,14:00,FLA,--,Sam Bennett,bennesa01,Matthew Tkachuk,tkachma01,Gustav Forsling,forslgu02
202403120DAL,DAL,FLA,3rd Period,14:38,FLA,PP,Aleksander Barkov,barkoal01,Carter Verhaeghe,verhaca01,Brandon Montour,montobr01
202403140DAL,DAL,NJD,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403140DAL,DAL,NJD,1st Period,0:15,DAL,--,Wyatt Johnston,johnswy01,Jamie Benn,bennja01,Thomas Harley,harleth01
202403140DAL,DAL,NJD,1st Period,5:41,NJD,--,Erik Haula,haulaer01,--,--,--,--
202403140DAL,DAL,NJD,1st Period,12:04,DAL,--,Craig Smith,smithcr01,Jani Hakanpää,hakanja01,Ty Dellandrea,dellaty01
202403140DAL,DAL,NJD,1st Period,17:14,NJD,--,Chris Tierney,tiernch01,Kurtis MacDermid,macdeku01,Nick DeSimone,desimni01
202403140DAL,DAL,NJD,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403140DAL,DAL,NJD,2nd Period,1:31,NJD,--,Dawson Mercer,merceda01,Nico Hischier,hischni01,Luke Hughes,hughelu01
202403140DAL,DAL,NJD,2nd Period,3:52,NJD,--,Timo Meier,meierti01,Jesper Bratt,brattje01,Simon Nemec,nemecsi01
202403140DAL,DAL,NJD,2nd Period,5:12,NJD,--,Tomáš Nosek,nosekto01,Curtis Lazar,lazarcu01,Curtis Lazar,lazarcu01
202403140DAL,DAL,NJD,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403140DAL,DAL,NJD,3rd Period,14:25,NJD,--,Alexander Holtz,holtzal01,Chris Tierney,tiernch01,Timo Meier,meierti01
202403160DAL,DAL,LAK,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403160DAL,DAL,LAK,1st Period,2:28,DAL,--,Thomas Harley,harleth01,Radek Faksa,faksara01,Radek Faksa,faksara01
202403160DAL,DAL,LAK,1st Period,8:49,DAL,--,Craig Smith,smithcr01,Miro Heiskanen,heiskmi01,Thomas Harley,harleth01
202403160DAL,DAL,LAK,1st Period,15:15,DAL,--,Wyatt Johnston,johnswy01,Ryan Suter,suterry01,Logan Stankoven,stanklo01
202403160DAL,DAL,LAK,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403160DAL,DAL,LAK,2nd Period,2:30,DAL,PP,Jamie Benn,bennja01,Joe Pavelski,paveljo01,Jason Robertson,roberja01
202403160DAL,DAL,LAK,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403160DAL,DAL,LAK,3rd Period,1:11,LAK,--,Kevin Fiala,fialake01,Pierre-Luc Dubois,duboipi01,Pierre-Luc Dubois,duboipi01
202403200DAL,DAL,ARI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403200DAL,DAL,ARI,1st Period,19:45,ARI,--,Clayton Keller,kellecl01,Nick Bjugstad,bjugsni01,Nick Schmaltz,schmani01
202403200DAL,DAL,ARI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403200DAL,DAL,ARI,2nd Period,7:34,DAL,--,Logan Stankoven,stanklo01,Nils Lundkvist,lundkni01,Jason Robertson,roberja01
202403200DAL,DAL,ARI,2nd Period,11:55,DAL,--,Jamie Benn,bennja01,Nils Lundkvist,lundkni01,Ryan Suter,suterry01
202403200DAL,DAL,ARI,2nd Period,12:24,DAL,--,Tyler Seguin,seguity01,Matt Duchene,duchema01,Mason Marchment,marchma01
202403200DAL,DAL,ARI,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403200DAL,DAL,ARI,3rd Period,4:12,DAL,--,Jason Robertson,roberja01,Thomas Harley,harleth01,Roope Hintz,hintzro01
202403200DAL,DAL,ARI,3rd Period,5:25,DAL,--,Craig Smith,smithcr01,Radek Faksa,faksara01,Chris Tanev,tanevch01
202403200DAL,DAL,ARI,3rd Period,8:50,ARI,--,John Leonard,leonajo01,Jack McBain,mcbaija03,Dylan Guenther,guentdy01
202403220DAL,DAL,PIT,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202403220DAL,DAL,PIT,1st Period,2:45,PIT,--,Michael Bunting,buntimi01,Evgeni Malkin,malkiev01,Pierre-Olivier Joseph,joseppi01
202403220DAL,DAL,PIT,1st Period,7:16,DAL,--,Joe Pavelski,paveljo01,Thomas Harley,harleth01,Jason Robertson,roberja01
202403220DAL,DAL,PIT,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202403220DAL,DAL,PIT,2nd Period,5:52,DAL,PP,Jamie Benn,bennja01,Miro Heiskanen,heiskmi01,Jason Robertson,roberja01
202403220DAL,DAL,PIT,2nd Period,7:09,DAL,--,Jamie Benn,bennja01,Logan Stankoven,stanklo01,Logan Stankoven,stanklo01
202403220DAL,DAL,PIT,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202403220DAL,DAL,PIT,3rd Period,4:37,DAL,--,Sam Steel,steelsa01,Craig Smith,smithcr01,Craig Smith,smithcr01
202403220DAL,DAL,PIT,3rd Period,11:03,PIT,--,Rickard Rakell,rakelri01,Evgeni Malkin,malkiev01,Michael Bunting,buntimi01
202404030DAL,DAL,EDM,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202404030DAL,DAL,EDM,1st Period,2:08,DAL,--,Radek Faksa,faksara01,Sam Steel,steelsa01,Craig Smith,smithcr01
202404030DAL,DAL,EDM,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202404030DAL,DAL,EDM,2nd Period,13:16,DAL,PP,Tyler Seguin,seguity01,Miro Heiskanen,heiskmi01,Jason Robertson,roberja01
202404030DAL,DAL,EDM,2nd Period,16:27,DAL,--,Wyatt Johnston,johnswy01,Thomas Harley,harleth01,Radek Faksa,faksara01
202404030DAL,DAL,EDM,2nd Period,18:42,DAL,--,Jamie Benn,bennja01,Logan Stankoven,stanklo01,Wyatt Johnston,johnswy01
202404030DAL,DAL,EDM,2nd Period,19:04,DAL,--,Sam Steel,steelsa01,Radek Faksa,faksara01,Craig Smith,smithcr01
202404090DAL,DAL,BUF,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202404090DAL,DAL,BUF,1st Period,4:09,BUF,--,Alex Tuch,tuchal01,Henri Jokiharju,jokihhe01,Bowen Byram,byrambo01
202404090DAL,DAL,BUF,1st Period,6:15,DAL,--,Jason Robertson,roberja01,Roope Hintz,hintzro01,Roope Hintz,hintzro01
202404090DAL,DAL,BUF,1st Period,9:38,BUF,--,Rasmus Dahlin,dahlira01,Owen Power,powerow01,Peyton Krebs,krebspe01
202404090DAL,DAL,BUF,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202404090DAL,DAL,BUF,2nd Period,3:38,DAL,--,Wyatt Johnston,johnswy01,Thomas Harley,harleth01,Thomas Harley,harleth01
202404090DAL,DAL,BUF,2nd Period,7:08,DAL,--,Joe Pavelski,paveljo01,Chris Tanev,tanevch01,Thomas Harley,harleth01
202404110DAL,DAL,WPG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202404110DAL,DAL,WPG,1st Period,14:51,WPG,--,Nikolaj Ehlers,ehlerni01,--,--,--,--
202404110DAL,DAL,WPG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202404110DAL,DAL,WPG,2nd Period,9:20,WPG,--,David Gustafsson,gustada01,Dylan Samberg,sambedy01,Mason Appleton,applema01
202404110DAL,DAL,WPG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202404110DAL,DAL,WPG,3rd Period,17:39,WPG,EN,Mark Scheifele,scheima01,Kyle Connor,connoky01,Mason Appleton,applema01
202404130DAL,DAL,SEA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202404130DAL,DAL,SEA,1st Period,19:57,DAL,--,Craig Smith,smithcr01,Jason Robertson,roberja01,Miro Heiskanen,heiskmi01
202404130DAL,DAL,SEA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202404130DAL,DAL,SEA,2nd Period,19:23,DAL,PP,Jason Robertson,roberja01,Jamie Benn,bennja01,Miro Heiskanen,heiskmi01
202404130DAL,DAL,SEA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202404130DAL,DAL,SEA,3rd Period,12:23,DAL,--,Miro Heiskanen,heiskmi01,Joe Pavelski,paveljo01,Thomas Harley,harleth01
202404130DAL,DAL,SEA,3rd Period,14:11,SEA,--,Kailer Yamamoto,yamamka01,Tomáš Tatar,tatarto01,Tomáš Tatar,tatarto01
202404170DAL,DAL,STL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202404170DAL,DAL,STL,1st Period,17:19,STL,--,Robert Thomas,thomaro01,Zachary Bolduc,bolduza01,Brayden Schenn,schenbr01
202404170DAL,DAL,STL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202404170DAL,DAL,STL,3rd Period,5:11,DAL,--,Mason Marchment,marchma01,Matt Duchene,duchema01,Esa Lindell,lindees01
202310140DET,DET,TBL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310140DET,DET,TBL,1st Period,5:11,DET,--,Daniel Sprong,spronda01,Alex DeBrincat,debrial01,Alex DeBrincat,debrial01
202310140DET,DET,TBL,1st Period,9:46,TBL,--,Steven Stamkos,stamkst01,Victor Hedman,hedmavi01,Nikita Kucherov,kucheni01
202310140DET,DET,TBL,1st Period,12:52,TBL,--,Brandon Hagel,hagelbr01,Victor Hedman,hedmavi01,Victor Hedman,hedmavi01
202310140DET,DET,TBL,1st Period,14:35,DET,--,Alex DeBrincat,debrial01,Shayne Gostisbehere,gostish01,Shayne Gostisbehere,gostish01
202310140DET,DET,TBL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310140DET,DET,TBL,2nd Period,2:01,DET,--,Lucas Raymond,raymolu01,--,--,--,--
202310140DET,DET,TBL,2nd Period,10:53,TBL,--,Steven Stamkos,stamkst01,Brandon Hagel,hagelbr01,Anthony Cirelli,cirelan01
202310140DET,DET,TBL,2nd Period,15:23,DET,--,J.T. Compher,comphj.01,Moritz Seider,seidemo01,Andrew Copp,coppan01
202310140DET,DET,TBL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202310140DET,DET,TBL,3rd Period,4:44,DET,--,Alex DeBrincat,debrial01,Dylan Larkin,larkidy01,Dylan Larkin,larkidy01
202310140DET,DET,TBL,3rd Period,9:39,TBL,PP,Victor Hedman,hedmavi01,Nikita Kucherov,kucheni01,Steven Stamkos,stamkst01
202310140DET,DET,TBL,3rd Period,19:59,DET,EN,Moritz Seider,seidemo01,J.T. Compher,comphj.01,J.T. Compher,comphj.01
202310180DET,DET,PIT,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310180DET,DET,PIT,1st Period,0:53,PIT,--,Evgeni Malkin,malkiev01,Reilly Smith,smithre01,Erik Karlsson,karlser01
202310180DET,DET,PIT,1st Period,12:23,DET,--,Alex DeBrincat,debrial01,Austin Czarnik,czarnau01,Shayne Gostisbehere,gostish01
202310180DET,DET,PIT,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310180DET,DET,PIT,2nd Period,5:21,DET,--,Ben Chiarot,chiarbe01,Dylan Larkin,larkidy01,Jeff Petry,petryje01
202310180DET,DET,PIT,2nd Period,15:42,DET,--,Andrew Copp,coppan01,Jeff Petry,petryje01,Michael Rasmussen,rasmumi01
202310180DET,DET,PIT,2nd Period,17:49,DET,PP,David Perron,perroda01,Dylan Larkin,larkidy01,Alex DeBrincat,debrial01
202310180DET,DET,PIT,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202310180DET,DET,PIT,3rd Period,3:37,PIT,--,Erik Karlsson,karlser01,Sidney Crosby,crosbsi01,Ryan Graves,gravery01
202310180DET,DET,PIT,3rd Period,13:03,PIT,--,Bryan Rust,rustbr01,Erik Karlsson,karlser01,Marcus Pettersson,pettema01
202310180DET,DET,PIT,3rd Period,18:28,DET,EN,Andrew Copp,coppan01,--,--,--,--
202310180DET,DET,PIT,3rd Period,18:49,DET,"PP, EN",Alex DeBrincat,debrial01,Dylan Larkin,larkidy01,Dylan Larkin,larkidy01
202310220DET,DET,CGY,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310220DET,DET,CGY,1st Period,1:59,DET,--,Alex DeBrincat,debrial01,Justin Holl,hollju01,Lucas Raymond,raymolu01
