Game ID,Period,Time,Team,Player,Player_ID,Penalty,PIM
202311100ANA,3rd Period,1.65,PHI,Yegor Zamula,zamulye01,Delay of Game,2 min
202311100ANA,3rd Period,3.93,ANA,Lukáš Dostál,dostalu01,Roughing,2 min
202311100ANA,3rd Period,16.62,PHI,Scott Laughton,laughsc01,Hooking,2 min
,1st Period,,,,,,
202311120ANA,1st Period,17.1,SJS,Nikolai Knyzhov,knyzhni01,Interference,2 min
,2nd Period,,,,,,
202311120ANA,2nd Period,8.62,SJS,Kyle Burroughs,burroky01,High Sticking,2 min
202311120ANA,2nd Period,8.62,ANA,Max Jones,jonesma03,Fighting,5 min
202311120ANA,2nd Period,8.62,SJS,Luke Kunin,kuninlu01,Fighting,5 min
202311120ANA,2nd Period,11.33,ANA,Benoit-Olivier Groulx,groulbe01,Holding,2 min
202311120ANA,2nd Period,12.85,SJS,Fabian Zetterlund,zettefa01,Interference,2 min
202311120ANA,2nd Period,16.13,ANA,Ryan Strome,stromry01,Tripping,2 min
202311120ANA,2nd Period,20,SJS,Jan Rutta,ruttaja02,Roughing,2 min
202311120ANA,2nd Period,20,ANA,Ryan Strome,stromry01,Roughing,2 min
,3rd Period,,,,,,
202311120ANA,3rd Period,1.03,SJS,Fabian Zetterlund,zettefa01,Hooking,2 min
202311120ANA,3rd Period,3.42,ANA,Sam Carrick,carrisa01,Fighting,5 min
202311120ANA,3rd Period,3.42,SJS,Givani Smith,smithgi01,Roughing,2 min
202311120ANA,3rd Period,3.42,SJS,Givani Smith,smithgi01,Fighting,5 min
202311120ANA,3rd Period,20,ANA,Sam Carrick,carrisa01,Roughing,2 min
202311120ANA,3rd Period,20,SJS,Givani Smith,smithgi01,Roughing,2 min
,1st Period,,,,,,
202311170ANA,1st Period,5.17,FLA,Dmitry Kulikov,kulikdm01,Interference,2 min
202311170ANA,1st Period,19.97,ANA,Ryan Strome,stromry01,Slashing,2 min
,2nd Period,,,,,,
202311170ANA,2nd Period,7.72,ANA,Ilya Lyubushkin,lyubuil01,Cross Checking,2 min
202311170ANA,2nd Period,10.15,FLA,Kevin Stenlund,stenlke01,Interference,2 min
,3rd Period,,,,,,
202311170ANA,3rd Period,0.95,ANA,Jackson LaCombe,lacomja01,Tripping,2 min
202311170ANA,3rd Period,3.4,ANA,Mason McTavish,mctavma01,Roughing,2 min
202311170ANA,3rd Period,6.83,FLA,Aaron Ekblad,ekblaaa01,Tripping,2 min
,1st Period,,,,,,
202311190ANA,1st Period,12.22,ANA,Mason McTavish,mctavma01,High Sticking,4 min
202311190ANA,1st Period,16.35,ANA,Pavel Mintyukov,mintypa01,Holding,2 min
202311190ANA,1st Period,16.87,STL,Jakub Vrána,vranaja01,Interference,2 min
202311190ANA,1st Period,18.18,STL,Kasperi Kapanen,kapanka01,Hooking,2 min
,2nd Period,,,,,,
202311190ANA,2nd Period,10.38,ANA,Cam Fowler,fowleca01,Hooking,2 min
,3rd Period,,,,,,
202311190ANA,3rd Period,6.23,ANA,Pavel Mintyukov,mintypa01,Hooking,2 min
202311190ANA,3rd Period,19.82,ANA,Adam Henrique,henriad01,Tripping,2 min
,1st Period,,,,,,
202311220ANA,1st Period,3.88,ANA,Ilya Lyubushkin,lyubuil01,Illegal Equipment,2 min
202311220ANA,1st Period,11.13,ANA,Mason McTavish,mctavma01,Hooking,2 min
,2nd Period,,,,,,
202311220ANA,2nd Period,0.8,MTL,Juraj Slafkovsky,slafkju01,Holding,2 min
202311220ANA,2nd Period,7.57,ANA,Max Jones,jonesma03,Elbowing,2 min
,3rd Period,,,,,,
202311220ANA,3rd Period,15.17,ANA,Max Jones,jonesma03,Unsportsmanlike Conduct,2 min
202311220ANA,3rd Period,15.17,MTL,Sean Monahan,monahse01,Unsportsmanlike Conduct,2 min
,1st Period,,,,,,
202311240ANA,1st Period,6.73,LAK,Kevin Fiala,fialake01,Slashing,2 min
202311240ANA,1st Period,9.22,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
202311240ANA,1st Period,11.33,ANA,Radko Gudas,gudasra01,Interference,2 min
,2nd Period,,,,,,
202311240ANA,2nd Period,3.53,ANA,Sam Carrick,carrisa01,Fighting,5 min
202311240ANA,2nd Period,3.53,LAK,Andreas Englund,engluan01,Fighting,5 min
202311240ANA,2nd Period,4.62,LAK,Michael Anderson,andermi02,Cross Checking,2 min
202311240ANA,2nd Period,4.62,LAK,Drew Doughty,doughdr01,Roughing,2 min
202311240ANA,2nd Period,4.62,LAK,Pierre-Luc Dubois,duboipi01,Interference,2 min
202311240ANA,2nd Period,4.62,ANA,Mason McTavish,mctavma01,Roughing,2 min
202311240ANA,2nd Period,4.62,ANA,Frank Vatrano,vatrafr01,Tripping,2 min
202311240ANA,2nd Period,4.62,ANA,Frank Vatrano,vatrafr01,Roughing,2 min
202311240ANA,2nd Period,14.82,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
,3rd Period,,,,,,
202311240ANA,3rd Period,2.7,LAK,Andreas Englund,engluan01,Holding,2 min
202311240ANA,3rd Period,2.7,ANA,Radko Gudas,gudasra01,Roughing,2 min
202311240ANA,3rd Period,11.17,LAK,Trevor Lewis,lewistr01,Tripping,2 min
,1st Period,,,,,,
202311300ANA,1st Period,5.08,WSH,Tom Wilson,wilsoto01,Boarding,2 min
202311300ANA,1st Period,13.2,ANA,Adam Henrique,henriad01,Holding,2 min
202311300ANA,1st Period,13.7,WSH,Tom Wilson,wilsoto01,Slashing,2 min
202311300ANA,1st Period,18.47,ANA,Alex Killorn,killoal01,Cross Checking,2 min
,2nd Period,,,,,,
202311300ANA,2nd Period,1.72,WSH,Evgeny Kuznetsov,kuzneev01,Holding,2 min
202311300ANA,2nd Period,5.07,WSH,Evgeny Kuznetsov,kuzneev01,Roughing,2 min
202311300ANA,2nd Period,5.07,ANA,Mason McTavish,mctavma01,High Sticking,2 min
202311300ANA,2nd Period,10.58,WSH,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
202311300ANA,2nd Period,17.03,WSH,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
,3rd Period,,,,,,
202311300ANA,3rd Period,3.7,ANA,Troy Terry,terrytr01,Tripping,2 min
202311300ANA,3rd Period,4.4,ANA,Ilya Lyubushkin,lyubuil01,Delay of Game,2 min
202311300ANA,3rd Period,7.25,ANA,Radko Gudas,gudasra01,Roughing,2 min
202311300ANA,3rd Period,7.25,WSH,Connor McMichael,mcmicco01,Roughing,2 min
202311300ANA,3rd Period,13.67,ANA,Jakob Silfverberg,silfvja01,Hooking,2 min
202311300ANA,3rd Period,15.93,ANA,Frank Vatrano,vatrafr01,Slashing,2 min
,1st Period,,,,,,
202312020ANA,1st Period,1,ANA,Benoit-Olivier Groulx,groulbe01,Interference,2 min
202312020ANA,1st Period,12.95,COL,Josh Manson,mansojo01,Hooking,2 min
202312020ANA,1st Period,14.98,ANA,Radko Gudas,gudasra01,Tripping,2 min
,2nd Period,,,,,,
202312020ANA,2nd Period,8.38,COL,Caleb Jones,jonesca01,Holding,2 min
202312020ANA,2nd Period,16.25,ANA,Benoit-Olivier Groulx,groulbe01,Holding Stick,2 min
,3rd Period,,,,,,
202312020ANA,3rd Period,3.52,COL,Ross Colton,coltoro01,Tripping,2 min
,1st Period,,,,,,
202312100ANA,1st Period,7.05,ANA,Troy Terry,terrytr01,Tripping,2 min
202312100ANA,1st Period,12.73,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
,2nd Period,,,,,,
202312100ANA,2nd Period,0.45,WPG,Mark Scheifele,scheima01,Fighting,5 min
202312100ANA,2nd Period,0.45,ANA,Ryan Strome,stromry01,Kneeing,5 min
202312100ANA,2nd Period,0.45,ANA,Ryan Strome,stromry01,Fighting,5 min
202312100ANA,2nd Period,0.45,ANA,Ryan Strome,stromry01,Misconduct,10 min
202312100ANA,2nd Period,5.72,WPG,Josh Morrissey,morrijo04,Tripping,2 min
202312100ANA,2nd Period,14.28,WPG,Neal Pionk,pionkne01,Holding Stick,2 min
202312100ANA,2nd Period,17.38,ANA,Brock McGinn,mcginbr01,Tripping,2 min
,3rd Period,,,,,,
202312100ANA,3rd Period,8.08,ANA,Troy Terry,terrytr01,Hooking,2 min
,1st Period,,,,,,
202312210ANA,1st Period,8.85,ANA,Frank Vatrano,vatrafr01,Slashing,2 min
,2nd Period,,,,,,
202312210ANA,2nd Period,2.87,CGY,Andrew Mangiapane,mangian01,Hooking,2 min
202312210ANA,2nd Period,7.55,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
202312210ANA,2nd Period,10.52,CGY,MacKenzie Weegar,weegama01,Cross Checking,2 min
202312210ANA,2nd Period,12.47,ANA,Adam Henrique,henriad01,Tripping,2 min
202312210ANA,2nd Period,13.93,ANA,Radko Gudas,gudasra01,High Sticking,4 min
,3rd Period,,,,,,
202312210ANA,3rd Period,1.43,CGY,Nazem Kadri,kadrina01,Hooking,2 min
202312210ANA,3rd Period,3.55,ANA,Leo Carlsson,carlsle01,Tripping,2 min
202312210ANA,3rd Period,13.15,CGY,MacKenzie Weegar,weegama01,Delay of Game,2 min
202312210ANA,3rd Period,19.93,ANA,Sam Carrick,carrisa01,Cross Checking,2 min
202312210ANA,3rd Period,19.93,ANA,Sam Carrick,carrisa01,Fighting,5 min
202312210ANA,3rd Period,19.93,CGY,A.J. Greer,greeraj01,Fighting,5 min
,1st Period,,,,,,
202312230ANA,1st Period,12.77,ANA,Mason McTavish,mctavma01,Interference,2 min
,2nd Period,,,,,,
202312230ANA,2nd Period,4.5,SEA,Brandon Tanev,tanevbr01,High Sticking,4 min
,3rd Period,,,,,,
202312230ANA,3rd Period,5.65,SEA,William Borgen,borgewi01,Interference,2 min
,1st Period,,,,,,
202312270ANA,1st Period,1.12,ANA,Urho Vaakanainen,vaakaur01,High Sticking,2 min
202312270ANA,1st Period,11.55,ANA,Frank Vatrano,vatrafr01,Cross Checking,2 min
202312270ANA,1st Period,12.88,ANA,Trevor Zegras,zegratr01,Hooking,2 min
202312270ANA,1st Period,19.92,ANA,Mason McTavish,mctavma01,Delay of Game,2 min
,3rd Period,,,,,,
202312270ANA,3rd Period,14.15,ANA,Jakob Silfverberg,silfvja01,Hooking,2 min
202312270ANA,3rd Period,18.02,VEG,Jack Eichel,eicheja01,Hooking,2 min
,1st Period,,,,,,
202312290ANA,1st Period,6.88,ANA,Ilya Lyubushkin,lyubuil01,Hooking,2 min
202312290ANA,1st Period,18.87,ARI,Lawson Crouse,crousla01,Roughing,2 min
202312290ANA,1st Period,18.87,ANA,Mason McTavish,mctavma01,Roughing,2 min
,2nd Period,,,,,,
202312290ANA,2nd Period,3.13,ARI,Logan Cooley,coolelo01,Tripping,2 min
202312290ANA,2nd Period,5.63,ANA,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,2nd Period,5.63,ANA,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,2nd Period,5.63,ARI,Jack McBain,mcbaija03,Roughing,2 min
202312290ANA,2nd Period,14.08,ARI,Travis Dermott,dermotr01,Interference,2 min
,3rd Period,,,,,,
