Game_ID,Home Team,Away Team,Period,Time,Team,Player,Player_ID,Penalty,PIM
202311050ANA,ANA,VEG,1st Period,13:34,VEG,William Carrier,carriwi01,Tripping,2 min
202311050ANA,ANA,VEG,1st Period,13:34,ANA,Adam Henrique,henriad01,Interference,2 min
202311050ANA,ANA,VEG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311050ANA,ANA,VEG,2nd Period,7:30,ANA,Sam Carrick,carrisa01,Tripping,2 min
202311050ANA,ANA,VEG,2nd Period,13:17,ANA,Pavel Mintyukov,mintypa01,Holding,2 min
202311050ANA,ANA,VEG,2nd Period,13:28,VEG,Mark Stone,stonema01,Tripping,2 min
202311050ANA,ANA,VEG,2nd Period,19:46,VEG,Brayden Pachal,pachabr01,Interference,2 min
202311050ANA,ANA,VEG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311050ANA,ANA,VEG,3rd Period,6:59,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202311050ANA,ANA,VEG,3rd Period,11:07,ANA,Ilya Lyubushkin,lyubuil01,Interference,2 min
202311070ANA,ANA,PIT,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311070ANA,ANA,PIT,1st Period,2:53,PIT,Lars Eller,ellerla01,Tripping,2 min
202311070ANA,ANA,PIT,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311070ANA,ANA,PIT,2nd Period,10:13,ANA,Ilya Lyubushkin,lyubuil01,Tripping,2 min
202311070ANA,ANA,PIT,2nd Period,10:28,PIT,Evgeni Malkin,malkiev01,Tripping,2 min
202311070ANA,ANA,PIT,2nd Period,13:51,ANA,Mason McTavish,mctavma01,Holding,2 min
202311070ANA,ANA,PIT,2nd Period,16:13,PIT,Lars Eller,ellerla01,Hooking,2 min
202311100ANA,ANA,PHI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311100ANA,ANA,PHI,1st Period,7:11,ANA,Ilya Lyubushkin,lyubuil01,Tripping,2 min
202311100ANA,ANA,PHI,1st Period,18:02,PHI,Sean Couturier,coutuse01,Tripping,2 min
202311100ANA,ANA,PHI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311100ANA,ANA,PHI,2nd Period,10:33,ANA,Radko Gudas,gudasra01,Cross Checking,2 min
202311100ANA,ANA,PHI,2nd Period,11:34,PHI,Cam Atkinson,atkinca01,Hooking,2 min
202311100ANA,ANA,PHI,2nd Period,13:48,PHI,Morgan Frost,frostmo01,Cross Checking,2 min
202311100ANA,ANA,PHI,2nd Period,16:46,PHI,Cameron York,yorkca01,Slashing,2 min
202311100ANA,ANA,PHI,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311100ANA,ANA,PHI,3rd Period,1:39,PHI,Yegor Zamula,zamulye01,Delay of Game,2 min
202311100ANA,ANA,PHI,3rd Period,3:56,ANA,Lukáš Dostál,dostalu01,Roughing,2 min
202311100ANA,ANA,PHI,3rd Period,16:37,PHI,Scott Laughton,laughsc01,Hooking,2 min
202311120ANA,ANA,SJS,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311120ANA,ANA,SJS,1st Period,17:06,SJS,Nikolai Knyzhov,knyzhni01,Interference,2 min
202311120ANA,ANA,SJS,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311120ANA,ANA,SJS,2nd Period,8:37,SJS,Kyle Burroughs,burroky01,High Sticking,2 min
202311120ANA,ANA,SJS,2nd Period,8:37,ANA,Max Jones,jonesma03,Fighting,5 min
202311120ANA,ANA,SJS,2nd Period,8:37,SJS,Luke Kunin,kuninlu01,Fighting,5 min
202311120ANA,ANA,SJS,2nd Period,11:20,ANA,Benoit-Olivier Groulx,groulbe01,Holding,2 min
202311120ANA,ANA,SJS,2nd Period,12:51,SJS,Fabian Zetterlund,zettefa01,Interference,2 min
202311120ANA,ANA,SJS,2nd Period,16:08,ANA,Ryan Strome,stromry01,Tripping,2 min
202311120ANA,ANA,SJS,2nd Period,20:00,SJS,Jan Rutta,ruttaja02,Roughing,2 min
202311120ANA,ANA,SJS,2nd Period,20:00,ANA,Ryan Strome,stromry01,Roughing,2 min
202311120ANA,ANA,SJS,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311120ANA,ANA,SJS,3rd Period,1:02,SJS,Fabian Zetterlund,zettefa01,Hooking,2 min
202311120ANA,ANA,SJS,3rd Period,3:25,ANA,Sam Carrick,carrisa01,Fighting,5 min
202311120ANA,ANA,SJS,3rd Period,3:25,SJS,Givani Smith,smithgi01,Roughing,2 min
202311120ANA,ANA,SJS,3rd Period,3:25,SJS,Givani Smith,smithgi01,Fighting,5 min
202311120ANA,ANA,SJS,3rd Period,20:00,ANA,Sam Carrick,carrisa01,Roughing,2 min
202311120ANA,ANA,SJS,3rd Period,20:00,SJS,Givani Smith,smithgi01,Roughing,2 min
202311170ANA,ANA,FLA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
