Game_ID,Date,Team,Location,Opp,Result,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID,Goalie,Goalie_ID username,Per.,Time
202401110CAR,1/11/2024,CAR,vs,ANA,W,Andrei Svechnikov,svechan01,Sebastian Aho,ahose01,Teuvo Teräväinen,teravte01,John Gibson,gibsojo02,1,16.25
202401110CAR,1/11/2024,CAR,vs,ANA,W,Jordan Martinook,martijo01,Seth Jarvis,jarvise01,--,--,John Gibson,gibsojo02,2,1.95
202401110CAR,1/11/2024,CAR,vs,ANA,W,Stefan Noesen,noesest01,Michael Bunting,buntimi01,Jesperi Kotkaniemi,kotkaje01,John Gibson,gibsojo02,2,14.5
202401110CAR,1/11/2024,CAR,vs,ANA,W,Jack Drury,druryja01,Stefan Noesen,noesest01,Teuvo Teräväinen,teravte01,John Gibson,gibsojo02,2,16.68
202401110CAR,1/11/2024,CAR,vs,ANA,W,Seth Jarvis,jarvise01,Brent Burns,burnsbr01,Jordan Martinook,martijo01,Lukáš Dostál,dostalu01,3,9.9
202401130TBL,1/13/2024,TBL,vs,ANA,W,Victor Hedman,hedmavi01,Steven Stamkos,stamkst01,Nikita Kucherov,kucheni01,Lukáš Dostál,dostalu01,2,5.15
202401130TBL,1/13/2024,TBL,vs,ANA,W,Steven Stamkos,stamkst01,Brayden Point,pointbr01,Nikita Kucherov,kucheni01,Lukáš Dostál,dostalu01,2,10.93
202401130TBL,1/13/2024,TBL,vs,ANA,W,Steven Stamkos,stamkst01,Nikita Kucherov,kucheni01,Darren Raddysh,raddyda01,Lukáš Dostál,dostalu01,2,14.78
202401130TBL,1/13/2024,TBL,vs,ANA,W,Calvin de Haan,dehaaca01,-,,--,--,Lukáš Dostál,dostalu01,3,9.1
202401130TBL,1/13/2024,TBL,vs,ANA,W,Brandon Hagel,hagelbr01,Nick Paul,paulni01,Nicklaus Perbix,perbini01,Lukáš Dostál,dostalu01,3,18.08
202401150FLA,1/15/2024,FLA,vs,ANA,L,Sam Bennett,bennesa01,Evan Rodrigues,rodriev01,Oliver Ekman-Larsson,ekmanol01,John Gibson,gibsojo02,1,8.48
202401150FLA,1/15/2024,FLA,vs,ANA,L,Sam Reinhart,reinhsa01,Niko Mikkola,mikkoni01,--,--,John Gibson,gibsojo02,1,17.58
202401150FLA,1/15/2024,FLA,vs,ANA,L,Carter Verhaeghe,verhaca01,Brandon Montour,montobr01,Aleksander Barkov,barkoal01,John Gibson,gibsojo02,2,9.6
202401150FLA,1/15/2024,FLA,vs,ANA,L,Sam Bennett,bennesa01,Matthew Tkachuk,tkachma01,Carter Verhaeghe,verhaca01,John Gibson,gibsojo02,2,12.82
202401160WSH,1/16/2024,WSH,vs,ANA,W,Ethan Bear,bearet01,T.J. Oshie,oshietj01,Nick Jensen,jenseni02,John Gibson,gibsojo02,1,19.37
202401160WSH,1/16/2024,WSH,vs,ANA,W,Tom Wilson,wilsoto01,Martin Fehérváry,feherma01,Nic Dowd,dowdni01,EN,--,3,19.03
202401200SJS,1/20/2024,SJS,vs,ANA,W,Marc-Édouard Vlasic,vlasima01,Logan Couture,coutulo01,--,--,John Gibson,gibsojo02,2,15.1
202401200SJS,1/20/2024,SJS,vs,ANA,W,Kyle Burroughs,burroky01,Tomáš Hertl,hertlto01,--,--,John Gibson,gibsojo02,2,17.55
202401200SJS,1/20/2024,SJS,vs,ANA,W,Fabian Zetterlund,zettefa01,Ryan Carpenter,carpery01,--,--,John Gibson,gibsojo02,2,19.53
202401200SJS,1/20/2024,SJS,vs,ANA,W,Jan Rutta,ruttaja02,Fabian Zetterlund,zettefa01,Mike Hoffman,hoffmmi02,John Gibson,gibsojo02,3,12.25
202401200SJS,1/20/2024,SJS,vs,ANA,W,Tomáš Hertl,hertlto01,Nico Sturm,sturmni01,--,--,EN,--,3,19.88
202401210ANA,1/21/2024,NYR,@,ANA,W,Vincent Trocheck,trochvi01,Chris Kreider,kreidch01,Adam Fox,foxad01,Lukáš Dostál,dostalu01,2,17.97
202401210ANA,1/21/2024,NYR,@,ANA,W,William Cuylle,cuyllwi01,Jacob Trouba,troubja01,K'Andre Miller,milleka01,Lukáš Dostál,dostalu01,3,10.17
202401210ANA,1/21/2024,NYR,@,ANA,W,Artemi Panarin,panarar01,Adam Fox,foxad01,Chris Kreider,kreidch01,Lukáš Dostál,dostalu01,3,14.38
202401210ANA,1/21/2024,NYR,@,ANA,W,Chris Kreider,kreidch01,Mika Zibanejad,zibanmi01,--,--,Lukáš Dostál,dostalu01,3,16.12
202401210ANA,1/21/2024,NYR,@,ANA,W,Jimmy Vesey,veseyji02,-,,--,--,EN,--,3,19.4
202401230ANA,1/23/2024,BUF,@,ANA,L,Jordan Greenway,greenjo02,Rasmus Dahlin,dahlira01,Dylan Cozens,cozendy01,John Gibson,gibsojo02,3,14.68
202401230ANA,1/23/2024,BUF,@,ANA,L,Kyle Okposo,okposky01,Tage Thompson,thompta01,Jordan Greenway,greenjo02,John Gibson,gibsojo02,3,17.07
202401250DAL,1/25/2024,DAL,vs,ANA,W,Matt Duchene,duchema01,Mason Marchment,marchma01,Tyler Seguin,seguity01,John Gibson,gibsojo02,1,2.37
202401250DAL,1/25/2024,DAL,vs,ANA,W,Craig Smith,smithcr01,-,,--,--,John Gibson,gibsojo02,2,6.73
202401250DAL,1/25/2024,DAL,vs,ANA,W,Miro Heiskanen,heiskmi01,Thomas Harley,harleth01,Evgenii Dadonov,dadonev01,John Gibson,gibsojo02,3,10.52
202401250DAL,1/25/2024,DAL,vs,ANA,W,Thomas Harley,harleth01,Joe Pavelski,paveljo01,--,--,John Gibson,gibsojo02,OT,0.63
202401270MIN,1/27/2024,MIN,vs,ANA,L,Kirill Kaprizov,kapriki01,Mats Zuccarello,zuccama01,Jonas Brodin,brodijo01,Lukáš Dostál,dostalu01,1,6.65
202401270MIN,1/27/2024,MIN,vs,ANA,L,Jonathon Merrill,merrijo01,Mats Zuccarello,zuccama01,Dakota Mermis,mermida01,Lukáš Dostál,dostalu01,1,18.62
