Game_ID,Home Team,Away Team,Goalie,Goalie_ID,Team,DEC,GA,SA,SV,SV%,SO,PIM,Goalie TOI
202403090BOS,BOS,PIT,Alex Nedeljkovic,nedelal01,PIT,L,5,23,18,0.783,0,0,60:00:00
202403090BOS,BOS,PIT,Linus Ullmark,ullmali01,BOS,W,1,39,38,0.974,0,0,59:05:00
202403110BOS,BOS,STL,Joel Hofer,hoferjo01,STL,W,1,37,36,0.973,0,0,59:55:00
202403110BOS,BOS,STL,Jeremy Swayman,swaymje01,BOS,L,4,21,17,0.81,0,0,59:18:00
202403110BOS,BOS,STL,Empty Net,--,BOS,--,1,1,0,0,0,0,0
202403160BOS,BOS,PHI,Felix Sandström,sandsfe01,PHI,L,6,30,24,0.8,0,0,57:17:00
202403160BOS,BOS,PHI,Jeremy Swayman,swaymje01,BOS,W,5,29,24,0.828,0,0,59:49:00
202403190BOS,BOS,OTT,Joonas Korpisalo,korpijo01,OTT,L,6,26,20,0.769,0,0,60:00:00
202403190BOS,BOS,OTT,Linus Ullmark,ullmali01,BOS,W,2,31,29,0.935,0,0,60:00:00
202403210BOS,BOS,NYR,Jonathan Quick,quickjo01,NYR,W,2,26,24,0.923,0,0,60:00:00
202403210BOS,BOS,NYR,Jeremy Swayman,swaymje01,BOS,L,3,29,26,0.897,0,0,58:29:00
202403210BOS,BOS,NYR,Empty Net,--,BOS,--,2,2,0,0,0,0,0
202404060BOS,BOS,FLA,Sergei Bobrovsky,bobrose01,FLA,O,3,29,26,0.897,0,0,62:05:00
202404060BOS,BOS,FLA,Linus Ullmark,ullmali01,BOS,W,2,30,28,0.933,0,0,61:29:00
202404090BOS,BOS,CAR,Pyotr Kochetkov,kochepy01,CAR,W,1,23,22,0.957,0,0,60:00:00
202404090BOS,BOS,CAR,Jeremy Swayman,swaymje01,BOS,L,4,26,22,0.846,0,0,60:00:00
202404160BOS,BOS,OTT,Anton Forsberg,forsban01,OTT,W,1,35,34,0.971,0,2,60:00:00
202404160BOS,BOS,OTT,Linus Ullmark,ullmali01,BOS,L,2,19,17,0.895,0,0,58:24:00
202404160BOS,BOS,OTT,Empty Net,--,BOS,--,1,1,0,0,0,0,0
202310120BUF,BUF,NYR,Igor Shesterkin,shestig01,NYR,W,1,25,24,0.96,0,0,60:00:00
202310120BUF,BUF,NYR,Devon Levi,levide01,BUF,L,4,30,26,0.867,0,0,58:54:00
202310120BUF,BUF,NYR,Empty Net,--,BUF,--,1,1,0,0,0,0,0
202310170BUF,BUF,TBL,Jonas Johansson,johanjo03,TBL,O,3,31,28,0.903,0,0,60:11:00
202310170BUF,BUF,TBL,Devon Levi,levide01,BUF,W,2,25,23,0.92,0,0,61:46:00
202310190BUF,BUF,CGY,Daniel Vladař,vladada01,CGY,W,3,27,24,0.889,0,0,60:00:00
202310190BUF,BUF,CGY,Devon Levi,levide01,BUF,L,4,36,32,0.889,0,0,58:58:00
202310210BUF,BUF,NYI,Semyon Varlamov,varlasi01,NYI,L,3,42,39,0.929,0,0,59:07:00
202310210BUF,BUF,NYI,Eric Comrie,comrier01,BUF,W,1,25,24,0.96,0,0,60:00:00
202310230BUF,BUF,MTL,Jake Allen,allenja01,MTL,W,1,37,36,0.973,0,0,60:00:00
202310230BUF,BUF,MTL,Eric Comrie,comrier01,BUF,L,3,27,24,0.889,0,0,56:53:00
202310290BUF,BUF,COL,Alexandar Georgiev,georgal01,COL,L,3,28,25,0.893,0,0,59:13:00
202310290BUF,BUF,COL,Empty Net,--,COL,--,1,1,0,0,0,0,0
202310290BUF,BUF,COL,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,0,23,23,1,1,0,60:00:00
202311030BUF,BUF,PHI,Samuel Ersson,erssosa01,PHI,W,1,22,21,0.955,0,0,60:00:00
202311030BUF,BUF,PHI,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,5,19,14,0.737,0,0,60:00:00
202311100BUF,BUF,MIN,Filip Gustavsson,gustafi01,MIN,L,3,25,22,0.88,0,0,58:15:00
202311100BUF,BUF,MIN,Devon Levi,levide01,BUF,W,2,35,33,0.943,0,0,60:00:00
202311140BUF,BUF,BOS,Linus Ullmark,ullmali01,BOS,W,2,34,32,0.941,0,0,59:21:00
202311140BUF,BUF,BOS,Devon Levi,levide01,BUF,L,5,18,13,0.722,0,0,35:07:00
202311140BUF,BUF,BOS,Ukko-Pekka Luukkonen,luukkuk01,BUF,--,0,14,14,1,0,2,22:42
202311240BUF,BUF,PIT,Alex Nedeljkovic,nedelal01,PIT,L,3,34,31,0.912,0,0,58:45:00
202311240BUF,BUF,PIT,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,33,31,0.939,0,0,59:50:00
202312030BUF,BUF,NSH,Juuse Saros,sarosju01,NSH,W,1,35,34,0.971,0,0,60:00:00
202312030BUF,BUF,NSH,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,2,29,27,0.931,0,0,57:42:00
202312050BUF,BUF,DET,Alex Lyon,lyonal01,DET,W,3,32,29,0.906,0,0,60:00:00
202312050BUF,BUF,DET,Eric Comrie,comrier01,BUF,L,4,26,22,0.846,0,0,58:18:00
202312050BUF,BUF,DET,Empty Net,--,BUF,--,1,1,0,0,0,0,0
202312090BUF,BUF,MTL,Cayden Primeau,primeca01,MTL,W,2,48,46,0.958,0,2,64:37:00
202312090BUF,BUF,MTL,Devon Levi,levide01,BUF,O,2,31,29,0.935,0,0,65:00:00
202312110BUF,BUF,ARI,Karel Vejmelka,vejmeka01,ARI,L,4,37,33,0.892,0,0,59:39:00
202312110BUF,BUF,ARI,Empty Net,--,ARI,--,1,1,0,0,0,0,0
202312110BUF,BUF,ARI,Devon Levi,levide01,BUF,W,2,23,21,0.913,0,0,60:00:00
202312190BUF,BUF,CBJ,Daniil Tarasov,tarasda02,CBJ,W,4,29,25,0.862,0,0,60:00:00
202312190BUF,BUF,CBJ,Devon Levi,levide01,BUF,--,4,18,14,0.778,0,0,27:37:00
202312190BUF,BUF,CBJ,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,5,16,11,0.688,0,0,32:12:00
202312210BUF,BUF,TOR,Ilya Samsonov,samsoil01,TOR,L,5,19,14,0.737,0,0,28:12:00
202312210BUF,BUF,TOR,Martin Jones,jonesma02,TOR,--,4,15,11,0.733,0,0,31:38:00
202312210BUF,BUF,TOR,Devon Levi,levide01,BUF,W,3,27,24,0.889,0,0,60:00:00
202312270BUF,BUF,BOS,Jeremy Swayman,swaymje01,BOS,W,1,26,25,0.962,0,0,60:00:00
202312270BUF,BUF,BOS,Devon Levi,levide01,BUF,L,4,25,21,0.84,0,0,57:01:00
202312300BUF,BUF,CBJ,Daniil Tarasov,tarasda02,CBJ,O,3,42,39,0.929,0,0,61:20:00
202312300BUF,BUF,CBJ,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,2,20,18,0.9,0,0,61:20:00
202401090BUF,BUF,SEA,Joey Daccord,daccojo01,SEA,W,2,38,36,0.947,0,0,59:50:00
202401090BUF,BUF,SEA,Devon Levi,levide01,BUF,L,5,26,21,0.808,0,0,60:00:00
202401110BUF,BUF,OTT,Anton Forsberg,forsban01,OTT,--,1,7,6,0.857,0,0,15:56
202401110BUF,BUF,OTT,Joonas Korpisalo,korpijo01,OTT,L,3,24,21,0.875,0,0,42:11:00
202401110BUF,BUF,OTT,Empty Net,--,OTT,--,1,1,0,0,0,0,0
202401110BUF,BUF,OTT,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,3,28,25,0.893,0,0,60:00:00
202401130BUF,BUF,VAN,Thatcher Demko,demkoth01,VAN,W,0,26,26,1,1,0,60:00:00
202401130BUF,BUF,VAN,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,1,23,22,0.957,0,0,58:05:00
202401150BUF,BUF,SJS,Kaapo Kähkönen,kahkoka01,SJS,L,2,34,32,0.941,0,0,59:32:00
202401150BUF,BUF,SJS,Empty Net,--,SJS,--,1,1,0,0,0,0,0
202401150BUF,BUF,SJS,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,0,28,28,1,1,0,59:50:00
202401180BUF,BUF,CHI,Arvid Söderblom,soderar01,CHI,L,3,31,28,0.903,0,0,60:00:00
202401180BUF,BUF,CHI,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,0,19,19,1,1,0,60:00:00
202401200BUF,BUF,TBL,Jonas Johansson,johanjo03,TBL,W,1,27,26,0.963,0,0,59:57:00
202401200BUF,BUF,TBL,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,2,15,13,0.867,0,0,58:53:00
202401200BUF,BUF,TBL,Empty Net,--,BUF,--,1,1,0,0,0,0,0
202402060BUF,BUF,DAL,Jake Oettinger,oettija01,DAL,W,1,48,47,0.979,0,0,60:00:00
202402060BUF,BUF,DAL,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,2,30,28,0.933,0,2,59:17:00
202402100BUF,BUF,STL,Joel Hofer,hoferjo01,STL,W,1,34,33,0.971,0,0,60:00:00
202402100BUF,BUF,STL,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,3,26,23,0.885,0,0,58:18:00
202402130BUF,BUF,LAK,David Rittich,rittida01,LAK,L,5,17,12,0.706,0,0,40:00:00
202402130BUF,BUF,LAK,Cam Talbot,talboca01,LAK,--,2,7,5,0.714,0,0,20:00
202402130BUF,BUF,LAK,Ukko-Pekka Luukkonen,luukkuk01,BUF,W,0,33,33,1,1,0,60:00:00
202402150BUF,BUF,FLA,Anthony Stolarz,stolaan01,FLA,W,0,45,45,1,1,0,59:55:00
202402150BUF,BUF,FLA,Eric Comrie,comrier01,BUF,L,3,29,26,0.897,0,0,59:05:00
202402150BUF,BUF,FLA,Empty Net,--,BUF,--,1,1,0,0,0,0,0
202402190BUF,BUF,ANA,John Gibson,gibsojo02,ANA,W,3,37,34,0.919,0,0,60:00:00
202402190BUF,BUF,ANA,Ukko-Pekka Luukkonen,luukkuk01,BUF,L,4,14,10,0.714,0,0,58:53:00
