Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
64,3/10/2024,202403100CAR,CGY,@,CAR,2,7,L,,20,7,40,11,37,74,33.30%,26,54,32.50%,31,34
65,3/12/2024,202403120CGY,CGY,vs,COL,2,6,L,,27,8,38,6,49,56,46.70%,33,41,44.60%,19,36
66,3/14/2024,202403140CGY,CGY,vs,VEG,4,1,W,,37,6,29,4,65,51,56.00%,45,28,61.60%,29,27
67,3/16/2024,202403160CGY,CGY,vs,MTL,5,2,W,,28,8,38,8,44,68,39.30%,26,48,35.10%,15,33
68,3/18/2024,202403180CGY,CGY,vs,WSH,2,5,L,,36,6,33,6,69,57,54.80%,47,33,58.80%,30,28
69,3/23/2024,202403230VAN,CGY,@,VAN,2,4,L,,24,6,26,4,56,46,54.90%,37,39,48.70%,18,28
70,3/24/2024,202403240CGY,CGY,vs,BUF,1,4,L,,33,2,29,4,68,53,56.20%,45,38,54.20%,26,17
71,3/26/2024,202403260CHI,CGY,@,CHI,1,3,L,,39,4,27,4,71,31,69.60%,50,27,64.90%,25,15
72,3/28/2024,202403280STL,CGY,@,STL,3,5,L,,28,11,19,11,55,36,60.40%,37,27,57.80%,19,32
73,3/30/2024,202403300CGY,CGY,vs,LAK,4,2,W,,35,8,18,12,57,41,58.20%,34,28,54.80%,22,16
74,4/2/2024,202404020CGY,CGY,vs,ANA,3,5,L,,24,2,29,4,49,57,46.20%,34,41,45.30%,35,27
75,4/4/2024,202404040WPG,CGY,@,WPG,2,5,L,,33,21,45,4,51,44,53.70%,37,37,50.00%,19,33
76,4/6/2024,202404060CGY,CGY,vs,EDM,2,4,L,,35,14,27,14,60,37,61.90%,43,27,61.40%,17,27
77,4/9/2024,202404090SJS,CGY,@,SJS,3,2,W,OT,41,8,22,6,70,31,69.30%,45,27,62.50%,22,22
78,4/11/2024,202404110LAK,CGY,@,LAK,1,4,L,,23,12,30,6,50,47,51.50%,36,36,50.00%,20,21
79,4/12/2024,202404120ANA,CGY,@,ANA,6,3,W,,27,6,22,12,61,46,57.00%,38,33,53.50%,24,22
80,4/14/2024,202404140CGY,CGY,vs,ARI,6,5,W,,31,11,35,11,45,60,42.90%,35,43,44.90%,33,22
81,4/16/2024,202404160VAN,CGY,@,VAN,1,4,L,,40,20,31,20,60,49,55.00%,45,39,53.60%,26,21
82,4/18/2024,202404180CGY,CGY,vs,SJS,5,1,W,,37,11,17,9,65,46,58.60%,49,33,59.80%,17,21
1,10/10/2023,202310100PIT,CHI,@,PIT,4,2,W,,36,4,41,8,56,63,47.10%,43,49,46.70%,14,32
2,10/11/2023,202310110BOS,CHI,@,BOS,1,3,L,,21,23,33,13,40,64,38.50%,30,42,41.70%,15,27
3,10/14/2023,202310140MTL,CHI,@,MTL,2,3,L,,30,8,36,20,32,50,39.00%,23,33,41.10%,7,24
4,10/16/2023,202310160TOR,CHI,@,TOR,4,1,W,,31,11,36,13,53,78,40.50%,32,54,37.20%,18,32
5,10/19/2023,202310190COL,CHI,@,COL,0,4,L,,18,6,41,8,30,55,35.30%,22,40,35.50%,15,22
6,10/21/2023,202310210CHI,CHI,vs,VEG,3,5,L,,24,10,24,10,34,33,50.70%,21,24,46.70%,19,26
7,10/24/2023,202310240CHI,CHI,vs,BOS,0,3,L,,23,10,43,8,40,56,41.70%,30,47,39.00%,28,25
8,10/27/2023,202310270VEG,CHI,@,VEG,4,3,W,OT,24,8,21,2,55,37,59.80%,38,26,59.40%,17,28
9,10/30/2023,202310300ARI,CHI,@,ARI,1,8,L,,30,20,33,16,55,54,50.50%,37,47,44.00%,25,24
10,11/4/2023,202311040CHI,CHI,vs,FLA,5,2,W,,25,8,40,8,39,73,34.80%,33,48,40.70%,21,25
11,11/5/2023,202311050CHI,CHI,vs,NJD,2,4,L,,34,6,41,4,49,62,44.10%,37,47,44.00%,30,26
12,11/9/2023,202311090TBL,CHI,@,TBL,5,3,W,,29,8,33,22,29,51,36.30%,25,35,41.70%,19,33
13,11/12/2023,202311120FLA,CHI,@,FLA,3,4,L,,26,8,31,6,38,57,40.00%,29,37,43.90%,19,28
14,11/16/2023,202311160CHI,CHI,vs,TBL,2,4,L,,14,13,32,11,30,56,34.90%,16,46,25.80%,29,22
15,11/18/2023,202311180NSH,CHI,@,NSH,2,4,L,,31,6,31,4,45,48,48.40%,31,40,43.70%,20,27
16,11/19/2023,202311190CHI,CHI,vs,BUF,2,3,L,,26,6,20,6,49,34,59.00%,37,27,57.80%,19,21
17,11/22/2023,202311220CBJ,CHI,@,CBJ,3,7,L,,36,6,26,8,58,47,55.20%,42,37,53.20%,17,24
18,11/24/2023,202311240CHI,CHI,vs,TOR,4,3,W,OT,34,8,37,10,63,60,51.20%,43,41,51.20%,17,25
19,11/26/2023,202311260CHI,CHI,vs,STL,2,4,L,,33,4,28,4,60,39,60.60%,37,35,51.40%,25,19
20,11/28/2023,202311280CHI,CHI,vs,SEA,4,3,W,,23,14,36,10,41,53,43.60%,27,32,45.80%,28,21
21,11/30/2023,202311300DET,CHI,@,DET,1,5,L,,35,10,29,18,55,37,59.80%,41,32,56.20%,15,21
22,12/2/2023,202312020WPG,CHI,@,WPG,1,3,L,,21,8,28,4,42,55,43.30%,29,40,42.00%,19,23
23,12/3/2023,202312030MIN,CHI,@,MIN,1,4,L,,29,6,34,6,32,59,35.20%,22,41,34.90%,24,21
24,12/5/2023,202312050CHI,CHI,vs,NSH,3,4,L,SO,28,4,30,4,49,56,46.70%,34,40,45.90%,20,19
25,12/7/2023,202312070CHI,CHI,vs,ANA,1,0,W,,25,6,37,8,35,57,38.00%,27,39,40.90%,19,21
26,12/9/2023,202312090CHI,CHI,vs,STL,3,1,W,,24,11,39,11,42,66,38.90%,30,53,36.10%,25,19
27,12/10/2023,202312100CHI,CHI,vs,WSH,2,4,L,,34,6,27,32,48,48,50.00%,34,34,50.00%,26,12
28,12/12/2023,202312120EDM,CHI,@,EDM,1,4,L,,23,4,29,6,40,58,40.80%,30,39,43.50%,22,23
29,12/14/2023,202312140SEA,CHI,@,SEA,1,7,L,,22,4,29,2,35,60,36.80%,25,40,38.50%,19,25
30,12/17/2023,202312170CHI,CHI,vs,VAN,3,4,L,,28,13,27,23,37,39,48.70%,29,27,51.80%,14,16
31,12/19/2023,202312190CHI,CHI,vs,COL,3,2,W,,22,16,37,32,36,54,40.00%,30,42,41.70%,19,19
32,12/22/2023,202312220CHI,CHI,vs,MTL,2,5,L,,21,11,28,7,54,57,48.60%,35,37,48.60%,20,26
33,12/23/2023,202312230STL,CHI,@,STL,5,7,L,,20,8,42,4,42,54,43.80%,29,43,40.30%,20,26
34,12/27/2023,202312270CHI,CHI,vs,WPG,2,1,W,OT,25,8,38,4,40,78,33.90%,29,58,33.30%,24,20
35,12/29/2023,202312290DAL,CHI,@,DAL,4,5,L,OT,29,6,35,6,49,69,41.50%,35,47,42.70%,19,33
36,12/31/2023,202312310DAL,CHI,@,DAL,1,8,L,,24,6,41,6,51,53,49.00%,33,41,44.60%,22,24
37,1/2/2024,202401020NSH,CHI,@,NSH,0,3,L,,21,13,36,11,35,64,35.40%,27,44,38.00%,15,23
38,1/4/2024,202401040NYR,CHI,@,NYR,1,4,L,,23,9,32,11,44,61,41.90%,28,47,37.30%,14,27
39,1/5/2024,202401050NJD,CHI,@,NJD,2,4,L,,25,38,32,26,37,45,45.10%,27,29,48.20%,15,20
40,1/7/2024,202401070CHI,CHI,vs,CGY,4,3,W,,20,6,30,6,40,51,44.00%,25,32,43.90%,22,27
41,1/9/2024,202401090CHI,CHI,vs,EDM,1,2,L,,26,2,15,6,43,38,53.10%,31,25,55.40%,18,29
42,1/11/2024,202401110WPG,CHI,@,WPG,1,2,L,,21,8,28,4,44,59,42.70%,25,37,40.30%,19,17
43,1/13/2024,202401130CHI,CHI,vs,DAL,1,3,L,,35,11,30,9,59,54,52.20%,47,37,56.00%,16,39
44,1/16/2024,202401160CHI,CHI,vs,SJS,2,1,W,SO,25,16,38,20,44,58,43.10%,28,51,35.40%,21,19
45,1/18/2024,202401180BUF,CHI,@,BUF,0,3,L,,19,15,31,10,23,43,34.80%,14,27,34.10%,13,9
46,1/19/2024,202401190CHI,CHI,vs,NYI,4,3,W,OT,24,6,30,6,51,68,42.90%,33,45,42.30%,27,29
47,1/22/2024,202401220VAN,CHI,@,VAN,0,2,L,,31,6,29,10,37,51,42.00%,28,43,39.40%,15,14
48,1/24/2024,202401240SEA,CHI,@,SEA,2,6,L,,34,6,28,6,56,53,51.40%,40,35,53.30%,28,25
49,1/25/2024,202401250EDM,CHI,@,EDM,0,3,L,,27,4,34,2,45,57,44.10%,35,45,43.80%,19,30
50,1/27/2024,202401270CGY,CHI,@,CGY,0,1,L,,32,4,31,4,50,56,47.20%,42,39,51.90%,27,23
51,2/7/2024,202402070CHI,CHI,vs,MIN,1,2,L,,21,9,25,9,45,43,51.10%,29,31,48.30%,26,23
52,2/9/2024,202402090CHI,CHI,vs,NYR,3,4,L,OT,31,8,35,6,49,43,53.30%,36,33,52.20%,31,19
53,2/13/2024,202402130CHI,CHI,vs,VAN,2,4,L,,24,13,38,13,33,51,39.30%,24,43,35.80%,18,16
54,2/15/2024,202402150CHI,CHI,vs,PIT,1,4,L,,28,2,27,4,35,47,42.70%,28,36,43.80%,14,25
55,2/17/2024,202402170CHI,CHI,vs,OTT,3,2,W,,22,4,42,2,45,69,39.50%,29,52,35.80%,30,25
56,2/19/2024,202402190CAR,CHI,@,CAR,3,6,L,,17,8,42,8,27,63,30.00%,17,48,26.20%,24,19
57,2/21/2024,202402210CHI,CHI,vs,PHI,1,3,L,,22,5,33,9,49,67,42.20%,30,47,39.00%,22,24
58,2/23/2024,202402230CHI,CHI,vs,WPG,2,3,L,OT,35,6,31,6,63,45,58.30%,43,36,54.40%,18,24
59,2/25/2024,202402250CHI,CHI,vs,DET,2,3,L,OT,36,0,31,2,59,65,47.60%,45,43,51.10%,24,31
60,2/29/2024,202402290CHI,CHI,vs,COL,0,5,L,,24,7,33,7,38,62,38.00%,28,46,37.80%,25,20
61,3/2/2024,202403020CHI,CHI,vs,CBJ,2,5,L,,28,4,31,6,48,55,46.60%,33,37,47.10%,19,20
62,3/4/2024,202403040COL,CHI,@,COL,0,5,L,,37,4,37,8,47,50,48.50%,33,39,45.80%,23,30
63,3/5/2024,202403050ARI,CHI,@,ARI,5,2,W,,32,4,39,10,45,55,45.00%,30,42,41.70%,24,24
64,3/9/2024,202403090WSH,CHI,@,WSH,1,4,L,,32,8,26,8,46,31,59.70%,34,24,58.60%,23,16
65,3/10/2024,202403100CHI,CHI,vs,ARI,7,4,W,,41,9,36,15,59,48,55.10%,46,40,53.50%,24,21
66,3/12/2024,202403120CHI,CHI,vs,ANA,7,2,W,,31,45,29,43,46,45,50.50%,25,33,43.10%,26,14
67,3/15/2024,202403150CHI,CHI,vs,LAK,0,5,L,,28,6,37,8,38,55,40.90%,22,43,33.80%,21,24
68,3/17/2024,202403170CHI,CHI,vs,SJS,5,2,W,,31,2,27,6,48,59,44.90%,36,42,46.20%,21,19
69,3/19/2024,202403190LAK,CHI,@,LAK,2,6,L,,24,2,24,8,51,41,55.40%,32,32,50.00%,17,27
70,3/21/2024,202403210ANA,CHI,@,ANA,0,4,L,,29,22,25,14,40,40,50.00%,30,30,50.00%,17,28
71,3/23/2024,202403230SJS,CHI,@,SJS,5,4,W,OT,31,13,30,9,54,56,49.10%,41,38,51.90%,22,24
72,3/26/2024,202403260CHI,CHI,vs,CGY,3,1,W,,27,4,39,4,31,66,32.00%,27,50,35.10%,15,25
73,3/28/2024,202403280OTT,CHI,@,OTT,0,2,L,,19,4,34,4,40,55,42.10%,27,43,38.60%,14,22
74,3/30/2024,202403300PHI,CHI,@,PHI,5,1,W,,24,13,31,21,38,53,41.80%,28,40,41.20%,17,21
75,4/2/2024,202404020NYI,CHI,@,NYI,1,2,L,,19,9,29,7,38,52,42.20%,25,40,38.50%,17,25
76,4/6/2024,202404060CHI,CHI,vs,DAL,3,2,W,,17,8,44,6,31,77,28.70%,19,55,25.70%,17,23
77,4/7/2024,202404070CHI,CHI,vs,MIN,0,4,L,,24,4,37,0,48,54,47.10%,33,44,42.90%,32,15
78,4/10/2024,202404100STL,CHI,@,STL,2,5,L,,20,10,26,8,36,52,40.90%,25,36,41.00%,18,19
79,4/12/2024,202404120CHI,CHI,vs,NSH,1,5,L,,26,8,40,10,40,55,42.10%,29,45,39.20%,13,31
80,4/14/2024,202404140CHI,CHI,vs,CAR,2,4,L,,16,6,34,6,26,64,28.90%,19,48,28.40%,26,17
81,4/16/2024,202404160VEG,CHI,@,VEG,1,3,L,,23,2,37,2,43,63,40.60%,32,46,41.00%,17,37
82,4/18/2024,202404180LAK,CHI,@,LAK,4,5,L,OT,13,8,35,2,22,63,25.90%,16,52,23.50%,13,21
1,10/11/2023,202310110LAK,COL,@,LAK,5,2,W,,37,19,36,15,47,51,48.00%,36,36,50.00%,28,22
2,10/14/2023,202310140SJS,COL,@,SJS,2,1,W,SO,52,8,21,10,90,38,70.30%,65,28,69.90%,21,27
3,10/17/2023,202310170SEA,COL,@,SEA,4,1,W,,28,15,38,11,51,53,49.00%,35,38,47.90%,20,26
4,10/19/2023,202310190COL,COL,vs,CHI,4,0,W,,41,8,18,6,56,30,65.10%,40,22,64.50%,22,15
5,10/21/2023,202310210COL,COL,vs,CAR,6,4,W,,27,10,27,10,39,42,48.10%,31,31,50.00%,23,24
6,10/24/2023,202310240NYI,COL,@,NYI,7,4,W,,38,12,32,10,58,43,57.40%,42,35,54.50%,18,31
7,10/26/2023,202310260PIT,COL,@,PIT,0,4,L,,31,4,29,10,48,45,51.60%,39,36,52.00%,17,31
8,10/29/2023,202310290BUF,COL,@,BUF,0,4,L,,23,16,29,12,49,33,59.80%,31,27,53.40%,17,17
9,11/1/2023,202311010COL,COL,vs,STL,4,1,W,,28,8,28,6,50,40,55.60%,38,32,54.30%,25,25
10,11/4/2023,202311040VEG,COL,@,VEG,0,7,L,,41,14,34,12,72,36,66.70%,44,28,61.10%,30,29
11,11/7/2023,202311070COL,COL,vs,NJD,6,3,W,,32,21,23,12,44,41,51.80%,31,26,54.40%,19,33
12,11/9/2023,202311090COL,COL,vs,SEA,3,4,L,,26,10,22,8,54,38,58.70%,32,30,51.60%,24,17
13,11/11/2023,202311110COL,COL,vs,STL,2,8,L,,38,8,42,6,58,42,58.00%,40,34,54.10%,29,22
14,11/13/2023,202311130SEA,COL,@,SEA,5,1,W,,31,13,19,29,52,47,52.50%,34,33,50.70%,22,26
15,11/15/2023,202311150COL,COL,vs,ANA,8,2,W,,38,8,17,10,42,34,55.30%,35,25,58.30%,24,27
16,11/18/2023,202311180DAL,COL,@,DAL,6,3,W,,38,8,28,8,58,44,56.90%,45,33,57.70%,17,24
17,11/20/2023,202311200NSH,COL,@,NSH,3,4,L,,29,8,30,10,38,53,41.80%,29,31,48.30%,17,18
18,11/22/2023,202311220COL,COL,vs,VAN,5,2,W,,25,21,29,10,49,44,52.70%,27,35,43.50%,20,25
19,11/24/2023,202311240MIN,COL,@,MIN,3,2,W,,25,12,21,14,40,33,54.80%,27,25,51.90%,17,13
20,11/25/2023,202311250COL,COL,vs,CGY,3,1,W,,24,10,30,10,48,55,46.60%,35,39,47.30%,24,21
21,11/27/2023,202311270COL,COL,vs,TBL,4,1,W,,23,26,39,40,40,54,42.60%,31,39,44.30%,24,23
22,11/30/2023,202311300ARI,COL,@,ARI,3,4,L,OT,31,11,32,11,51,50,50.50%,36,36,50.00%,22,16
23,12/2/2023,202312020ANA,COL,@,ANA,3,4,L,SO,37,6,37,6,59,54,52.20%,42,41,50.60%,23,33
24,12/3/2023,202312030LAK,COL,@,LAK,1,4,L,,21,2,38,4,41,68,37.60%,26,51,33.80%,22,25
25,12/5/2023,202312050COL,COL,vs,ANA,3,2,W,,30,6,33,6,50,47,51.50%,38,31,55.10%,22,18
26,12/7/2023,202312070COL,COL,vs,WPG,2,4,L,,34,2,28,8,50,48,51.00%,39,37,51.30%,19,18
27,12/9/2023,202312090COL,COL,vs,PHI,2,5,L,,38,2,34,4,65,54,54.60%,43,42,50.60%,27,32
28,12/11/2023,202312110COL,COL,vs,CGY,6,5,W,,38,6,32,10,66,53,55.50%,41,42,49.40%,35,26
29,12/13/2023,202312130COL,COL,vs,BUF,5,1,W,,29,4,30,4,56,50,52.80%,39,34,53.40%,31,28
30,12/16/2023,202312160WPG,COL,@,WPG,2,6,L,,32,4,25,8,42,50,45.70%,28,35,44.40%,25,15
31,12/17/2023,202312170COL,COL,vs,SJS,6,2,W,,29,30,27,31,52,44,54.20%,37,27,57.80%,27,15
32,12/19/2023,202312190CHI,COL,@,CHI,2,3,L,,37,32,22,16,54,35,60.70%,42,30,58.30%,19,19
33,12/21/2023,202312210COL,COL,vs,OTT,6,4,W,,39,12,45,10,46,55,45.50%,39,38,50.60%,27,20
34,12/23/2023,202312230COL,COL,vs,ARI,4,1,W,,26,11,25,9,34,34,50.00%,25,28,47.20%,19,18
35,12/27/2023,202312270ARI,COL,@,ARI,4,5,L,OT,24,4,27,8,39,57,40.60%,30,43,41.10%,25,21
36,12/29/2023,202312290STL,COL,@,STL,2,1,W,,23,8,29,4,35,42,45.50%,25,35,41.70%,15,17
37,12/31/2023,202312310COL,COL,vs,SJS,3,1,W,,33,8,11,24,65,29,69.10%,38,19,66.70%,22,26
38,1/2/2024,202401020COL,COL,vs,NYI,5,4,W,OT,39,6,22,10,71,36,66.40%,46,24,65.70%,21,21
39,1/4/2024,202401040DAL,COL,@,DAL,5,4,W,OT,34,6,32,6,56,64,46.70%,38,42,47.50%,26,25
40,1/6/2024,202401060COL,COL,vs,FLA,4,8,L,,26,12,29,10,28,42,40.00%,22,27,44.90%,21,21
41,1/8/2024,202401080COL,COL,vs,BOS,4,3,W,SO,36,8,26,14,59,43,57.80%,38,28,57.60%,26,38
42,1/10/2024,202401100COL,COL,vs,VEG,3,0,W,,35,8,25,8,57,41,58.20%,36,28,56.30%,18,20
43,1/13/2024,202401130TOR,COL,@,TOR,5,3,W,,33,2,29,8,60,53,53.10%,42,38,52.50%,23,20
44,1/15/2024,202401150MTL,COL,@,MTL,3,4,L,,35,6,34,10,70,44,61.40%,44,36,55.00%,25,39
45,1/16/2024,202401160OTT,COL,@,OTT,7,4,W,,34,10,40,10,47,72,39.50%,33,50,39.80%,25,37
46,1/18/2024,202401180BOS,COL,@,BOS,2,5,L,,32,6,31,4,58,50,53.70%,45,34,57.00%,27,26
47,1/20/2024,202401200PHI,COL,@,PHI,7,4,W,,25,6,40,4,37,69,34.90%,24,45,34.80%,17,32
48,1/24/2024,202401240COL,COL,vs,WSH,6,2,W,,31,10,25,8,52,62,45.60%,35,40,46.70%,28,22
49,1/26/2024,202401260COL,COL,vs,LAK,5,1,W,,31,14,27,12,46,38,54.80%,33,26,55.90%,19,21
50,2/5/2024,202402050NYR,COL,@,NYR,1,2,L,OT,33,4,29,8,56,47,54.40%,43,37,53.80%,17,22
51,2/6/2024,202402060NJD,COL,@,NJD,3,5,L,,38,8,31,8,60,51,54.10%,42,35,54.50%,20,31
52,2/8/2024,202402080CAR,COL,@,CAR,2,5,L,,27,12,27,34,46,44,51.10%,35,29,54.70%,19,24
53,2/10/2024,202402100FLA,COL,@,FLA,0,4,L,,34,4,41,2,56,81,40.90%,43,60,41.70%,19,32
54,2/13/2024,202402130WSH,COL,@,WSH,6,3,W,,37,6,27,16,51,56,47.70%,38,41,48.10%,27,30
55,2/15/2024,202402150TBL,COL,@,TBL,3,6,L,,31,4,39,6,48,55,46.60%,34,41,45.30%,26,34
56,2/18/2024,202402180COL,COL,vs,ARI,4,3,W,,37,14,30,10,42,28,60.00%,31,20,60.80%,22,23
57,2/20/2024,202402200COL,COL,vs,VAN,3,1,W,,27,4,25,6,37,43,46.30%,26,28,48.10%,16,31
58,2/22/2024,202402220DET,COL,@,DET,1,2,L,OT,31,8,30,6,61,45,57.50%,43,36,54.40%,21,19
59,2/24/2024,202402240COL,COL,vs,TOR,3,4,L,,29,4,30,2,67,45,59.80%,43,32,57.30%,21,22
60,2/27/2024,202402270COL,COL,vs,DAL,5,1,W,,27,4,34,4,45,56,44.60%,34,44,43.60%,21,24
61,2/29/2024,202402290CHI,COL,@,CHI,5,0,W,,33,7,24,7,64,37,63.40%,46,28,62.20%,20,25
62,3/2/2024,202403020NSH,COL,@,NSH,1,5,L,,26,8,35,4,43,67,39.10%,31,48,39.20%,19,23
63,3/4/2024,202403040COL,COL,vs,CHI,5,0,W,,37,8,37,4,51,45,53.10%,39,33,54.20%,30,23
64,3/6/2024,202403060COL,COL,vs,DET,7,2,W,,54,10,29,18,74,40,64.90%,52,29,64.20%,27,26
65,3/8/2024,202403080COL,COL,vs,MIN,2,1,W,OT,40,8,30,8,61,56,52.10%,39,48,44.80%,21,26
66,3/12/2024,202403120CGY,COL,@,CGY,6,2,W,,38,6,27,8,58,46,55.80%,41,33,55.40%,36,19
67,3/13/2024,202403130VAN,COL,@,VAN,4,3,W,OT,34,11,21,13,65,25,72.20%,44,23,65.70%,18,19
68,3/16/2024,202403160EDM,COL,@,EDM,3,2,W,OT,43,7,34,7,82,60,57.70%,58,42,58.00%,21,33
69,3/19/2024,202403190STL,COL,@,STL,4,3,W,,35,6,33,6,57,58,49.60%,43,45,48.90%,26,25
70,3/22/2024,202403220COL,COL,vs,CBJ,6,1,W,,50,5,24,11,78,49,61.40%,53,38,58.20%,23,20
71,3/24/2024,202403240COL,COL,vs,PIT,5,4,W,OT,30,4,34,4,58,61,48.70%,41,46,47.10%,22,30
72,3/26/2024,202403260COL,COL,vs,MTL,1,2,L,,28,6,27,6,63,40,61.20%,42,31,57.50%,22,25
73,3/28/2024,202403280COL,COL,vs,NYR,2,3,L,SO,40,6,25,4,75,47,61.50%,53,35,60.20%,30,24
74,3/30/2024,202403300COL,COL,vs,NSH,7,4,W,,42,10,35,23,54,55,49.50%,35,41,46.10%,25,26
75,4/1/2024,202404010CBJ,COL,@,CBJ,1,4,L,,46,4,25,8,56,43,56.60%,46,27,63.00%,23,24
76,4/4/2024,202404040MIN,COL,@,MIN,5,2,W,,36,8,46,4,65,58,52.80%,50,45,52.60%,33,25
77,4/5/2024,202404050EDM,COL,@,EDM,2,6,L,,24,10,47,6,42,50,45.70%,31,42,42.50%,16,29
78,4/7/2024,202404070COL,COL,vs,DAL,4,7,L,,38,6,37,4,73,61,54.50%,45,47,48.90%,20,30
79,4/9/2024,202404090COL,COL,vs,MIN,5,2,W,,32,10,22,8,43,27,61.40%,31,16,66.00%,20,20
80,4/13/2024,202404130COL,COL,vs,WPG,0,7,L,,30,6,26,2,66,47,58.40%,48,34,58.50%,35,13
81,4/14/2024,202404140VEG,COL,@,VEG,3,4,L,OT,24,8,30,4,40,51,44.00%,30,36,45.50%,13,37
82,4/18/2024,202404180COL,COL,vs,EDM,5,1,W,,27,4,26,8,49,47,51.00%,32,35,47.80%,16,31
1,10/12/2023,202310120DAL,DAL,vs,STL,2,1,W,SO,34,6,24,8,62,41,60.20%,46,28,62.20%,25,23
2,10/17/2023,202310170VEG,DAL,@,VEG,2,3,L,SO,26,18,34,14,53,45,54.10%,34,33,50.70%,32,29
3,10/19/2023,202310190ANA,DAL,@,ANA,3,2,W,,24,8,29,10,45,51,46.90%,36,33,52.20%,26,14
4,10/21/2023,202310210DAL,DAL,vs,PHI,5,4,W,OT,25,9,40,23,50,60,45.50%,36,47,43.40%,31,28
5,10/24/2023,202310240PIT,DAL,@,PIT,4,1,W,,34,8,39,6,55,58,48.70%,43,42,50.60%,25,22
6,10/26/2023,202310260DAL,DAL,vs,TOR,1,4,L,,32,8,24,4,64,44,59.30%,44,32,57.90%,25,27
7,10/30/2023,202310300DAL,DAL,vs,CBJ,5,3,W,,33,6,25,6,59,53,52.70%,44,37,54.30%,27,22
8,11/1/2023,202311010CGY,DAL,@,CGY,4,3,W,,30,10,47,4,45,66,40.50%,36,50,41.90%,25,26
9,11/2/2023,202311020EDM,DAL,@,EDM,4,3,W,,27,8,49,4,38,77,33.00%,26,55,32.10%,26,37
10,11/4/2023,202311040VAN,DAL,@,VAN,0,2,L,,27,15,28,11,42,35,54.50%,32,27,54.20%,16,22
11,11/6/2023,202311060DAL,DAL,vs,BOS,2,3,L,,37,8,29,6,64,38,62.70%,48,24,66.70%,27,26
12,11/9/2023,202311090CBJ,DAL,@,CBJ,5,2,W,,31,4,29,6,65,51,56.00%,46,42,52.30%,27,31
13,11/11/2023,202311110WPG,DAL,@,WPG,3,2,W,,29,6,33,8,38,50,43.20%,26,35,42.60%,33,19
14,11/12/2023,202311120MIN,DAL,@,MIN,8,3,W,,37,15,26,30,36,29,55.40%,25,21,54.30%,28,11
15,11/14/2023,202311140DAL,DAL,vs,ARI,4,3,W,OT,36,4,26,8,66,36,64.70%,45,28,61.60%,26,17
16,11/18/2023,202311180DAL,DAL,vs,COL,3,6,L,,28,8,38,8,44,57,43.60%,33,45,42.30%,24,17
17,11/20/2023,202311200DAL,DAL,vs,NYR,6,3,W,,36,8,33,6,63,46,57.80%,43,39,52.40%,21,22
18,11/22/2023,202311220DAL,DAL,vs,VEG,1,2,L,OT,32,8,26,6,58,30,65.90%,41,24,63.10%,27,20
19,11/24/2023,202311240DAL,DAL,vs,CGY,4,7,L,,28,6,27,6,42,49,46.20%,34,33,50.70%,19,23
20,11/28/2023,202311280WPG,DAL,@,WPG,2,0,W,,21,8,27,4,45,43,51.10%,30,31,49.20%,18,18
21,11/30/2023,202311300CGY,DAL,@,CGY,3,4,L,OT,16,4,36,0,52,58,47.30%,28,40,41.20%,31,21
22,12/2/2023,202312020DAL,DAL,vs,TBL,8,1,W,,34,12,33,4,43,40,51.80%,37,35,51.40%,21,25
23,12/4/2023,202312040TBL,DAL,@,TBL,0,4,L,,25,4,23,4,61,45,57.50%,38,33,53.50%,28,20
24,12/6/2023,202312060FLA,DAL,@,FLA,4,5,L,,33,4,31,10,50,53,48.50%,40,40,50.00%,29,22
25,12/7/2023,202312070WSH,DAL,@,WSH,5,4,W,SO,38,8,27,2,70,44,61.40%,46,30,60.50%,32,22
26,12/9/2023,202312090DAL,DAL,vs,VEG,1,6,L,,20,4,27,6,40,38,51.30%,26,30,46.40%,19,18
27,12/11/2023,202312110DAL,DAL,vs,DET,6,3,W,,35,8,30,10,63,37,63.00%,41,28,59.40%,27,21
28,12/15/2023,202312150DAL,DAL,vs,OTT,5,4,W,,24,6,29,6,43,51,45.70%,31,39,44.30%,31,23
29,12/16/2023,202312160STL,DAL,@,STL,3,4,L,OT,23,2,34,6,50,55,47.60%,35,43,44.90%,33,24
30,12/18/2023,202312180DAL,DAL,vs,SEA,4,3,W,OT,28,8,38,8,37,57,39.40%,29,45,39.20%,23,15
31,12/21/2023,202312210DAL,DAL,vs,VAN,4,3,W,OT,36,6,20,6,53,46,53.50%,43,33,56.60%,23,25
32,12/23/2023,202312230NSH,DAL,@,NSH,3,2,W,,34,4,21,4,69,37,65.10%,42,25,62.70%,30,22
33,12/27/2023,202312270STL,DAL,@,STL,1,2,L,,40,8,30,4,73,34,68.20%,54,25,68.40%,24,29
34,12/29/2023,202312290DAL,DAL,vs,CHI,5,4,W,OT,35,6,29,6,69,48,59.00%,47,35,57.30%,33,19
35,12/31/2023,202312310DAL,DAL,vs,CHI,8,1,W,,41,6,24,6,54,48,52.90%,41,33,55.40%,24,22
36,1/2/2024,202401020DAL,DAL,vs,MTL,3,4,L,,33,6,18,2,79,26,75.20%,51,19,72.90%,25,22
