Season,Date,Game_ID,Player,Player_ID,Team,Location,Opp,Result,GA,SA,SV,SV%,TOI
2023-24,3/26/2024,202403260TOR,Jake Allen,allenja01,NJD,@,TOR,W,3,45,42,93.00%,60.00
2023-24,3/29/2024,202403290BUF,Jake Allen,allenja01,NJD,@,BUF,L,3,34,31,91.00%,58.38
2023-24,3/29/2024,202403290BUF,Jake Allen,allenja01,NJD,@,BUF,L,3,34,31,91.00%,58.38
2023-24,4/2/2024,202404020NJD,Jake Allen,allenja01,NJD,vs,PIT,L,5,20,15,75.00%,59.25
2023-24,4/2/2024,202404020NJD,Jake Allen,allenja01,NJD,vs,PIT,L,5,20,15,75.00%,59.25
2023-24,4/6/2024,202404060OTT,Jake Allen,allenja01,NJD,@,OTT,W,3,28,25,89.00%,60.00
2023-24,4/6/2024,202404060OTT,Jake Allen,allenja01,NJD,@,OTT,W,3,28,25,89.00%,60.00
2023-24,4/7/2024,202404070NJD,Jake Allen,allenja01,NJD,vs,NSH,L-SO,1,30,29,97.00%,56.35
2023-24,4/7/2024,202404070NJD,Jake Allen,allenja01,NJD,vs,NSH,L-SO,1,30,29,97.00%,56.35
2023-24,4/9/2024,202404090NJD,Jake Allen,allenja01,NJD,vs,TOR,L,4,38,34,90.00%,57.88
2023-24,4/9/2024,202404090NJD,Jake Allen,allenja01,NJD,vs,TOR,L,4,38,34,90.00%,57.88
2023-24,4/11/2024,202404110TOR,Jake Allen,allenja01,NJD,@,TOR,W,5,32,27,84.00%,60.00
2023-24,4/11/2024,202404110TOR,Jake Allen,allenja01,NJD,@,TOR,W,5,32,27,84.00%,60.00
2023-24,4/15/2024,202404150NJD,Jake Allen,allenja01,NJD,vs,NYI,L,4,19,15,79.00%,60.00
2023-24,4/15/2024,202404150NJD,Jake Allen,allenja01,NJD,vs,NYI,L,4,19,15,79.00%,60.00
2023-24,10/11/2023,202310110CAR,Frederik Andersen,anderfr01,CAR,vs,OTT,W,3,30,27,90.00%,60.00
2023-24,10/14/2023,202310140LAK,Frederik Andersen,anderfr01,CAR,@,LAK,W,5,30,25,83.00%,65.00
2023-24,10/17/2023,202310170SJS,Frederik Andersen,anderfr01,CAR,@,SJS,W,1,2,1,50.00%,5.45
2023-24,10/26/2023,202310260CAR,Frederik Andersen,anderfr01,CAR,vs,SEA,W,2,26,24,92.00%,64.83
2023-24,10/30/2023,202310300PHI,Frederik Andersen,anderfr01,CAR,@,PHI,W,2,28,26,93.00%,60.00
2023-24,11/2/2023,202311020NYR,Frederik Andersen,anderfr01,CAR,@,NYR,L,2,26,24,92.00%,58.80
2023-24,3/7/2024,202403070CAR,Frederik Andersen,anderfr01,CAR,vs,MTL,W,1,25,24,96.00%,58.87
2023-24,3/10/2024,202403100CAR,Frederik Andersen,anderfr01,CAR,vs,CGY,W,2,20,18,90.00%,60.00
2023-24,3/14/2024,202403140CAR,Frederik Andersen,anderfr01,CAR,vs,FLA,W,0,21,21,100.00%,60.00
2023-24,3/17/2024,202403170OTT,Frederik Andersen,anderfr01,CAR,@,OTT,W,2,32,30,94.00%,60.00
